,rank,title,price,reviews_count,rating,asin,url,category_path,market_place,unit_sold,category_name
0,2,"d'alba Italian White Truffle First Spray Serum Spraying Serum, Moisturising Face Spray, Surfactant-Free, Spraying for Radiant Skin, Skin Soothing, Vegan, Korean Skin Care (100 ml)",16.24,33086.0,4.4,B0BFQ9RD5B,https://www.amazon.de/-/en/dalba-Spraying-Moisturising-Surfactant-Free-Soothing/dp/B0BFQ9RD5B/ref=zg_bs_g_beauty_d_sccl_2/261-6764158-5700328?psc=1,beauty,de,8000.0,Beauty
1,3,"Maybelline New York Black Mascara for Extremely Long Eyelashes, Lash Sensational Sky High Mascara, Very Black, 7.2 ml",9.08,73113.0,4.4,B08P4YPB8Q,https://www.amazon.de/-/en/Maybelline-Mascara-Extremely-Eyelashes-Sensational/dp/B08P4YPB8Q/ref=zg_bs_g_beauty_d_sccl_3/261-6764158-5700328?psc=1,beauty,de,9000.0,Beauty
2,4,"d'alba Italian White Truffle Double Serum All-in-One Multi Balm, Vegan Skin Care, 3-in-1 Treatment with White Truffles for Wrinkle Improvement, Stick Eye Treatment Balm, Korean Skin Care",23.99,3393.0,4.3,B09SZ5JX2Y,https://www.amazon.de/-/en/dalba-Italian-Treatment-Truffles-Improvement/dp/B09SZ5JX2Y/ref=zg_bs_g_beauty_d_sccl_4/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty
3,5,"Bionoble Organic Castor Oil, 50 ml, 100% Pure, Natural and Cold Pressed, for Eyelashes, Eyebrows, Hair, Beard, Nails, Vegan and Cruelty-Free, Glass Bottle + Pipette + Pump",9.98,59872.0,4.4,B08D6G78W6,https://www.amazon.de/-/en/Bionoble-Organic-Eyelashes-Eyebrows-Cruelty-Free/dp/B08D6G78W6/ref=zg_bs_g_beauty_d_sccl_5/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty
4,6,"Ninabella® Organic Hair Brush, No Tugging, Professional Detangling Brush, Unique Detangler Brush with Spiral Spring",9.99,54796.0,4.8,B08P7DK62W,https://www.amazon.de/-/en/Ninabella%C2%AE-Organic-Professional-Detangling-Detangler/dp/B08P7DK62W/ref=zg_bs_g_beauty_d_sccl_6/261-6764158-5700328?psc=1,beauty,de,1000.0,Beauty
5,7,"The Ordinary Niacinamide 10% + Zinc 1%, 30 ml",5.2,47464.0,4.4,B01MDTVZTZ,https://www.amazon.de/-/en/Ordinary-Niacinamide-10-Zinc-1/dp/B01MDTVZTZ/ref=zg_bs_g_beauty_d_sccl_7/261-6764158-5700328?psc=1,beauty,de,9000.0,Beauty
6,8,"M.Asam Magic Finish, 30 ml",22.95,25840.0,4.4,B01N5QC1CL,https://www.amazon.de/-/en/M-Asam-Magic-Finish-30-ml/dp/B01N5QC1CL/ref=zg_bs_g_beauty_d_sccl_8/261-6764158-5700328?psc=1,beauty,de,6000.0,Beauty
7,9,"Kérastase Genesis Sérum Anti-Chute Fortifiant, Stärkende Haarkur für feines und brüchiges Haar, Gegen Haarausfall und Haarbruch",39.02,6620.0,4.3,B083JKPCFB,https://www.amazon.de/-/en/K%C3%A9rastase-Strengthening-Breakage-Anti-Chute-Fortifiant/dp/B083JKPCFB/ref=zg_bs_g_beauty_d_sccl_9/261-6764158-5700328?psc=1,beauty,de,7000.0,Beauty
8,10,"UniqOne Hair Treatment Classic, 150 ml, Spray Treatment for More Volume, Smoothness & Easier Combing, Hair Care without Rinsing, Spray Helps Prevent Split Ends",9.3,98282.0,4.6,B00M9B66BU,https://www.amazon.de/-/en/UniqOne-Treatment-Classic-Smoothness-Combing/dp/B00M9B66BU/ref=zg_bs_g_beauty_d_sccl_10/261-6764158-5700328?psc=1,beauty,de,4000.0,Beauty
9,11,"Tangle Teezer Ultimate Detangler Midnight Black Hair Brush for Wet and Dry Hair, Ergonomic Handle, Painless Detangling, Ideal for Conditioner Distribution, Eco-Friendly",10.45,62343.0,4.7,B07D38HKCS,https://www.amazon.de/-/en/Tangle-Teezer-Conditioner-Distribution-Eco-Friendly/dp/B07D38HKCS/ref=zg_bs_g_beauty_d_sccl_11/261-6764158-5700328?psc=1,beauty,de,3000.0,Beauty
