page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Amazon Basics 20-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",EUR 7.63,1725212,4.5 out of 5 stars,B00NTCH52W,https://www.amazon.co.uk/Amazon-Basics-AA-Performance-Appearance-Grey/dp/B00NTCH52W/ref=zg_bs_g_electronics_d_sccl_1/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,2,DURACELL Plus AA Batteries (24 Pack) – Alkaline Batteries 1.5V – Up to 150% Extra Life with POWER BOOST Actives– Reliability For Everyday Devices – 0% Plastic Packaging – 10-Year Storage - MN1500,EUR 15.98,30738,4.7 out of 5 stars,B093C9B1HK,https://www.amazon.co.uk/Duracell-Plus-Alkaline-Batteries-MN1500/dp/B093C9B1HK/ref=zg_bs_g_electronics_d_sccl_2/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,3,"Amazon Fire TV Stick HD (Newest gen), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",EUR 45.69,21529,4.6 out of 5 stars,B0CQN8PP9G,https://www.amazon.co.uk/Amazon-Stick-Remote-controls-streaming/dp/B0CQN8PP9G/ref=zg_bs_g_electronics_d_sccl_3/525-8185996-4578109?psc=1,2026-02-27,0,Electronics-Photo,co.uk
1,4,Duracell Plus AA Batteries (12 Pack) - Alkaline 1.5V - Up To 100% Extra Life - Reliability For Everyday Devices - 0% Plastic Packaging - 10 Year Storage - LR6 MN1500,EUR 11.80,103819,4.7 out of 5 stars,B093LVB4P7,https://www.amazon.co.uk/Duracell-Plus-Alkaline-Batteries-MN1500/dp/B093LVB4P7/ref=zg_bs_g_electronics_d_sccl_4/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,5,"Duracell CR2032 Lithium Coin Batteries 3V (4 Pack) - Up to 70% Extra Life - Baby Secure Technology – Recommended for use in Apple AirTag - Use in Key Fobs, Home Devices, Fitness, Medical Accessories",EUR 5.80,139139,4.7 out of 5 stars,B01CG0TO76,https://www.amazon.co.uk/Duracell-CR2032-Lithium-Coin-Batteries/dp/B01CG0TO76/ref=zg_bs_g_electronics_d_sccl_5/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,6,"Amazon Basics 40-Pack AA Alkaline Industrial Batteries, 1.5 Volt, 5-Year Shelf Life",EUR 10.39,144945,4.5 out of 5 stars,B07MLFBJG3,https://www.amazon.co.uk/AmazonBasics-AA-Industrial-Alkaline-Batteries/dp/B07MLFBJG3/ref=zg_bs_g_electronics_d_sccl_6/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,7,"DURACELL 2025 Lithium Coin Batteries 3V (4 Pack) - Up to 70% Extra Life - Baby Secure Technology - For Use in Key Fobs, Fitness Watches and 3D Glasses - Baby Secure Packaging",EUR 5.77,165137,4.7 out of 5 stars,B01CG0ZBPK,https://www.amazon.co.uk/DURACELL-2025-Lithium-Coin-Batteries-Metallic/dp/B01CG0ZBPK/ref=zg_bs_g_electronics_d_sccl_7/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,8,Duracell Plus 9V Batteries (4 Pack) - Alkaline - 100% Life Guaranteed - Reliability For Everyday Devices - 0% Plastic Packaging - 5-Year Storage - 6LR61 MN1604,EUR 13.53,12475,4.7 out of 5 stars,B093CBYWSL,https://www.amazon.co.uk/Duracell-Alkaline-Batteries-6LR61-MN1604/dp/B093CBYWSL/ref=zg_bs_g_electronics_d_sccl_8/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,9,"Amazon Kindle (newest gen) – Lightest and most compact Kindle with glare-free display, faster page turns, adjustable front light and long battery life – 16 GB – Without Ads – Black",EUR 119.96,16469,4.6 out of 5 stars,B0CP32JG8B,https://www.amazon.co.uk/kindle-2024/dp/B0CP32JG8B/ref=zg_bs_g_electronics_d_sccl_9/525-8185996-4578109?psc=1,2026-02-27,5K+,Electronics-Photo,co.uk
1,10,"Masterplug Four Socket Extension Lead, 5 Metre Cable, Unswitched, 4-Way Plug Extension Cable, Power Strip, Basic Power, White, 13A, 4G, 5m, BFG5N",EUR 10.68,56914,4.6 out of 5 stars,B0001P0GDK,https://www.amazon.co.uk/Masterplug-BFG5N-13amp-Socket-Extension/dp/B0001P0GDK/ref=zg_bs_g_electronics_d_sccl_10/525-8185996-4578109?psc=1,2026-02-27,4K+,Electronics-Photo,co.uk
