page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,Pepsi Max No Sugar Cola Cans 24 x 330ml,EUR 17.02,15883,4.7 out of 5 stars,B017NVHSF8,https://www.amazon.co.uk/Pepsi-Max-Cans-330ml-Pack/dp/B017NVHSF8/ref=zg_bs_g_grocery_d_sccl_1/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,2,"Velvet Classic Quilted Toilet Tissue 24 Rolls - Luxuriously Soft, Strong and Absorbent Toilet Roll - Jumbo Bulk Pack 24 Rolls - 3-ply - White",EUR 13.24,20601,4.3 out of 5 stars,B08HLGKP9J,https://www.amazon.co.uk/Triple-Velvet-Jumbo-Roll-Pack/dp/B08HLGKP9J/ref=zg_bs_g_grocery_d_sccl_2/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,3,"Andrex Family Soft Toilet Tissue 45 Rolls (Previously Andrex Gentle Clean) Gentle on your Family’s skin– Bulk Pack of 45 Toilet Rolls, FSC Certified",EUR 19.29,55374,4.6 out of 5 stars,B004OCO20E,https://www.amazon.co.uk/Andrex-Family-Previously-Familys-Certified/dp/B004OCO20E/ref=zg_bs_g_grocery_d_sccl_3/522-6360175-4966542?psc=1,2026-02-27,40K+,Grocery,co.uk
1,4,"by Amazon Still Spring Water, 500 ml (Pack of 12), Total 6000ml",EUR 2.51,5636,4.6 out of 5 stars,B09QH374ZT,https://www.amazon.co.uk/Amazon-Still-Spring-Water-500ml/dp/B09QH374ZT/ref=zg_bs_g_grocery_d_sccl_4/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,5,"by Amazon Super Absorbent Kitchen Towel, 3-ply, 3 Rolls (1 Pack of 3), 80 Sheets per Roll, FSC Certified",EUR 3.83,9971,4.5 out of 5 stars,B0CR6BLD1L,https://www.amazon.co.uk/Amazon-Classic-Kitchen-Absorbent-Certified/dp/B0CR6BLD1L/ref=zg_bs_g_grocery_d_sccl_5/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,6,Coca-Cola Zero Sugar 24 x 330 ml,EUR 22.85,8641,4.7 out of 5 stars,B007C7KGKI,https://www.amazon.co.uk/Coca-Cola-Zero-7-92-Litre/dp/B007C7KGKI/ref=zg_bs_g_grocery_d_sccl_6/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,7,"Diet Coke Can Cola, Box 330 ml (Pack of 24)",EUR 19.41,9446,4.7 out of 5 stars,B01KZ3Y84K,https://www.amazon.co.uk/Diet-Coke-AU05387-24-330/dp/B01KZ3Y84K/ref=zg_bs_g_grocery_d_sccl_7/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,8,"Monster Ultra Energy Drink Zero Sugar, 9 x 500 ml",EUR 10.91,7794,4.7 out of 5 stars,B0BYPMKPZG,https://www.amazon.co.uk/Monster-Ultra-Energy-Drink-500/dp/B0BYPMKPZG/ref=zg_bs_g_grocery_d_sccl_8/522-6360175-4966542?psc=1,2026-02-27,10K+,Grocery,co.uk
1,9,Pepsi Max Cherry No Sugar Cola Cans 24 x 330ml,EUR 17.13,5635,4.7 out of 5 stars,B084H3PZHB,https://www.amazon.co.uk/Pepsi-Max-Cherry-Maximum-Sugar/dp/B084H3PZHB/ref=zg_bs_g_grocery_d_sccl_9/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,10,"Regina Blitz Household Towels – 8 Triple Layered Rolls, 70 Sheets Per Roll, Paper Packaging, FSC Certified Paper, Recyclable Packaging, 60% Larger Than Standard Kitchen Roll Sheets",EUR 15.36,46534,4.8 out of 5 stars,B01JS6YLQK,https://www.amazon.co.uk/Regina-Blitz-Household-Towels-Total/dp/B01JS6YLQK/ref=zg_bs_g_grocery_d_sccl_10/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
