page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,Matilda Style Headband Red Bow Hairband Alice Band Royal and Sporting Celebrations School Dress Up Days Handmade in the UK,EUR 5.13,559,4.3 out of 5 stars,B07M7ZXVKX,https://www.amazon.co.uk/Matilda-Hairband-Headband-Postage-Dispatch/dp/B07M7ZXVKX/ref=zg_bs_g_handmade_d_sccl_1/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,2,"Printperfect - K POP Birthday Card For Girls- ""Have A Golden Birthday"" K-POP Greetings Card For Girls - Birthday Cards for Friend Daughter Sister Bestie Niece Grandaughter (Gold Envelope)",EUR 4.56,43,4.8 out of 5 stars,B0G1ZMNZKM,https://www.amazon.co.uk/Printperfect-Birthday-Greetings-Daughter-Grandaughter/dp/B0G1ZMNZKM/ref=zg_bs_g_handmade_d_sccl_2/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,3,"Printperfect - Funny Birthday Card From The Dog Amusing Birthday Card For Dog Owner - “Fur Baby Gift For Dog Mum, Dad, Wife, Husband, Girlfriend, Boyfriend - Hilarious Card For Dog Parents",EUR 4.56,332,4.8 out of 5 stars,B0F3WFFV45,https://www.amazon.co.uk/Printperfect-Birthday-Girlfriend-Boyfriend-Hilarious/dp/B0F3WFFV45/ref=zg_bs_g_handmade_d_sccl_3/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,4,"Printperfect - Funny Birthday Card - ""The Very Best For You On Your Birthday"" Humorous Greetings Card For Family, Friends, Him, Her, For Men, Women, Dad, Mum, Friend (Red Envelope)",EUR 4.56,283,4.6 out of 5 stars,B0F5BSP99C,https://www.amazon.co.uk/Printperfect-Birthday-Humorous-Greetings-Envelope/dp/B0F5BSP99C/ref=zg_bs_g_handmade_d_sccl_4/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,5,"The Ilex Wood Natural Deodorant Stick 70ml – Handmade in UK, Aluminium Salts Free, Plastic Free, Alcohol Free, Vegan, Eco Friendly Cardboard Tube – Ylang Ylang & Cedarwood (Sweet & Woody)",EUR 9.65,5690,4.1 out of 5 stars,B09RKS585V,https://www.amazon.co.uk/Ylang-Cedarwood-Natural-Deodorant-Aluminium/dp/B09RKS585V/ref=zg_bs_g_handmade_d_sccl_5/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,6,The Original Designed Emotions Regulation Keychain – 4 Colour Coded Mood Zone Discs Teaching Aid | Emotional Regulation and Management Tool for Kids & Adults | SEN Communication Tool/Accessory,EUR 6.04,135,4.7 out of 5 stars,B0DXD4ZRSY,https://www.amazon.co.uk/Original-Designed-Zones-Regulation-Keychain/dp/B0DXD4ZRSY/ref=zg_bs_g_handmade_d_sccl_6/520-7137096-7068841?psc=1,2026-02-27,1K+,Handmade-Products,co.uk
1,7,"21st Birthday Card for Girl Boy Son Daughter, Big Pop Up 21st Birthday Cards for Grandson Granddaughter, Back In 2005 Funny 21 Year Old Birthday Decorations",EUR 11.41,236,4.7 out of 5 stars,B0G42K9FSF,https://www.amazon.co.uk/Birthday-Daughter-Grandson-Granddaughter-Decorations/dp/B0G42K9FSF/ref=zg_bs_g_handmade_d_sccl_7/520-7137096-7068841?psc=1,2026-02-27,100+,Handmade-Products,co.uk
1,8,"CICIX LIMITED Scented Vacuum Freshner Discs. 130+ Scents To Pick From. Handmade in England. Strong Scented, Long lasting. Pack of 4x 3cm Discs. Vegan And Cruelty Free. (Clean Cotton)",EUR 6.84,67,4.0 out of 5 stars,B0CLKP76DY,https://www.amazon.co.uk/CICIX-Scented-Vaccum-Handmade-England/dp/B0CLKP76DY/ref=zg_bs_g_handmade_d_sccl_8/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,9,"The Ilex Wood - Rose and Frankincense Face Cream - 100% Natural Handcrafted, Vegan, Moisturising, Anti Ageing, Wrinkle and Line Reducing Ingredients, Cruelty-Free, Palm Oil Free, Plastic Free - 60ml",EUR 22.79,5131,4.6 out of 5 stars,B07H447QHB,https://www.amazon.co.uk/Ilex-Wood-Frankincense-Moisturising-Cruelty-Free/dp/B07H447QHB/ref=zg_bs_g_handmade_d_sccl_9/520-7137096-7068841?psc=1,2026-02-27,1K+,Handmade-Products,co.uk
1,10,"Printperfect funny birthday cards for women, happy birthday card for her ""We'll Be Friends Until We're Old And Senile"" joke humour birthday card for best friend or bestie",EUR 4.56,141,4.8 out of 5 stars,B0DDJQBCBF,https://www.amazon.co.uk/Printperfect-birthday-Friends-Senile-humour/dp/B0DDJQBCBF/ref=zg_bs_g_handmade_d_sccl_10/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
