page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"by Amazon Sensitive Baby Wipes 1008 Wipes, Unscented, 18 Pack of 56, (Previously a Mama Bear Brand, Same Product)",EUR 12.45,32669,4.7 out of 5 stars,B07V2N4SJY,https://www.amazon.co.uk/Amazon-Brand-Sensitive-Unscented-wipes/dp/B07V2N4SJY/ref=zg_bs_g_baby_d_sccl_1/261-0504377-6438639?psc=1,2026-02-27,50K+,baby,co.uk
1,2,"WaterWipes Sensitive+ Newborn & Baby Wipes, 720 Count (12 Packs), 3-In-1 Cleans, Cares, Protects, 99.9% Water, Unscented",EUR 29.71,31457,4.8 out of 5 stars,B08MXSBRSB,https://www.amazon.co.uk/WaterWipes-Sensitive-Newborn-Biodegradable-Unscented/dp/B08MXSBRSB/ref=zg_bs_g_baby_d_sccl_2/261-0504377-6438639?psc=1,2026-02-27,30K+,baby,co.uk
1,3,"Johnson's Baby Cotton Buds (1 x Pack of 200) Soft & Gentle Ear Buds for Delicate Skin, Made of 100% Pure Cotton and Paper Sticks, Plastic-Free to Clean Delicate Areas, around Eyes and Outer Ear",EUR 1.43,29064,4.8 out of 5 stars,B00125KZN4,https://www.amazon.co.uk/Johnsons-Cotton-Buds-200/dp/B00125KZN4/ref=zg_bs_g_baby_d_sccl_3/261-0504377-6438639?psc=1,2026-02-27,10K+,baby,co.uk
1,4,"Lil-Lets Cotton Wool Round Pads, 200 Count, Certified Organic, 100% Pure Cotton Wool, Soft and Absorbent, Gentle on Skin, Dermatologically Tested, Bulk Pack",EUR 3.42,5075,4.6 out of 5 stars,B0CRL61ZMM,https://www.amazon.co.uk/Lil-Lets-Certified-Organic-Absorbent-Dermatologically/dp/B0CRL61ZMM/ref=zg_bs_g_baby_d_sccl_4/261-0504377-6438639?psc=1,2026-02-27,8K+,baby,co.uk
1,5,"by Amazon Fresh Baby Wipes, 1008 Wipes, 18 Pack of 56, (Previously a Mama Bear Brand, Same Product)",EUR 13.44,13516,4.7 out of 5 stars,B07V5VR1F7,https://www.amazon.co.uk/Amazon-Brand-Fresh-Lightly-Fragranced/dp/B07V5VR1F7/ref=zg_bs_g_baby_d_sccl_5/261-0504377-6438639?psc=1,2026-02-27,10K+,baby,co.uk
1,6,"Huggies Pure Plastic Free Baby Wipes - Pack of 18 (864 Wipes) - 99% Water Wet Wipes, Fragrance Free, Hypoallergenic, Better Cleaning, Soft and Gentle on Babies' Delicate Skin",EUR 15.39,28346,4.6 out of 5 stars,B0FFTNGFM9,https://www.amazon.co.uk/Huggies-Pure-Plastic-Free-Wipes/dp/B0FFTNGFM9/ref=zg_bs_g_baby_d_sccl_6/261-0504377-6438639?psc=1,2026-02-27,10K+,baby,co.uk
1,7,MAM Teats Size 2 | 2 Pack | Medium Flow | Fits All MAM Bottles | Suitable from 2+ Months | Made from SkinSoft Silicone | Baby Accessories for Newborn,EUR 6.70,27313,4.8 out of 5 stars,B000H3QCIE,https://www.amazon.co.uk/MAM-Suitable-SkinSoft-Silicone-Essentials/dp/B000H3QCIE/ref=zg_bs_g_baby_d_sccl_7/261-0504377-6438639?psc=1,2026-02-27,4K+,baby,co.uk
1,8,"by Amazon Cotton Wool Pads, Dual Texture, 100% Cotton, 120 Pads",EUR 2.59,1342,4.6 out of 5 stars,B0FH3SR2RG,https://www.amazon.co.uk/Amazon-Cotton-Wool-Pads-Texture/dp/B0FH3SR2RG/ref=zg_bs_g_baby_d_sccl_8/261-0504377-6438639?psc=1,2026-02-27,10K+,baby,co.uk
1,9,"TUM TUM Tippy Up Free Flow Sippy Cup (No Valve), Sippy Cup for Toddlers, 200ml, BPA Free (Fergus Fox S3)",EUR 11.41,2867,4.5 out of 5 stars,B0C5XPNJ4D,https://www.amazon.co.uk/TUM-Tippy-Sippy-Toddlers-Fergus/dp/B0C5XPNJ4D/ref=zg_bs_g_baby_d_sccl_9/261-0504377-6438639?psc=1,2026-02-27,1K+,baby,co.uk
1,10,"Lil-Lets Baby Cotton Wool Oval Pads, Certified Organic, 100% Pure Cotton Wool, Soft and Absorbent, Gentle on Baby's Delicate Skin, Dermatologically Tested, Ideal for Newborns, Pack of 50 Oval Pads",EUR 2.23,1469,4.7 out of 5 stars,B0CRL76CCK,https://www.amazon.co.uk/Lil-Lets-Certified-Absorbent-Delicate-Dermatologically/dp/B0CRL76CCK/ref=zg_bs_g_baby_d_sccl_10/261-0504377-6438639?psc=1,2026-02-27,7K+,baby,co.uk
