page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Maybelline Mascara, Lash Sensational Sky High Volumizing & Thickening, Eyelash Lengthening, Flake-Free Formula, Washable Mascara Infused with Bamboo Extract, Full Volume Mascara, Colour: Black",EUR 9.09,74701,4.3 out of 5 stars,B08WR5CPNB,https://www.amazon.co.uk/Maybelline-Sensational-Volumising-Lengthening-Flake-Free/dp/B08WR5CPNB/ref=zg_bs_g_beauty_d_sccl_1/257-2587524-2935458?psc=1,2026-02-27,30K+,beauty,co.uk
1,2,"Garnier Micellar Cleansing Water 700ml, Gentle face cleanser & Make up Remover, Suitable For All Skin Types Including Sensitive Skin, Soothing Formula, Dermatologically Tested",EUR 5.71,25062,4.7 out of 5 stars,B01M6UUOY2,https://www.amazon.co.uk/Garnier-Micellar-Water-Sensitive-700ml/dp/B01M6UUOY2/ref=zg_bs_g_beauty_d_sccl_2/257-2587524-2935458?psc=1,2026-02-27,0,beauty,co.uk
1,3,"Nizoral Anti-Dandruff Treatment Shampoo, Treats and Prevents Dandruff, Clinically Proven to Control Itchy & Flaky Scalps, Contains Ketoconazole, 1 x 60ml",EUR 9.65,31933,4.6 out of 5 stars,B001ETUD5I,https://www.amazon.co.uk/Nizoral-Anti-dandruff-clinically-inflammation-ketoconazole/dp/B001ETUD5I/ref=zg_bs_g_beauty_d_sccl_3/257-2587524-2935458?psc=1,2026-02-27,0,beauty,co.uk
1,4,"RIMMEL LONDON - Stay Matte Pressed Powder - Lightweight, Oil Absorbing, Smooth Non-Powdery Texture, Lasting Up To 5hrs - For All Skin Types - Dermatologically Tested - Transparent - 14g",EUR 3.43,53697,4.5 out of 5 stars,B004M9L0WW,https://www.amazon.co.uk/RIMMEL-LONDON-Lightweight-Non-Powdery-Dermatologically/dp/B004M9L0WW/ref=zg_bs_g_beauty_d_sccl_4/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
1,5,"Garnier Vitamin C Brightening Serum for Face, with 4% Vitamin C, Niacinamide & Salicylic Acid, Brightens Skin, Reduces Dark Spots & Evens Skin Tone, Serum 30ml",EUR 6.84,43114,4.4 out of 5 stars,B09BD7L35V,https://www.amazon.co.uk/Garnier-Anti-Dark-Brightening-Niacinamide-Salicylic/dp/B09BD7L35V/ref=zg_bs_g_beauty_d_sccl_5/257-2587524-2935458?psc=1,2026-02-27,0,beauty,co.uk
1,6,"medicube Zero Pore Pads 2.0, Dual-Textured Facial Toner Pads for Exfoliation and Pore Care with 4.5% AHA Lactic Acid & 0.45% BHA Salicylic Acid, Ideal for All Skin Types, Korean Skin Care (70 Units)",EUR 22.62,17614,4.6 out of 5 stars,B09V7Z4TJG,https://www.amazon.co.uk/Medicube-Dual-Textured-Facial-Exfoliation-Salicylic/dp/B09V7Z4TJG/ref=zg_bs_g_beauty_d_sccl_6/257-2587524-2935458?psc=1,2026-02-27,30K+,beauty,co.uk
1,7,"BIODANCE Bio-Collagen Real Deep Mask, Hydrogel Mask, Pore Minimizing, Elasticity Improvement, Korean Skincare | 1.19oz(34g) x 4ea",EUR 13.14,34228,4.4 out of 5 stars,B0B2RM68G2,https://www.amazon.co.uk/Hydrating-Overnight-Minimizing-Elasticity-Improvement/dp/B0B2RM68G2/ref=zg_bs_g_beauty_d_sccl_7/257-2587524-2935458?psc=1,2026-02-27,30K+,beauty,co.uk
1,8,"Maybelline Concealer Instant Anti Age Eraser Eye Concealer, Dark Circles and Blemish Concealer, Ultra Blendable Formula Dermatologist Tested & Suitable for Sensitive Skin 01 Light",EUR 7.04,66234,4.4 out of 5 stars,B00JR76TKW,https://www.amazon.co.uk/Maybelline-Eraser-Concealer-Light-6-8ml/dp/B00JR76TKW/ref=zg_bs_g_beauty_d_sccl_8/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
1,9,"Schwarzkopf LIVE Intense Colour, Long Lasting Permanent Black Hair Dye, With Built-In Vibrancy Serum, Up To 100% Grey Coverage- Deep Black 099",EUR 9.13,14650,4.4 out of 5 stars,B076SQYFLH,https://www.amazon.co.uk/LIVE-BLACK-DEEP-99/dp/B076SQYFLH/ref=zg_bs_g_beauty_d_sccl_9/257-2587524-2935458?psc=1,2026-02-27,0,beauty,co.uk
1,10,"Just for men Moustache & Beard Dark Brown Dye, Eliminates Grey for a Thicker & Fuller Look M45",EUR 9.91,21250,4.4 out of 5 stars,B07NBPSNC4,https://www.amazon.co.uk/Just-Moustache-Beard-Facial-Color/dp/B07NBPSNC4/ref=zg_bs_g_beauty_d_sccl_10/257-2587524-2935458?psc=1,2026-02-27,6K+,beauty,co.uk
