page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"iPhone Charger Cable 2M, MFi Certified Lightning Cable Fast Charging iPhone Charger Nylon USB iphone Charging Cable Lead for iPhone 14 13 12 11 Pro Max XS XR X 8 7 6 Plus 5 SE,iPad",EUR 4.56,11212,4.4 out of 5 stars,B0DK4MJRF3,https://www.amazon.co.uk/iPhone-Charger-Certified-Lightning-Charging/dp/B0DK4MJRF3/ref=zg_bs_g_computers_d_sccl_1/525-0119465-4750728?psc=1,2026-02-27,30K+,computers,co.uk
1,2,"HP 305 Black/Tri-color Original Ink Printer Cartridges Combo (X4D37AE) - Works with: HP DeskJet 1110/2130/3630, ENVY 4520,451X, OfficeJet 3830/3831/4650,52XX",EUR 23.37,76882,4.5 out of 5 stars,B08T1HR5CS,https://www.amazon.co.uk/HP-Tri-colour-Original-Cartridges-6ZD17AE/dp/B08T1HR5CS/ref=zg_bs_g_computers_d_sccl_2/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,3,"INIU USB C Charger Cable, 2m Type C Cable Fast Charging, Braided USB A to USB-C Phone Charger Cable USBC for iPhone 17 16 15 Pro Max, Samsung Galaxy S25 S24 Ultra, Pixel 10, iPad Air Switch Steam etc.",EUR 4.81,76394,4.5 out of 5 stars,B09P8KM9Z6,https://www.amazon.co.uk/Charger-INIU-Charging-Braided-Samsung-1-Pcs/dp/B09P8KM9Z6/ref=zg_bs_g_computers_d_sccl_3/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,4,"Anker USB C Charger Cable, 2-Pack 3 ft (0.9 m) USB to USB C Cable, USB A to USB C Braided Phone Charger Cable for iPhone 17/16/15, iPad Pro, Samsung Galaxy, MacBook Pro,and More",EUR 9.13,143080,4.6 out of 5 stars,B07DD5YHMH,https://www.amazon.co.uk/Anker-Charger-Braided-Standard-Charging/dp/B07DD5YHMH/ref=zg_bs_g_computers_d_sccl_4/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,5,"Anker USB C to USB C Charger Cable, New Nylon (6 ft, 2-Pack), 60W (3A) for iPhone 17/16/15, iPad Pro, Samsung Galaxy, MacBook Pro,and More",EUR 10.27,74671,4.6 out of 5 stars,B088NRLMPV,https://www.amazon.co.uk/Anker-Charging-MacBook-Galaxy-Charger-Black/dp/B088NRLMPV/ref=zg_bs_g_computers_d_sccl_5/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,6,"SanDisk 128GB Ultra microSDXC card + SD adapter, Memory card Full HD, up to 140 MB/s, For smartphones and Tablets, with A1 App Performance, UHS-I, Class 10, U1",EUR 26.11,164331,4.6 out of 5 stars,B0B7NTY2S6,https://www.amazon.co.uk/SanDisk-128GB-microSDXC-adapter-Performance/dp/B0B7NTY2S6/ref=zg_bs_g_computers_d_sccl_6/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,7,"2Pack 1.8M iPhone Charger Cable [Apple MFi Certified] Lightning to USB Cable Lead 6 Foot, 2.4A Fast Charging Cable for iPhone 14 13 12 11 Pro Max XS XR X 8 7 6 Plus 5, iPad and iPod",EUR 7.87,20789,4.4 out of 5 stars,B09QQ6ZBFT,https://www.amazon.co.uk/iPhone-Charger-Certified-Lightning-Charging/dp/B09QQ6ZBFT/ref=zg_bs_g_computers_d_sccl_7/525-0119465-4750728?psc=1,2026-02-27,10K+,computers,co.uk
1,8,"HP 3YM61AE 305 Original Ink Cartridge, Black, Pack of 1",EUR 13.70,54913,4.5 out of 5 stars,B087DJ43K3,https://www.amazon.co.uk/HP-3YM61AE-Original-Cartridge-Single/dp/B087DJ43K3/ref=zg_bs_g_computers_d_sccl_8/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,9,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop - Grey",EUR 10.85,122357,4.5 out of 5 stars,B00552K0GM,https://www.amazon.co.uk/Logitech-Wireless-Windows-Ambidextrous-Design/dp/B00552K0GM/ref=zg_bs_g_computers_d_sccl_9/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,10,"HP 3YM62AE 305XL High Yield Original Ink Cartridge, Black, (Pack of 1) Packaging may vary",EUR 24.62,57139,4.6 out of 5 stars,B087DH9GT3,https://www.amazon.co.uk/HP-3YM62AE-Original-Cartridge-Single/dp/B087DH9GT3/ref=zg_bs_g_computers_d_sccl_10/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,11,"Logitech MK270 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia and Shortcut Keys, 2-Year Battery Life, for PC, Laptop, QWERTY UK English Layout - Black",EUR 21.16,29404,4.4 out of 5 stars,B00CL6353A,https://www.amazon.co.uk/Logitech-Wireless-Keyboard-Windows-Connection/dp/B00CL6353A/ref=zg_bs_g_computers_d_sccl_11/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,12,"Yosou USB C Charger Cable 2M 2Pack USB A to USB C Type C Charger Fast Charging 3A Lead Braided for Samsung Galaxy S22 S21 S20,Pixel 8 7 6,PS5,Switch",EUR 7.99,77321,4.5 out of 5 stars,B09CYZRKD6,https://www.amazon.co.uk/Yosou-Charger-Cable-Charging-Braided-Space-Grey/dp/B09CYZRKD6/ref=zg_bs_g_computers_d_sccl_12/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,13,"2Pack 2M iPhone Charger Cable, MFi Certified Lightning Cable Fast Charging Braided iPhone Charger Fast Charge USB Charging Lead for Phone 14 13 12 11 Pro Max XS XR X 8 7 6 Plus 5 SE, iPad and iPod",EUR 7.99,15476,4.4 out of 5 stars,B0D1MVVN5G,https://www.amazon.co.uk/2Pack-2M-iPhone-Charger-Cable/dp/B0D1MVVN5G/ref=zg_bs_g_computers_d_sccl_13/525-0119465-4750728?psc=1,2026-02-27,10K+,computers,co.uk
1,14,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front / 12MP Back Camera, Touch ID, All-Day Battery Life — Silver",EUR 341.63,3575,4.5 out of 5 stars,B0DZ77X9FQ,https://www.amazon.co.uk/Apple-iPad-11-inch-Display-All-Day/dp/B0DZ77X9FQ/ref=zg_bs_g_computers_d_sccl_14/525-0119465-4750728?psc=1,2026-02-27,3K+,computers,co.uk
1,15,"Nixsto Ethernet Cable 5M, Cat6/Cat 6e Ethernet Cable High Speed with Network Patch Cords, LAN Cable with Rj45 Connector for Router Modem Faster Than Cat 5e/Cat 5-White",EUR 4.43,11932,4.6 out of 5 stars,B09X2NB8PF,https://www.amazon.co.uk/Ethernet-Network-Connector-Router-5-White/dp/B09X2NB8PF/ref=zg_bs_g_computers_d_sccl_15/525-0119465-4750728?psc=1,2026-02-27,3K+,computers,co.uk
1,16,"UGREEN Ethernet Cable 5M, Cat 8 Internet Cable Flat High-Speed 40Gbps 2000Mhz Network Cable, Gigabit Braided RJ45 LAN Cable Patch Cord Compatible for PC/Laptop, PS5, Xbox, Modem, Router, Switch, TV",EUR 7.99,17293,4.6 out of 5 stars,B08W241HPW,https://www.amazon.co.uk/UGREEN-Ethernet-Internet-Compatible-Raspberry/dp/B08W241HPW/ref=zg_bs_g_computers_d_sccl_16/525-0119465-4750728?psc=1,2026-02-27,4K+,computers,co.uk
1,17,LISEN USB C to USB C Cable Charger 4-Pack [0.5/1/2/2M] for USBC to USBC Cable 60W C to Type C Charger Cables Fast Charging for iPhone 17 Pro Max 16 15 iPad Pro Air Samsung Galaxy S25 S24 Pixel Switch,EUR 7.99,15860,4.5 out of 5 stars,B0CHYN66FD,https://www.amazon.co.uk/LISEN-4-Pack-Samsung-MacBook-Charger-black/dp/B0CHYN66FD/ref=zg_bs_g_computers_d_sccl_17/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,18,USB C to Lightning Cable 1M [Apple MFi Certified] iPhone Fast Charger Cable USB-C Charging Cord for iPhone 13/12/12 PRO Max/12 Mini/11/11PRO/XS/Max/XR/X/8/8Plus/iPad,EUR 6.84,13533,4.3 out of 5 stars,B0B63T163B,https://www.amazon.co.uk/Lightning-Certified-Charger-Delivery-Charging-White/dp/B0B63T163B/ref=zg_bs_g_computers_d_sccl_18/525-0119465-4750728?psc=1,2026-02-27,6K+,computers,co.uk
1,19,"Anker USB C to USB C Charger Cable (6ft/1.8m Nylon), 100W USB 2.0 Type C fast Charging Cable for MacBook Pro, iPhone 17/16/15, iPad Pro, Samsung Galaxy,and More",EUR 9.13,63127,4.6 out of 5 stars,B09LPXJ3RX,https://www.amazon.co.uk/Anker-Charging-Charge-MacBook-Samsung/dp/B09LPXJ3RX/ref=zg_bs_g_computers_d_sccl_19/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,20,"SanDisk 128GB Extreme microSDXC card +SD adapter, microSD card for smartphones, action cameras, drones, V30, up to 190 MB/s, SanDisk QuickFlow Technology, RescuePro Deluxe, UHS-I, 4k, V30, A2, U3",EUR 29.68,105369,4.7 out of 5 stars,B09X7BK27V,https://www.amazon.co.uk/SanDisk-Extreme-microSDXC-RescuePRO-Performance/dp/B09X7BK27V/ref=zg_bs_g_computers_d_sccl_20/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
