page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Magnesium Glycinate 3-in-1 Complex - 1800mg Supplements as Bisglycinate, Citrate & Malate 90 Vegan Capsules, Triple High Absorption 384mg Elemental, UK Made",EUR 11.41,28859,4.4 out of 5 stars,B0C9VVCL12,https://www.amazon.co.uk/Magnesium-Glycinate-Complex-Supplements-Bisglycinate/dp/B0C9VVCL12/ref=zg_bs_g_drugstore_d_sccl_1/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,2,"HIGH5 ZERO Electrolyte Tablet - Hydration Tablets Enhanced with Vitamin C - 0 Calories & Sugar Free - Boost Hydration, Performance & Wellness - Berry, 20 Tablets",EUR 6.86,33508,4.5 out of 5 stars,B003AIF4Q4,https://www.amazon.co.uk/HIGH5-ZERO-Electrolyte-Tablet-Performance/dp/B003AIF4Q4/ref=zg_bs_g_drugstore_d_sccl_2/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,3,"TePe Interdental Brush, Original, Pink, 0.4mm/ISO 0, 8pcs, Plaque Removal, efficient Clean Between Teeth, Tooth Floss, for Narrow Gaps",EUR 4.00,58660,4.6 out of 5 stars,B015D4MRZI,https://www.amazon.co.uk/TePe-Pink-Original-Interdental-Brush/dp/B015D4MRZI/ref=zg_bs_g_drugstore_d_sccl_3/523-8125264-5194111?psc=1,2026-02-27,10K+,drugstore,co.uk
1,4,"Grenade OREO White High Protein, Low Sugar Bars, 12 x 60 g – 21 g Protein per Snack Bar with Crunchy OREO Pieces & White Chocolate Coating",EUR 28.56,36026,4.4 out of 5 stars,B0CGDWCLGY,https://www.amazon.co.uk/Grenade-High-Protein-Low-Sugar/dp/B0CGDWCLGY/ref=zg_bs_g_drugstore_d_sccl_4/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,5,Turmeric Tablets 2000mg with Black Pepper & Ginger - 120 High Strength Curcumin Supplements - Easy Swallow Tablets (Not Turmeric Capsules or Powder) - Vegan - UK Made,EUR 7.99,14702,4.6 out of 5 stars,B088W5HWVX,https://www.amazon.co.uk/Turmeric-Strength-Curcumin-Supplements-Supplement/dp/B088W5HWVX/ref=zg_bs_g_drugstore_d_sccl_5/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,6,"Pure Creatine Monohydrate Powder - 315g (90 Servings) - Easy Dissolve Creatine Powder, Unflavoured & Micronised (Not Creatine Gummies or Creatine Tablets), Vegan Creatine for Women and Men",EUR 11.41,3560,4.5 out of 5 stars,B0DQQDZGCW,https://www.amazon.co.uk/Pure-Creatine-Monohydrate-Powder-Unflavoured/dp/B0DQQDZGCW/ref=zg_bs_g_drugstore_d_sccl_6/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,7,"TePe EasyPick Toothpicks, Orange, ISO XS-S, 60pcs, Dental Plaque Removal Tool, efficient and Easy Cleaning Between The Teeth, toothpicks for Narrow Gaps",EUR 8.56,33799,4.6 out of 5 stars,B08DG29232,https://www.amazon.co.uk/TePe-EasyPick-Toothpicks-efficient-toothpicks/dp/B08DG29232/ref=zg_bs_g_drugstore_d_sccl_7/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,8,"Vitamin D3 4000 iu & Vitamin K2 MK7 100μg - 1 Year Supply, 365 Easy-Swallow Vitamin D3 K2 Tablets, 1-A-Day High Strength Vegetarian D3 and K2 Vitamin Supplements, UK Made Vitamin D Tablets",EUR 11.41,15114,4.6 out of 5 stars,B0CR57HRDV,https://www.amazon.co.uk/Vitamin-4000-MK7-100%CE%BCg-Day/dp/B0CR57HRDV/ref=zg_bs_g_drugstore_d_sccl_8/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,9,"Omega 3 Fish Oil 2000mg, EPA 660mg DHA 440mg per Daily Serving. 120 Capsules (2 Months Supply). Supports Heart, Brain Function and Eye Health. 2 Capsules Per Serving",EUR 11.41,19705,4.6 out of 5 stars,B07649WV5Y,https://www.amazon.co.uk/Omega-2000mg-Capsules-Strength-Serving/dp/B07649WV5Y/ref=zg_bs_g_drugstore_d_sccl_9/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,10,"Science in Sport Hydro Electrolyte Tablets 20 pcs. Berry – Vegan & Gluten-Free, Ideal to Promote Hydration and Maintain Electrolytes Balance (Packaging May Vary)",EUR 5.71,21399,4.5 out of 5 stars,B008AGN01C,https://www.amazon.co.uk/Science-Sport-Hydro-Hydration-Tablets/dp/B008AGN01C/ref=zg_bs_g_drugstore_d_sccl_10/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,11,"Sudafed Blocked Nose Spray (1 x 15ml), Relief from Congestion Caused by Cold and Allergies, Nasal Spray Provides Congestion Relief, Lasts Up to 10 Hours and Gets to Work in 2 Minutes",EUR 4.57,17272,4.7 out of 5 stars,B004RDYI04,https://www.amazon.co.uk/Sudafed-15ml-Blocked-Nose-Spray/dp/B004RDYI04/ref=zg_bs_g_drugstore_d_sccl_11/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,12,"Biotin Hair Growth Supplement - 180 Vegan Tablets Enhanced with Zinc & Selenium, Hair Vitamins Complex - Biotin 10000 mcg - Hair Skin and Nails Vitamins for Women & Men UK (Packaging Design May Vary)",EUR 7.99,10969,4.4 out of 5 stars,B08XBGJMK3,https://www.amazon.co.uk/Biotin-Hair-Growth-Supplement-Enhanced/dp/B08XBGJMK3/ref=zg_bs_g_drugstore_d_sccl_12/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,13,"Bulk Pure Whey Protein Powder,Vanilla,23g Protein and 5g BCAAs per Scoop,Whey Concentrate Shake,Low Sugar,Supports Muscle Growth and Repair,Smooth Mixing,Vegetarian,1kg",EUR 35.42,28105,4.4 out of 5 stars,B00HF63AYA,https://www.amazon.co.uk/BULK-POWDERS-Protein-Powder-Vanilla/dp/B00HF63AYA/ref=zg_bs_g_drugstore_d_sccl_13/523-8125264-5194111?psc=1,2026-02-27,0,drugstore,co.uk
1,14,"Oral-B Vitality Pro Electric Toothbrushes for Adults, for Him/Her, 1 Handle, 2 Toothbrush Heads, 3 Brushing Modes Including Sensitive Plus, 2 Pin UK Plug, Black",EUR 23.64,21349,4.2 out of 5 stars,B0B18V92KS,https://www.amazon.co.uk/Oral-B-Vitality-Toothbrush-Including-Sensitive/dp/B0B18V92KS/ref=zg_bs_g_drugstore_d_sccl_14/523-8125264-5194111?psc=1,2026-02-27,10K+,drugstore,co.uk
