page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Amazon Fire TV Stick HD (Newest gen), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",€44.99,53271.0,4.6 out of 5 stars,B0CQMWQDH4,https://www.amazon.de/Amazon-Newest-Remote-controls-streaming/dp/B0CQMWQDH4/ref=zg_bs_g_amazon-devices_d_sccl_1/262-2064295-1213968?psc=1,1,amazon-devices,DE,5K+
1,2,Echo Dot (Newest gen) smart speaker with Alexa | Charcoal,€64.99,182480.0,4.6 out of 5 stars,B09B8X9RGM,https://www.amazon.de/-/en/echo-dot-2022/dp/B09B8X9RGM/ref=zg_bs_g_amazon-devices_d_sccl_2/262-2064295-1213968?psc=1,2,amazon-devices,DE,2K+
1,3,no title,€139.00,9360.0,4.2 out of 5 stars,B0F4548TCQ,https://www.amazon.de/-/en/Xiaomi-Smart-Triple-Tuner-Virtual/dp/B0F4548TCQ/ref=zg_bs_g_amazon-devices_d_sccl_3/262-2064295-1213968?psc=1,3,amazon-devices,DE,2K+
1,4,"Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Without Ads - black",€179.99,11927.0,4.7 out of 5 stars,B0CFPWLGF2,https://www.amazon.de/-/en/kindle-paperwhite-2024/dp/B0CFPWLGF2/ref=zg_bs_g_amazon-devices_d_sccl_4/262-2064295-1213968?psc=1,4,amazon-devices,DE,3K+
1,5,"Amazon Kindle (16 GB) – Lightest and most compact Kindle with glare-free display, faster page turns, adjustable front light and long battery life – Without Ads – Black",€119.99,16350.0,4.6 out of 5 stars,B0CP32JG8B,https://www.amazon.de/-/en/kindle-2024/dp/B0CP32JG8B/ref=zg_bs_g_amazon-devices_d_sccl_5/262-2064295-1213968?psc=1,5,amazon-devices,DE,2K+
1,6,"Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, Ambient Experience",€79.99,22135.0,4.6 out of 5 stars,B0CW4HD359,https://www.amazon.de/-/en/Fire-TV-Stick-4K-Max/dp/B0CW4HD359/ref=zg_bs_g_amazon-devices_d_sccl_6/262-2064295-1213968?psc=1,6,amazon-devices,DE,5K+
1,7,"Amazon Fire TV Stick 4K Plus, supports Wi-Fi 6, Dolby Vision/Atmos, HDR10+",€69.99,35611.0,4.7 out of 5 stars,B0F7ZFWVTC,https://www.amazon.de/-/en/fire-tv-stick-4k-plus/dp/B0F7ZFWVTC/ref=zg_bs_g_amazon-devices_d_sccl_7/262-2064295-1213968?psc=1,7,amazon-devices,DE,5K+
1,8,"Certified Refurbished Amazon Fire TV Stick 4K, supports Wi-Fi 6, Dolby Vision/Atmos, HDR10+",€45.99,155.0,4.4 out of 5 stars,B0CJLV6HRC,https://www.amazon.de/-/en/Certified-Refurbished-Amazon-supports-Vision/dp/B0CJLV6HRC/ref=zg_bs_g_amazon-devices_d_sccl_8/262-2064295-1213968?psc=1,8,amazon-devices,DE,1K+
1,9,"Amazon Kindle Paperwhite Signature Edition (32 GB) – Our fastest Kindle with an auto-adjusting front light, wireless charging and weeks of battery life – Metallic Black",€199.99,5650.0,4.6 out of 5 stars,B0CFPN47NY,https://www.amazon.de/-/en/kindle-paperwhite-signature-edition-2024/dp/B0CFPN47NY/ref=zg_bs_g_amazon-devices_d_sccl_9/262-2064295-1213968?psc=1,9,amazon-devices,DE,1K+
1,10,"Amazon Echo Dot Max (newest gen), Alexa speaker with room-filling sound and built-in smart home hub, Graphite",€109.99,1408.0,4.4 out of 5 stars,B0DKLFHZDH,https://www.amazon.de/-/en/echo-dot-max/dp/B0DKLFHZDH/ref=zg_bs_g_amazon-devices_d_sccl_10/262-2064295-1213968?psc=1,10,amazon-devices,DE,2K+
1,11,Ring Chime (newest gen) | Enhanced Audio Notifications for Ring Video Doorbells & Security Cameras | Bluetooth & Wifi Connectivity | Sleek Design | Easy DIY Plug-In Setup,€34.99,602.0,4.6 out of 5 stars,B0FBCH91T7,https://www.amazon.de/-/en/ring-chime/dp/B0FBCH91T7/ref=zg_bs_g_amazon-devices_d_sccl_11/262-2064295-1213968?psc=1,11,amazon-devices,DE,3K+
1,12,"Echo Spot (2024 release), Smart alarm clock with vibrant sound + Alexa, Black",€94.99,18512.0,4.6 out of 5 stars,B0C2S2J7JP,https://www.amazon.de/-/en/amazon-echo-spot-2024-release-smart-alarm-clock-with-vibrant-sound-alexa-black/dp/B0C2S2J7JP/ref=zg_bs_g_amazon-devices_d_sccl_12/262-2064295-1213968?psc=1,12,amazon-devices,DE,2K+
1,13,"Amazon Kindle Paperwhite and Amazon Kindle Colorsoft Case, Lightweight and Water-Safe, Foldable Protective Cover – Fabric",€41.99,11300.0,4.6 out of 5 stars,B0CM7X424T,https://www.amazon.de/-/en/amazon-kindle-paperwhite-and-amazon-kindle-colorsoft-signature-edition-case/dp/B0CM7X424T/ref=zg_bs_g_amazon-devices_d_sccl_13/262-2064295-1213968?psc=1,13,amazon-devices,DE,500+
1,14,"Ring Indoor Camera (2nd Gen) | Plug-In Pet Security Camera | 1080p HD, Two-Way Talk, Wifi, Privacy Cover, DIY | alternative to CCTV system | 30-day free trial of Ring Home",€44.99,3958.0,4.4 out of 5 stars,B0B6GKHS2S,https://www.amazon.de/-/en/ring-indoor-camera-2nd-gen-by-amazon-plug-in-indoor-security-camera/dp/B0B6GKHS2S/ref=zg_bs_g_amazon-devices_d_sccl_14/262-2064295-1213968?psc=1,14,amazon-devices,DE,1K+
1,15,"Amazon Echo Show 11 (newest gen), Vibrant Full-HD 11"" display with more viewing area, spatial audio and Alexa, Graphite",€239.99,1383.0,3.9 out of 5 stars,B0DTQCWJBR,https://www.amazon.de/-/en/echo-show-11/dp/B0DTQCWJBR/ref=zg_bs_g_amazon-devices_d_sccl_15/262-2064295-1213968?psc=1,15,amazon-devices,DE,1K+
1,16,"Ring Battery Video Doorbell (2024) | DIY Wireless Video Doorbell Camera with Head-To-Toe View, HD Video | Easy to install (5 min) | With Built-in Battery I 30-day free trial of Ring Home",€92.99,17355.0,4.3 out of 5 stars,B0BZWQP9Z1,https://www.amazon.de/-/en/ring-battery-video-doorbell-diy-wireless-video-doorbell-camera-with-head-to-toe-view-hd-video-easy-to-install-5-min-30-day-free-trial-of-ring-protect/dp/B0BZWQP9Z1/ref=zg_bs_g_amazon-devices_d_sccl_16/262-2064295-1213968?psc=1,16,amazon-devices,DE,1K+
1,17,"Blink Mini | Compact indoor plug-in smart security camera, 1080p HD video, motion detection, Works with Alexa | 1 Camera",€14.99,54172.0,4.3 out of 5 stars,B07X37DT9M,https://www.amazon.de/-/en/Blink-Compact-indoor-security-detection/dp/B07X37DT9M/ref=zg_bs_g_amazon-devices_d_sccl_17/262-2064295-1213968?psc=1,17,amazon-devices,DE,500+
1,18,"Certified Refurbished Amazon Fire TV Stick HD (Newest gen), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",€40.99,1190.0,4.5 out of 5 stars,B0CQN6S65N,https://www.amazon.de/-/en/Certified-Refurbished-Amazon-controls-streaming/dp/B0CQN6S65N/ref=zg_bs_g_amazon-devices_d_sccl_18/262-2064295-1213968?psc=1,18,amazon-devices,DE,1K+
1,19,"Amazon Fire TV Stick 4K Select (newest gen), start streaming in 4K, hundreds of thousands of films and TV episodes, and free & live TV",€53.50,6445.0,4.0 out of 5 stars,B0CN41GMDK,https://www.amazon.de/-/en/fire-tv-stick-4k-select/dp/B0CN41GMDK/ref=zg_bs_g_amazon-devices_d_sccl_19/262-2064295-1213968?psc=1,19,amazon-devices,DE,3K+
1,20,"Ring Outdoor Camera Battery (Stick Up Cam Battery) | Outdoor Surveillance Camera with 1080p HD Video, WiFi, Weather-Resistant, Suitable for Your Home & Property | Alexa Compatible Security Camera",€67.99,9123.0,4.4 out of 5 stars,B0C5QXCP7Z,https://www.amazon.de/-/en/ring-stick-up-cam-plug-in/dp/B0C5QXCP7Z/ref=zg_bs_g_amazon-devices_d_sccl_20/262-2064295-1213968?psc=1,20,amazon-devices,DE,1K+
1,21,"Blink Outdoor 4 camera | Wireless HD smart security camera, two-year battery life, enhanced motion detection, works with Alexa | 1 camera system with Sync Module Core incl.| IP65",€79.99,4167.0,4.0 out of 5 stars,B0DHLV4P1B,https://www.amazon.de/-/en/Blink-Wireless-security-two-year-detection/dp/B0DHLV4P1B/ref=zg_bs_g_amazon-devices_d_sccl_21/262-2064295-1213968?psc=1,21,amazon-devices,DE,500+
