page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Floordirekt Premium Anti-Vibration Mat 60 x 60 cm – Made in Germany – for Washing Machines, Dryers etc. – Can be Cut to Size – Available in 4 Thicknesses (60 x 60 x 1.0 cm)",€15.99,3556,4.5 out of 5 stars,B09533FSRD,https://www.amazon.de/-/en/Floordirekt-Premium-Anti-Vibration-Mat-Thicknesses/dp/B09533FSRD/ref=zg_bs_g_appliances_d_sccl_1/257-4921317-0439730?psc=1,1,appliances,de,1K+
1,2,"Dntorx Set of 6 Laundry Net for Washing Machine, Laundry Bag Washing Machine in 4 Sizes, Laundry Bag Laundry Bag with Zip for Shirts, Sweaters, Coats, Jeans, Underwear, Baby Clothes",€5.49,696,4.6 out of 5 stars,B0DWSDC71Q,https://www.amazon.de/-/en/Dntorx-Laundry-Washing-Sweaters-Underwear/dp/B0DWSDC71Q/ref=zg_bs_g_appliances_d_sccl_2/257-4921317-0439730?psc=1,2,appliances,de,2K+
1,3,Westmark Microwave Dinner Plate,€5.58,5624,4.6 out of 5 stars,B000SJ0SO6,https://www.amazon.de/-/en/Westmark-22452270-Microwave-Dinner-Plate/dp/B000SJ0SO6/ref=zg_bs_g_appliances_d_sccl_3/257-4921317-0439730?psc=1,3,appliances,de,2K+
1,4,"Glass Scraper Stove Scraper with 15 Replacement Blades in Handle, Kitchen Scraper for Hob Oven Induction Hob Glass Ceramic, Super in Hand Hair Brush",€9.99,13980,4.5 out of 5 stars,B09JC6Q14S,https://www.amazon.de/-/en/Scraper-Replacement-Kitchen-Induction-Ceramic/dp/B09JC6Q14S/ref=zg_bs_g_appliances_d_sccl_4/257-4921317-0439730?psc=1,4,appliances,de,4K+
1,5,no title,€7.50,10496,4.3 out of 5 stars,B01M7S6SRA,https://www.amazon.de/-/en/Philips-Teardrop-Diameter-Temperature-Resistant-Pieces/dp/B01M7S6SRA/ref=zg_bs_g_appliances_d_sccl_5/257-4921317-0439730?psc=1,5,appliances,de,3K+
1,6,"NIUXX Universal Connection Frame Set for Washing Machine and Dryer, Intermediate Installation Frame Kit for 46-66 cm Washing Machine Dryer, Stacking Kit with Ratchet Rope, Intermediate Installation Kit for Laundry Room",€29.99,6978,4.6 out of 5 stars,B0DB5KDB38,https://www.amazon.de/-/en/NIUXX-Universal-Connection-Intermediate-Installation/dp/B0DB5KDB38/ref=zg_bs_g_appliances_d_sccl_6/257-4921317-0439730?psc=1,6,appliances,de,1K+
1,7,FilterBase® Activated Carbon Filter Set of 4 - Suitable for 9001421821 9001563858 / Siemens Studioline HZ9VRCR0 / Bosch HEZ9VRCR0 / Neff Z821VR0 / Gaggenau CA282111 and Constructa CZ9VRCR0 (195 x 75 x,€27.95,2273,4.7 out of 5 stars,B0C7JFVP8Y,https://www.amazon.de/-/en/FilterBase%C2%AE-Activated-Carbon-Filter-Set/dp/B0C7JFVP8Y/ref=zg_bs_g_appliances_d_sccl_7/257-4921317-0439730?psc=1,7,appliances,de,500+
1,8,2 filters for Miele T1 dryer 9164761,€16.99,2783,4.7 out of 5 stars,B0BGQK683X,https://www.amazon.de/-/en/filters-Miele-T1-dryer-9164761/dp/B0BGQK683X/ref=zg_bs_g_appliances_d_sccl_8/257-4921317-0439730?psc=1,8,appliances,de,1K+
1,9,"Water Filter Refrigerator Replacement for Samsung DA29-10105J, DA29-10105J HAFEX/EXP, DA99-02131B, WSF-100, EF9603, Integrated Pipe Connector by Golden Icepure RWF0300A",€14.00,14730,4.7 out of 5 stars,B07DCRN38R,https://www.amazon.de/-/en/Refrigerator-Replacement-DA29-10105J-DA99-02131B-Integrated/dp/B07DCRN38R/ref=zg_bs_g_appliances_d_sccl_9/257-4921317-0439730?psc=1,9,appliances,de,800+
1,10,"Newaner Pack of 7 laundry net for washing machine, 3 sizes laundry bags, to prevent deformation and folding of clothes, laundry bag with zip for sweaters, shirts, underwear, stockings",€6.99,1851,4.7 out of 5 stars,B0B5QG8J53,https://www.amazon.de/-/en/Newaner-deformation-sweaters-underwear-stockings/dp/B0B5QG8J53/ref=zg_bs_g_appliances_d_sccl_10/257-4921317-0439730?psc=1,10,appliances,de,2K+
1,11,"Rotho Basic Microwave Cover, Plastic (Polypropylene), BPA-Free, Transparent, 26.5 x 26.5 x 6.5 cm",€7.74,10626,4.5 out of 5 stars,B0012XJ744,https://www.amazon.de/Rotho-Microwave-Polypropylene-BPA-Free-Transparent/dp/B0012XJ744/ref=zg_bs_g_appliances_d_sccl_11/257-4921317-0439730?psc=1,11,appliances,de,2K+
1,12,"FilterBase Universal Grease Filter Cooker Hood | Pack of 2 | Filter for Extractor Hood with Saturation Indicator, Compostable, Can Be Cut to Size, 57 x 47 cm",€7.95,1697,4.6 out of 5 stars,B0CHBFVMVV,https://www.amazon.de/-/en/FilterBase-Universal-Extractor-Saturation-Compostable/dp/B0CHBFVMVV/ref=zg_bs_g_appliances_d_sccl_12/257-4921317-0439730?psc=1,12,appliances,de,1K+
1,13,GMY Halogen G9 40 W 230 V Oven Lamp for Oven and Microwave Applications 300 °C Heat Resistant Bulbs Pack of 2 Warm White,€6.99,3087,4.6 out of 5 stars,B08XJQV3KW,https://www.amazon.de/-/en/GMY-G9-Microwave-Applications-Resistant/dp/B08XJQV3KW/ref=zg_bs_g_appliances_d_sccl_13/257-4921317-0439730?psc=1,13,appliances,de,1K+
1,14,"2 Filters for Liebherr Fresh Air Fridge Replaces 7440021-00 [9096989, 988246001, 988246000, 9882429]",€17.99,818,4.8 out of 5 stars,B0DLR1YNCS,https://www.amazon.de/-/en/Liebherr-Replaces-7440021-00-988246001-988246000/dp/B0DLR1YNCS/ref=zg_bs_g_appliances_d_sccl_14/257-4921317-0439730?psc=1,14,appliances,de,1K+
1,15,no title,€440.00,1292,4.3 out of 5 stars,B09NPWWN5R,https://www.amazon.de/-/en/AEG-Washing-Machine-6000-ProSense/dp/B09NPWWN5R/ref=zg_bs_g_appliances_d_sccl_15/257-4921317-0439730?psc=1,15,appliances,de,200+
1,16,"Aquastop Hose, Safety Inlet Hose 2796, Hose Connection 3/4 Inch for Washing Machine and Dishwasher, Aquastopp Water Stop",€18.90,3722,4.6 out of 5 stars,B08KT6C1BP,https://www.amazon.de/-/en/Aquastop-Connection-Washing-Dishwasher-Aquastopp/dp/B08KT6C1BP/ref=zg_bs_g_appliances_d_sccl_16/257-4921317-0439730?psc=1,16,appliances,de,500+
1,17,no title,€191.04,534,4.3 out of 5 stars,B0D6RLT6JH,https://www.amazon.de/-/en/Bomann%C2%AE-Washing-Efficient-Inverter-Programmes/dp/B0D6RLT6JH/ref=zg_bs_g_appliances_d_sccl_17/257-4921317-0439730?psc=1,17,appliances,de,0
1,18,no title,€283.04,1708,4.1 out of 5 stars,B09ZQJZJXB,https://www.amazon.de/-/en/Midea-SV-4-60-Dishwasher-Integrated/dp/B09ZQJZJXB/ref=zg_bs_g_appliances_d_sccl_18/257-4921317-0439730?psc=1,18,appliances,de,50+
1,19,"Bialetti DCDesign08 Moka Induction Plate Adaptor for Use of Coffee Pots and Cookware on Induction Hobs, Steel",€15.76,19467,4.4 out of 5 stars,B07KS4TJZZ,https://www.amazon.de/-/en/Bialetti-DCDesign08-Induction-Adaptor-Cookware/dp/B07KS4TJZZ/ref=zg_bs_g_appliances_d_sccl_19/257-4921317-0439730?psc=1,19,appliances,de,900+
1,20,VIOKS Set of 2 repair kit pump pot seal 12005744 - diameter 182 mm for dishwasher pump pot seal Siemens Bosch Neff pump sump seal Siemens dishwasher replacement parts for error E15,€10.99,2444,4.5 out of 5 stars,B08N2VSH2S,https://www.amazon.de/-/en/VIOKS-repair-pump-seal-12005744/dp/B08N2VSH2S/ref=zg_bs_g_appliances_d_sccl_20/257-4921317-0439730?psc=1,20,appliances,de,1K+
1,21,"Premium Base Filter Suitable for Miele T1 9164761-2x Filter for Tumble Dryer and Heat Pump Dryers - 207 x 157 x 30 mm - Sponge Filter Mat for Active, EditionEco, Silence, SpeedCare, etc.",€12.90,26,4.7 out of 5 stars,B0FN4GNZCS,https://www.amazon.de/-/en/Premium-Filter-Suitable-9164761-2x-Tumble/dp/B0FN4GNZCS/ref=zg_bs_g_appliances_d_sccl_21/257-4921317-0439730?psc=1,21,appliances,de,500+
1,22,"Flintronic Scraper, field scraper with 20 stainless steel and plastic blades, scraper kitchen scraper set, Gadom field scratches, cooker glass scraper, stove scraper for hob, oven, glass ceramic",€3.99,1922,4.6 out of 5 stars,B0BGRT545T,https://www.amazon.de/-/en/Flintronic-Scraper-scraper-stainless-scratches/dp/B0BGRT545T/ref=zg_bs_g_appliances_d_sccl_22/257-4921317-0439730?psc=1,22,appliances,de,800+
1,23,"Halogen Bulb G9 40 W 230 V Oven Lamp G9 Halogen Bulb for Oven, Microwave, Oil up to 300 °C, Pack of 2",€5.99,9846,4.6 out of 5 stars,B094Z4PYN8,https://www.amazon.de/-/en/Halogen-Bulb-Oven-Lamp-Microwave/dp/B094Z4PYN8/ref=zg_bs_g_appliances_d_sccl_23/257-4921317-0439730?psc=1,23,appliances,de,500+
1,24,no title,€7.39,1876,4.6 out of 5 stars,B0B7W9XFC8,https://www.amazon.de/-/en/DiCUNO-Refrigerator-Replaces-Halogen-Machine/dp/B0B7W9XFC8/ref=zg_bs_g_appliances_d_sccl_24/257-4921317-0439730?psc=1,24,appliances,de,700+
1,25,no title,€507.05,507,4.4 out of 5 stars,B0CH31SXVN,https://www.amazon.de/-/en/WM14N12A-Capacity-SpeedPack-smartFinish-Programme/dp/B0CH31SXVN/ref=zg_bs_g_appliances_d_sccl_25/257-4921317-0439730?psc=1,25,appliances,de,400+
1,26,"TFA Dostmann Set of 2 Analogue Cooling Thermometers with Hooks, 95.1036, Handy, with Cooling Zones, for Fridge, Freezer and Cold Store for Temperature Control, up to -40 °C, White",€4.49,142,4.5 out of 5 stars,B0FH2V95ZG,https://www.amazon.de/-/en/TFA-Dostmann-Thermometers-95-1036-Temperature/dp/B0FH2V95ZG/ref=zg_bs_g_appliances_d_sccl_26/257-4921317-0439730?psc=1,26,appliances,de,500+
1,27,"Pack of 12 Pet Hair Remover, Washing Machine, Reusable Lint Balls, Washing Machine, Hair Catcher, Lint Screens, Effective Lint Ball and Lint Catcher, for Removing Pet Hair",€9.98,28,4.3 out of 5 stars,B0G2XPGPSR,https://www.amazon.de/-/en/Remover-Washing-Reusable-Effective-Removing/dp/B0G2XPGPSR/ref=zg_bs_g_appliances_d_sccl_27/257-4921317-0439730?psc=1,27,appliances,de,500+
1,28,"ICQN 42.2 x 37 cm Baking Trays & Grid Set, 3 cm Deep Enamelled Grease Pan and Chrome-Plated Oven Rack for Oven and Hob, Scratch-Resistant and Rustproof, 422 x 375 x 30 mm, Black",€37.90,2102,4.5 out of 5 stars,B09F3PDWKG,https://www.amazon.de/-/en/ICQN-Enamelled-Chrome-Plated-Scratch-Resistant-Rustproof/dp/B09F3PDWKG/ref=zg_bs_g_appliances_d_sccl_28/257-4921317-0439730?psc=1,28,appliances,de,300+
1,29,Set of 2 Filter Suitable for Miele T1 9164761 Dryer Heat Pump Dryer Fine Coarse 207 x 157 x 30 mm Sponge Filter Mat Condenser Dryer Lint Filter Foam Filter Sponge,€17.75,3830,4.6 out of 5 stars,B07ZKJPHBZ,https://www.amazon.de/-/en/Filter-Suitable-9164761-Coarse-Condenser/dp/B07ZKJPHBZ/ref=zg_bs_g_appliances_d_sccl_29/257-4921317-0439730?psc=1,29,appliances,de,700+
1,30,"Aquastop Hose, Including Safety Inlet Hose for Washing Machines and Dishwashers, 3/4 inch, 1,50m / 1.500mm",€23.90,6868,4.6 out of 5 stars,B00LGQHXDY,https://www.amazon.de/-/en/Aquastop-Including-Washing-Machines-Dishwashers/dp/B00LGQHXDY/ref=zg_bs_g_appliances_d_sccl_30/257-4921317-0439730?psc=1,30,appliances,de,0
1,31,no title,€269.00,2515,4.4 out of 5 stars,B08P3H1SRQ,https://www.amazon.de/-/en/Bomann%C2%AE-Fridge-Freezer-Capacity-Shelves-Replaceable/dp/B08P3H1SRQ/ref=zg_bs_g_appliances_d_sccl_31/257-4921317-0439730?psc=1,31,appliances,de,300+
1,32,"LouMaxx Non-Slip Washing Machine Mat, Set of 4, 10 cm x 10 cm, Rubber Mat, 1.5 cm Thick and Non-Slip Antivibration Mat, Made in Germany, Washing Machine Underlay, Also for Dryers and Other Devices",€7.95,2637,4.4 out of 5 stars,B0897KDN6S,https://www.amazon.de/-/en/LouMaxx-Non-Slip-Washing-Antivibration-Underlay/dp/B0897KDN6S/ref=zg_bs_g_appliances_d_sccl_32/257-4921317-0439730?psc=1,32,appliances,de,800+
1,33,no title,€684.00,496,4.3 out of 5 stars,B0C5MBGKH6,https://www.amazon.de/-/en/Bosch-WGB244040-Front-Loader-IronAssist-ActiveWater/dp/B0C5MBGKH6/ref=zg_bs_g_appliances_d_sccl_33/257-4921317-0439730?psc=1,33,appliances,de,400+
1,34,"Fidly 2 x activated carbon filters for Liebherr 9882460 744021-00 9096989 09882429, replacement filter for the refrigerator, coconut activated carbon fresh air as odour filter for optimal air purification, made in Germany",€13.95,1122,4.8 out of 5 stars,B0CN51RMN2,https://www.amazon.de/-/en/Fidly-9882460-9096989-refrigerator-purification/dp/B0CN51RMN2/ref=zg_bs_g_appliances_d_sccl_34/257-4921317-0439730?psc=1,34,appliances,de,600+
1,35,no title,€333.00,1058,4.1 out of 5 stars,B08DMTHR7K,https://www.amazon.de/-/en/Hisense-WF3S8043BW3-ConnectLife-Anti-Allergy-Efficiency/dp/B08DMTHR7K/ref=zg_bs_g_appliances_d_sccl_35/257-4921317-0439730?psc=1,35,appliances,de,100+
1,36,com-four® 2 x Filters for Cooker Hood Can Be Cut to Size – Extractor Hood Filter Universal Use – Cooker Filter Insert – Grease Filter Mat – White Cooker Filter (Pack of 2),€8.99,5130,4.4 out of 5 stars,B07Q2YTL28,https://www.amazon.de/-/en/com-four%C2%AE-Filters-Cooker-Hood-Size/dp/B07Q2YTL28/ref=zg_bs_g_appliances_d_sccl_36/257-4921317-0439730?psc=1,36,appliances,de,500+
