page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Castrol Edge 5W-30 LL Longlife Engine Oil, 5 L",€45.99,13041,4.8 out of 5 stars,B0C813PVBZ,https://www.amazon.de/-/en/Castrol-5W-30-LL-Longlife-Engine/dp/B0C813PVBZ/ref=zg_bs_g_automotive_d_sccl_1/258-0776644-1229634?psc=1,1,automotive,de,6K+
1,2,"OOONO P-DISC 3 Solar-Powered Electronic Parking Disc with Approval for Cars, Automatic Electric Digital Parking Disc, Solar-Powered Parking Meter with Up to 5 Years Longer Battery Life",€29.97,4483,4.6 out of 5 stars,B0DTTR6YY9,https://www.amazon.de/-/en/OOONO-Solar-Powered-Electronic-Approval-Automatic/dp/B0DTTR6YY9/ref=zg_bs_g_automotive_d_sccl_2/258-0776644-1229634?psc=1,2,automotive,de,6K+
1,3,"Needit PARK LITE 1411 fully automatic parking disc, CR 2450 button cell included, blue",€22.95,68113,4.7 out of 5 stars,B00PKJUI5S,https://www.amazon.de/-/en/Needit-1411-automatic-parking-included/dp/B00PKJUI5S/ref=zg_bs_g_automotive_d_sccl_3/258-0776644-1229634?psc=1,3,automotive,de,5K+
1,4,HELDENWERK Car First Aid Bag According to Current Standard 2026 – Can be Used Europe – First Aid Kit Car First Aid Kit DIN 13164:2022 (German Road Traffic Regulations Compliant),€8.99,1658,4.7 out of 5 stars,B0C7VPF68C,https://www.amazon.de/-/en/HELDENWERK-First-According-Current-Standard/dp/B0C7VPF68C/ref=zg_bs_g_automotive_d_sccl_4/258-0776644-1229634?psc=1,4,automotive,de,2K+
1,5,"Bosch Electric Air Pump, Mini Compressor, EasyPump (3.0 Ah Battery, 3.6 Volt, Autostop Function, 150 PSI, 10.3 Bar, LED, rechargeable using USB-C®, in Box)",€44.72,25003,4.5 out of 5 stars,B08HQHW4LS,https://www.amazon.de/-/en/Bosch-Electric-Compressor-EasyPump-rechargeable/dp/B08HQHW4LS/ref=zg_bs_g_automotive_d_sccl_5/258-0776644-1229634?psc=1,5,automotive,de,4K+
1,6,"Bosch 3397007863 wiper blade set, Aerotwin A863S (left wiper)",€21.92,24575,4.7 out of 5 stars,B00FZWPO5Y,https://www.amazon.de/-/en/Bosch-3397007863-wiper-blade-Aerotwin/dp/B00FZWPO5Y/ref=zg_bs_g_automotive_d_sccl_6/258-0776644-1229634?psc=1,6,automotive,de,4K+
1,7,"Philips Vision P21W Ball Lamp, W5W, 13.50x9.50x13.50, White",€3.20,40375,4.7 out of 5 stars,B001B4S3NK,https://www.amazon.de/-/en/Philips-Vision-P21W-13-50x9-50x13-50-White/dp/B001B4S3NK/ref=zg_bs_g_automotive_d_sccl_7/258-0776644-1229634?psc=1,7,automotive,de,1K+
1,8,"OSRAM Night Breaker LED Speed H7 450, LED High Beam and Dipped Headlights, Road Approval, up to 450% More Brightness, 6000K, Quick Installation, No Mechanical Accessories Required, LEDEC02 Integrated",€122.00,3324,4.4 out of 5 stars,B0FM3XJJC8,https://www.amazon.de/-/en/OSRAM-Headlights-Brightness-Installation-Accessories/dp/B0FM3XJJC8/ref=zg_bs_g_automotive_d_sccl_8/258-0776644-1229634?psc=1,8,automotive,de,0
1,9,"OSRAM Night Breaker 220 64210NB220-2HB, H7, 220% More Brightness, Halogen Headlight Bulb, Folding Box (2 Bulbs), White",€28.65,6891,4.4 out of 5 stars,B0D4QSM4CL,https://www.amazon.de/-/en/OSRAM-Breaker-64210NB220-2HB-Brightness-Headlight/dp/B0D4QSM4CL/ref=zg_bs_g_automotive_d_sccl_9/258-0776644-1229634?psc=1,9,automotive,de,4K+
1,10,"SONAX FelgenBeast (1 litre) rim cleaner for all polished, chrome-plated and matte steel and alloy wheels, item no. 04333000.",€11.99,14465,4.7 out of 5 stars,B08144X7H6,https://www.amazon.de/-/en/SONAX-FelgenBeast-polished-chrome-plated-04333000/dp/B08144X7H6/ref=zg_bs_g_automotive_d_sccl_10/258-0776644-1229634?psc=1,10,automotive,de,3K+
1,11,"Liqui Moly 20647 Engine Oil Longlife III 5W-30, 5 Litres",€40.13,7380,4.8 out of 5 stars,B075SF7D67,https://www.amazon.de/-/en/Liqui-Moly-20647-Engine-Longlife/dp/B075SF7D67/ref=zg_bs_g_automotive_d_sccl_11/258-0776644-1229634?psc=1,11,automotive,de,5K+
1,12,"Endoscope Camera with Light, Ennovor 1920 HD Endoscope Camera Mobile Phone with 8 LED Lights, No WiFi Required Inspection Camera Waterproof IP67 Channel Camera for Android & iOS, Tablet (16.4 ft/5 m)",€19.99,4690,4.3 out of 5 stars,B0CZHT2VHS,https://www.amazon.de/-/en/Endoscope-Ennovor-Required-Inspection-Waterproof/dp/B0CZHT2VHS/ref=zg_bs_g_automotive_d_sccl_12/258-0776644-1229634?psc=1,12,automotive,de,1K+
1,13,"AstroAI Wireless Electric Air Pump, Portable Battery Bicycle Pump with All Valves, LED Light, Rechargeable Tyre Pump for Bicycle, E-Bike, Car, Motorcycle, Balls",€22.98,10767,4.5 out of 5 stars,B0CS3B7MD8,https://www.amazon.de/-/en/AstroAI-Wireless-Electric-Rechargeable-Motorcycle/dp/B0CS3B7MD8/ref=zg_bs_g_automotive_d_sccl_13/258-0776644-1229634?psc=1,13,automotive,de,2K+
1,14,Liqui Moly 3721 Cera Tec,€16.49,32232,4.7 out of 5 stars,B001CZODH8,https://www.amazon.de/-/en/Liqui-Moly-3721-Cera-Tec/dp/B001CZODH8/ref=zg_bs_g_automotive_d_sccl_14/258-0776644-1229634?psc=1,14,automotive,de,4K+
1,15,"Osram Cool Blue® Intense H7, +100% More Brightness, Up to 5,000 K, Halogen Headlamp, LED Look, Hanging Folding Box (2 Lamps)",€14.49,4043,4.4 out of 5 stars,B0D845VTG7,https://www.amazon.de/-/en/Intense-Brightness-Halogen-Headlamp-Hanging/dp/B0D845VTG7/ref=zg_bs_g_automotive_d_sccl_15/258-0776644-1229634?psc=1,15,automotive,de,2K+
1,16,Baufan Direct Touch Up Paint White with Brush 250ml,€6.95,5931,4.5 out of 5 stars,B003VPYP0W,https://www.amazon.de/-/en/Baufan-Direct-Touch-Paint-White/dp/B003VPYP0W/ref=zg_bs_g_automotive_d_sccl_16/258-0776644-1229634?psc=1,16,automotive,de,4K+
1,17,"Coolpow Mobile Phone Holder Car for Magsafe Car Mount, 20 x N55 Magnets, Mobile Phone Holder, Car Accessories, Interior, 360° Rotatable, Magnetic Car Mobile Phone Holder, Ventilation for iPhone 17 16",€10.98,4915,4.5 out of 5 stars,B0CR3P1SVL,https://www.amazon.de/-/en/Coolpow-Accessories-Interior-Rotatable-Ventilation/dp/B0CR3P1SVL/ref=zg_bs_g_automotive_d_sccl_17/258-0776644-1229634?psc=1,17,automotive,de,3K+
1,18,"CTEK MXS 5.0 Battery Charger with Automatic Temperature Compensation, 12 V, 5.0 Amp (EU Plug)",€78.45,37547,4.8 out of 5 stars,B00DEID79G,https://www.amazon.de/-/en/CTEK-MXS-5-0-Temperature-Compensation/dp/B00DEID79G/ref=zg_bs_g_automotive_d_sccl_18/258-0776644-1229634?psc=1,18,automotive,de,4K+
1,19,"Gentle North High-Quality Doormat, Grey Black, 40x60 cm, for Indoor & Outdoor Use, Dirt Trapper Mat, Non-Slip, Washable & Weatherproof, for Entrance Area & Outdoor Use, Runner, Hallway, Thin",€6.05,4685,4.6 out of 5 stars,B09R52LD5Y,https://www.amazon.de/-/en/Gentle-North-High-Quality-Non-Slip-Weatherproof/dp/B09R52LD5Y/ref=zg_bs_g_automotive_d_sccl_19/258-0776644-1229634?psc=1,19,automotive,de,1K+
1,20,Liqui Moly 3707 Top Tec 4200 Engine Oil 5 W-30,€44.99,12589,4.8 out of 5 stars,B003JHTIPE,https://www.amazon.de/-/en/Liqui-Moly-3707-4200-Engine/dp/B003JHTIPE/ref=zg_bs_g_automotive_d_sccl_20/258-0776644-1229634?psc=1,20,automotive,de,2K+
1,21,"ROBBX® Parking Disc with Ice Scraper for Cars & Motorcycles, Parking Meter with Tyre Tread Gauge & Shopping Trolley Token",€3.99,4841,4.7 out of 5 stars,B08L71VKC2,https://www.amazon.de/-/en/Parking-Scraper-Motorcycles-Shopping-Trolley/dp/B08L71VKC2/ref=zg_bs_g_automotive_d_sccl_21/258-0776644-1229634?psc=1,21,automotive,de,3K+
