page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Pampers Baby Nappies Size 5 (11–16 kg) Premium Protection, Junior, Monthly Box, Best Comfort and Protection for Sensitive Skin, Pack of 152",€53.50,86721,4.8 out of 5 stars,B0BLW52TM3,https://www.amazon.de/-/en/Pampers-Nappies-Premium-Protection-Sensitive/dp/B0BLW52TM3/ref=zg_bs_g_baby_d_sccl_1/258-1421179-3082259?psc=1,1,baby,de,8K+
1,2,"Pampers Night Pants Size 5, 160 Nappies, 11-17 kg, Pampers Night Pants Provide Additional Protection for the Whole Night",€49.18,842,4.4 out of 5 stars,B0BLW45661,https://www.amazon.de/-/en/Pampers-Nappies-Provide-Additional-Protection/dp/B0BLW45661/ref=zg_bs_g_baby_d_sccl_2/258-1421179-3082259?psc=1,2,baby,de,800+
1,3,"Pampers Premium Protection Pants Size 5, 144 Nappies, 11 kg - 17 kg, with 360° Fit and Soft Anti-Leak Cuffs for Our Best Comfort and Protection",€49.98,16802,4.7 out of 5 stars,B0BLW5BCZQ,https://www.amazon.de/-/en/Pampers-Premium-Protection-Pants-Nappies/dp/B0BLW5BCZQ/ref=zg_bs_g_baby_d_sccl_3/258-1421179-3082259?psc=1,3,baby,de,2K+
1,4,Pampers Harmonie Aqua Wet Wipes 15 Packs of 48 Wet Wipes - 720 Wet Wipes that Help Restore Skin's Natural pH Value Lightweight Lotion with 99% Water,€22.99,7635,4.8 out of 5 stars,B09JTNZR1Z,https://www.amazon.de/-/en/Pampers-Harmonie-Aqua-Wipes-Packs/dp/B09JTNZR1Z/ref=zg_bs_g_baby_d_sccl_4/258-1421179-3082259?psc=1,4,baby,de,10K+
1,5,"Pampers Baby-Dry Size 8, 120 Nappies, 17kg+, Up to 100% Leak Protection and Comfort All Night",€52.95,35342,4.8 out of 5 stars,B0BLW5K4P9,https://www.amazon.de/-/en/Pampers-Baby-Dry-Nappies-Protection-Comfort/dp/B0BLW5K4P9/ref=zg_bs_g_baby_d_sccl_5/258-1421179-3082259?psc=1,5,baby,de,2K+
1,6,"Pampers Nappies Pants Size 5 (12-17 kg) Baby-Dry, Junior with Stop and Protection Bags, Monthly Box, 160 Pants Nappies",€55.35,17855,4.7 out of 5 stars,B0BLW6DCM1,https://www.amazon.de/-/en/Pampers-Nappies-Baby-Dry-Protection-Monthly/dp/B0BLW6DCM1/ref=zg_bs_g_baby_d_sccl_6/258-1421179-3082259?psc=1,6,baby,de,3K+
1,7,"Pampers Baby-Dry Pants Paw Patrol Edition Size 6, 138 Nappies, 13 kg-19 kg, 360° Fit Helps Prevent Leaks",€54.00,2749,4.8 out of 5 stars,B0BLW7Z2RF,https://www.amazon.de/-/en/Pampers-Baby-Dry-Patrol-Nappies-Prevent/dp/B0BLW7Z2RF/ref=zg_bs_g_baby_d_sccl_7/258-1421179-3082259?psc=1,7,baby,de,1K+
1,8,"Pampers Sensitive Baby Wipes, 1200 wipes (15 x 80) For Sensitive Baby Skin, Dermatologically Tested, Baby First Kit For Newborns",€23.45,24927,4.8 out of 5 stars,B07P7KJ1QS,https://www.amazon.de/-/en/Pampers-Sensitive-Dermatologically-Tested-Newborns/dp/B07P7KJ1QS/ref=zg_bs_g_baby_d_sccl_8/258-1421179-3082259?psc=1,8,baby,de,8K+
1,9,"by Amazon Sensitive Baby Wipes 1008 Wipes, Unscented, 18 Packs of 56 (previously under the Mama Bear brand, identical product)",€11.75,9810,4.4 out of 5 stars,B085LQQ6MT,https://www.amazon.de/-/en/Amazon-Sensitive-Unscented-previously-identical/dp/B085LQQ6MT/ref=zg_bs_g_baby_d_sccl_9/258-1421179-3082259?psc=1,9,baby,de,4K+
1,10,Amazon Brand: Mama Bear Ultra Sensitive Baby Wet Wipes - 18 Pack (1080 Wipes- 100% Biodegradable),€14.05,12750,4.2 out of 5 stars,B07V4S5Q57,https://www.amazon.de/-/en/Amazon-Brand-Sensitive-Wipes-Biodegradable/dp/B07V4S5Q57/ref=zg_bs_g_baby_d_sccl_10/258-1421179-3082259?psc=1,10,baby,de,5K+
1,11,Amazon Brand: Mama Bear - 152 ultra-dry nappies - size 5 (10-16 kg).,€24.05,13298,4.1 out of 5 stars,B084N3JLFF,https://www.amazon.de/-/en/Amazon-Brand-ultra-dry-nappies-10-16/dp/B084N3JLFF/ref=zg_bs_g_baby_d_sccl_11/258-1421179-3082259?psc=1,11,baby,de,400+
1,12,"Pampers Fresh Clean Baby Wipes, Mild Fragrance, Also Suitable for Hands and Face, 1200 Wipes (Pack of 15)",€22.50,16700,4.8 out of 5 stars,B07P5H4M8N,https://www.amazon.de/-/en/Pampers-Fresh-Clean-Fragrance-Suitable/dp/B07P5H4M8N/ref=zg_bs_g_baby_d_sccl_12/258-1421179-3082259?psc=1,12,baby,de,4K+
1,13,Fisher-Price FXC66 - Snooze Music Box Plush with Soothing Music and Rhythmic Movements for Soothing Baby Toy from Birth,€29.99,65900,4.6 out of 5 stars,B07N1JP56L,https://www.amazon.de/-/en/Fisher-Price-FXC66-Soothing-Rhythmic-Movements/dp/B07N1JP56L/ref=zg_bs_g_baby_d_sccl_13/258-1421179-3082259?psc=1,13,baby,de,6K+
1,14,Hoffenbach 20 x Socket Child Lock - Socket Lock with Twist Mechanism - Protection for Babies & Children - Socket Protection Prevents Accidents & Electric Shock - Socket Child Protection - White,€7.99,4568,4.6 out of 5 stars,B0854MW97N,https://www.amazon.de/-/en/Hoffenbach-Socket-Child-Lock-Protection/dp/B0854MW97N/ref=zg_bs_g_baby_d_sccl_14/258-1421179-3082259?psc=1,14,baby,de,4K+
1,15,"by Amazon Fresh Baby Wipes 1008 Wipes Lightly Scented 18 Packs of 56 (previously under the Mama Bear brand, identical product)",€11.79,5768,4.5 out of 5 stars,B085LQVHV8,https://www.amazon.de/-/en/Amazon-Lightly-Scented-previously-identical/dp/B085LQVHV8/ref=zg_bs_g_baby_d_sccl_15/258-1421179-3082259?psc=1,15,baby,de,1K+
1,16,Hoffenbach Magnetic Child Lock 12 Locks + 3 Keys - Cupboard Lock & Drawer Lock No Drilling - Invisible Magnetic Closure - White,€19.99,4282,4.4 out of 5 stars,B072PPT9V3,https://www.amazon.de/-/en/Hoffenbach-Magnetic-Child-12-Locks/dp/B072PPT9V3/ref=zg_bs_g_baby_d_sccl_16/258-1421179-3082259?psc=1,16,baby,de,2K+
1,17,"Pampers Harmonie Aqua Wet Wipes 24 Packs of 48 Wet Wipes, 1152 Wet Wipes to Help Restore Skin's Natural pH Lightweight Lotion with 99 Percent Water",€39.66,3907,4.8 out of 5 stars,B0BLW493ZC,https://www.amazon.de/-/en/Pampers-Harmonie-Restore-Natural-Lightweight/dp/B0BLW493ZC/ref=zg_bs_g_baby_d_sccl_17/258-1421179-3082259?psc=1,17,baby,de,4K+
1,18,"Philips Avent Natural Response Sauger – 2x Sauger für Babyflaschen mit Durchflussstärke 4, für Babys ab 3 Monaten, BPA-frei (Modell SCY964/02)",€5.95,6531,4.7 out of 5 stars,B0BWFP3RXD,https://www.amazon.de/-/en/Philips-Avent-Natural-Response-Sauger/dp/B0BWFP3RXD/ref=zg_bs_g_baby_d_sccl_18/258-1421179-3082259?psc=1,18,baby,de,1K+
