page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,no title,,117,4.4 out of 5 stars,B0BV9K8BXT,https://www.amazon.de/-/en/OOTD-Retinol-Sheet-Mask-Smoothing/dp/B0BV9K8BXT/ref=zg_bs_g_beauty_d_sccl_1/261-6764158-5700328?psc=1,1,beauty,de,0
1,2,"d'alba Italian White Truffle First Spray Serum Spraying Serum, Moisturising Face Spray, Surfactant-Free, Spraying for Radiant Skin, Skin Soothing, Vegan, Korean Skin Care (100 ml)",€16.24,33086,4.4 out of 5 stars,B0BFQ9RD5B,https://www.amazon.de/-/en/dalba-Spraying-Moisturising-Surfactant-Free-Soothing/dp/B0BFQ9RD5B/ref=zg_bs_g_beauty_d_sccl_2/261-6764158-5700328?psc=1,2,beauty,de,8K+
1,3,"Maybelline New York Black Mascara for Extremely Long Eyelashes, Lash Sensational Sky High Mascara, Very Black, 7.2 ml",€9.08,73113,4.4 out of 5 stars,B08P4YPB8Q,https://www.amazon.de/-/en/Maybelline-Mascara-Extremely-Eyelashes-Sensational/dp/B08P4YPB8Q/ref=zg_bs_g_beauty_d_sccl_3/261-6764158-5700328?psc=1,3,beauty,de,9K+
1,4,"d'alba Italian White Truffle Double Serum All-in-One Multi Balm, Vegan Skin Care, 3-in-1 Treatment with White Truffles for Wrinkle Improvement, Stick Eye Treatment Balm, Korean Skin Care",€23.99,3393,4.3 out of 5 stars,B09SZ5JX2Y,https://www.amazon.de/-/en/dalba-Italian-Treatment-Truffles-Improvement/dp/B09SZ5JX2Y/ref=zg_bs_g_beauty_d_sccl_4/261-6764158-5700328?psc=1,4,beauty,de,3K+
1,5,"Bionoble Organic Castor Oil, 50 ml, 100% Pure, Natural and Cold Pressed, for Eyelashes, Eyebrows, Hair, Beard, Nails, Vegan and Cruelty-Free, Glass Bottle + Pipette + Pump",€9.98,59872,4.4 out of 5 stars,B08D6G78W6,https://www.amazon.de/-/en/Bionoble-Organic-Eyelashes-Eyebrows-Cruelty-Free/dp/B08D6G78W6/ref=zg_bs_g_beauty_d_sccl_5/261-6764158-5700328?psc=1,5,beauty,de,3K+
1,6,"Ninabella® Organic Hair Brush, No Tugging, Professional Detangling Brush, Unique Detangler Brush with Spiral Spring",€9.99,54796,4.8 out of 5 stars,B08P7DK62W,https://www.amazon.de/-/en/Ninabella%C2%AE-Organic-Professional-Detangling-Detangler/dp/B08P7DK62W/ref=zg_bs_g_beauty_d_sccl_6/261-6764158-5700328?psc=1,6,beauty,de,1K+
1,7,"The Ordinary Niacinamide 10% + Zinc 1%, 30 ml",€5.20,47464,4.4 out of 5 stars,B01MDTVZTZ,https://www.amazon.de/-/en/Ordinary-Niacinamide-10-Zinc-1/dp/B01MDTVZTZ/ref=zg_bs_g_beauty_d_sccl_7/261-6764158-5700328?psc=1,7,beauty,de,9K+
1,8,"M.Asam Magic Finish, 30 ml",€22.95,25840,4.4 out of 5 stars,B01N5QC1CL,https://www.amazon.de/-/en/M-Asam-Magic-Finish-30-ml/dp/B01N5QC1CL/ref=zg_bs_g_beauty_d_sccl_8/261-6764158-5700328?psc=1,8,beauty,de,6K+
1,9,"Kérastase Genesis Sérum Anti-Chute Fortifiant, Stärkende Haarkur für feines und brüchiges Haar, Gegen Haarausfall und Haarbruch",€39.02,6620,4.3 out of 5 stars,B083JKPCFB,https://www.amazon.de/-/en/K%C3%A9rastase-Strengthening-Breakage-Anti-Chute-Fortifiant/dp/B083JKPCFB/ref=zg_bs_g_beauty_d_sccl_9/261-6764158-5700328?psc=1,9,beauty,de,7K+
1,10,"UniqOne Hair Treatment Classic, 150 ml, Spray Treatment for More Volume, Smoothness & Easier Combing, Hair Care without Rinsing, Spray Helps Prevent Split Ends",€9.30,98282,4.6 out of 5 stars,B00M9B66BU,https://www.amazon.de/-/en/UniqOne-Treatment-Classic-Smoothness-Combing/dp/B00M9B66BU/ref=zg_bs_g_beauty_d_sccl_10/261-6764158-5700328?psc=1,10,beauty,de,4K+
1,11,"Tangle Teezer Ultimate Detangler Midnight Black Hair Brush for Wet and Dry Hair, Ergonomic Handle, Painless Detangling, Ideal for Conditioner Distribution, Eco-Friendly",€10.45,62343,4.7 out of 5 stars,B07D38HKCS,https://www.amazon.de/-/en/Tangle-Teezer-Conditioner-Distribution-Eco-Friendly/dp/B07D38HKCS/ref=zg_bs_g_beauty_d_sccl_11/261-6764158-5700328?psc=1,11,beauty,de,3K+
1,12,"Priorin Capsules For Hormonal Hereditary Hair Loss (1) In Women, 30 Capsules",€12.01,9391,4.4 out of 5 stars,B0010HL4NY,https://www.amazon.de/-/en/Priorin-Capsules-Hormonal-Hereditary-Women/dp/B0010HL4NY/ref=zg_bs_g_beauty_d_sccl_12/261-6764158-5700328?psc=1,12,beauty,de,3K+
