page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,adidas Unisex Adilette Aqua Slides,€16.31,74814,4.2 out of 5 stars,B07F73JQ96,https://www.amazon.de/-/en/adidas-Adilette-Unisex-Slides-Black/dp/B07F73JQ96/ref=zg_bs_g_fashion_d_sccl_1/261-3805806-5055818?psc=1,1,fashion,de,100+
1,2,SINOPHANT Leggings Damen High Waist - Blickdicht Leggins mit Bauchkontrolle für Sport Yoga Gym,€6.84,82068,4.5 out of 5 stars,B07P3H8XT5,https://www.amazon.de/-/en/SINOPHANT-Womens-Leggings-Abdominal-Control/dp/B07P3H8XT5/ref=zg_bs_g_fashion_d_sccl_2/261-3805806-5055818?psc=1,2,fashion,de,3K+
1,3,adidas Unisex Vs Pace 2.0 Shoes,€32.99,11632,4.5 out of 5 stars,B0BJL3VS2W,https://www.amazon.de/-/en/adidas-Unisex-Pace-2-0-Shoes/dp/B0BJL3VS2W/ref=zg_bs_g_fashion_d_sccl_3/261-3805806-5055818?psc=1,3,fashion,de,100+
1,4,ONLY Women's Onlrain Mid Waist Skinny ANK Acid PIM Jeans,€20.99,9219,4.0 out of 5 stars,B072BZYSRF,https://www.amazon.de/-/en/ONLY-Womens-Onlrain-Cry6060-Skinny/dp/B072BZYSRF/ref=zg_bs_g_fashion_d_sccl_4/261-3805806-5055818?psc=1,4,fashion,de,500+
1,5,"HORISUN Comfortable Seamless Full Coverage Bra for Women, Wireless Bras with Soft Support, Regular and Large Sizes",€18.69,5703,4.2 out of 5 stars,B0CNPKBNJQ,https://www.amazon.de/-/en/HORISUN-Comfortable-Seamless-Coverage-Wireless/dp/B0CNPKBNJQ/ref=zg_bs_g_fashion_d_sccl_5/261-3805806-5055818?psc=1,5,fashion,de,700+
1,6,"QINCAO Men's Boxer Shorts, Pack of 6, Men's Underwear, Retro Shorts, Cotton",€16.99,47161,4.5 out of 5 stars,B08CXJVPCG,https://www.amazon.de/-/en/QINCAO-Boxer-Shorts-Underwear-Cotton/dp/B08CXJVPCG/ref=zg_bs_g_fashion_d_sccl_6/261-3805806-5055818?psc=1,6,fashion,de,1K+
1,7,FALARY 12 Pairs of Socks Men Women Cotton Men's Socks Black White Sports Socks Breathable,€19.99,5231,4.5 out of 5 stars,B09KH2DX94,https://www.amazon.de/-/en/FALARY-Cotton-Sports-Breathable-Black-12Pair/dp/B09KH2DX94/ref=zg_bs_g_fashion_d_sccl_7/261-3805806-5055818?psc=1,7,fashion,de,3K+
1,8,FM London Men's T-Shirt 3/5 Pack - High Quality T-Shirts with Slightly Tailored Design,€25.39,8202,4.5 out of 5 stars,B0C5D5PQNR,https://www.amazon.de/-/en/FM-London-T-Shirts-Slightly-Tailored/dp/B0C5D5PQNR/ref=zg_bs_g_fashion_d_sccl_8/261-3805806-5055818?psc=1,8,fashion,de,500+
1,9,Calvin Klein Men's Boxer Shorts Trunks Underwear Pack of 3,€26.00,60629,4.4 out of 5 stars,B001BEAWZM,https://www.amazon.de/-/en/Calvin-Klein-Boxer-Shorts-black/dp/B001BEAWZM/ref=zg_bs_g_fashion_d_sccl_9/261-3805806-5055818?psc=1,9,fashion,de,1K+
1,10,adidas Unisex Breaknet Sleek Shoes,€60.00,2897,4.4 out of 5 stars,B0F1XFQFFT,https://www.amazon.de/-/en/adidas-Womens-Breaknet-Sleek-Sandstone/dp/B0F1XFQFFT/ref=zg_bs_g_fashion_d_sccl_10/261-3805806-5055818?psc=1,10,fashion,de,100+
1,11,adidas Unisex Children's Adilette Aqua Slides,€11.61,14837,4.5 out of 5 stars,B08MPWXYB7,https://www.amazon.de/-/en/adidas-Unisex-Childrens-Adilette-Slides/dp/B08MPWXYB7/ref=zg_bs_g_fashion_d_sccl_11/261-3805806-5055818?psc=1,11,fashion,de,0
1,12,adidas Unisex Cushioned Crew Socks 6 Pair Pack Socks,€17.99,484,4.6 out of 5 stars,B0F5B9SC2D,https://www.amazon.de/-/en/Adidas-Unisex-Cushioned-Tennis-Sports/dp/B0F5B9SC2D/ref=zg_bs_g_fashion_d_sccl_12/261-3805806-5055818?psc=1,12,fashion,de,900+
1,13,Women's Vmlea Ls V-neck Cuff Cardigan Noos Cardigan Sweater,€12.79,1279,4.3 out of 5 stars,B0946FXLZN,https://www.amazon.de/-/en/Womens-Vmlea-V-Neck-Cardigan-black/dp/B0946FXLZN/ref=zg_bs_g_fashion_d_sccl_13/261-3805806-5055818?psc=1,13,fashion,de,500+
1,14,Lico Unisex Children's G 1 Style Gymnastics Shoes,€14.06,14382,4.3 out of 5 stars,B004U6OITE,https://www.amazon.de/-/en/Childrens-Style-Gymnastics-Shoes-Unisex/dp/B004U6OITE/ref=zg_bs_g_fashion_d_sccl_14/261-3805806-5055818?psc=1,14,fashion,de,0
