page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"MORE Zerup, Peach Iced Tea, 65 ml, for up to 8 litres of ready-to-drink drink, sugar-free syrup with real fruit extracts, vegan, zero calories, made in Germany",€5.25,7974,4.4 out of 5 stars,B0C3M23PD8,https://www.amazon.de/-/en/MORE-sugar-free-extracts-calories-Germany/dp/B0C3M23PD8/ref=zg_bs_g_grocery_d_sccl_1/262-2005277-6523137?psc=1,1,grocery,de,10K+
1,2,Best Body Nutrition Vital Drink ZEROP® – Cherry Syrup Sugar-Free – 1 L – 1:80 Makes 80 Litres of Ready Drink – Drink Concentrate with Fruit Juice – Taste for Water with Vitamins,€11.49,31720,4.3 out of 5 stars,B000L0RFMU,https://www.amazon.de/-/en/Best-Body-Nutrition-Vital-ZEROP%C2%AE/dp/B000L0RFMU/ref=zg_bs_g_grocery_d_sccl_2/262-2005277-6523137?psc=1,2,grocery,de,4K+
1,3,"More Chunky Flavour, Vanilla Perfection, 150 g, Vegan, Flavour Powder for Sweetening, Low in Sugar and Calories, with Inulin and Lactase, Made in Germany",€11.90,9928,4.4 out of 5 stars,B0D3M1JNDG,https://www.amazon.de/-/en/Flavour-Vanilla-Perfection-Sweetening-Calories/dp/B0D3M1JNDG/ref=zg_bs_g_grocery_d_sccl_3/262-2005277-6523137?psc=1,3,grocery,de,7K+
1,4,Lavazza Crema E Aroma Coffee Beans 1 kg,€21.29,24688,4.6 out of 5 stars,B000FWHWGS,https://www.amazon.de/-/en/Lavazza-Crema-Aroma-Coffee-Beans/dp/B000FWHWGS/ref=zg_bs_g_grocery_d_sccl_4/262-2005277-6523137?psc=1,4,grocery,de,5K+
1,5,Meßmer Mint Caramel x Bridgerton Limited Edition | 23 Tea Bags | Refreshing Sweet,€2.35,6260,4.7 out of 5 stars,B0FZVLZH55,https://www.amazon.de/-/en/Me%C3%9Fmer-Caramel-Bridgerton-Limited-Refreshing/dp/B0FZVLZH55/ref=zg_bs_g_grocery_d_sccl_5/262-2005277-6523137?psc=1,5,grocery,de,3K+
1,6,"Lavazza, Espresso Italiano Cremoso, Arabica and Robusta Coffee Beans, with Aroma Notes of Spices and Cocoa, Intensity 8/10, Medium Roast, 1 Pack of 1 kg",€21.29,8706,4.6 out of 5 stars,B000VJ8NEU,https://www.amazon.de/-/en/Lavazza-Espresso-Italiano-Cremoso-Intensity/dp/B000VJ8NEU/ref=zg_bs_g_grocery_d_sccl_6/262-2005277-6523137?psc=1,6,grocery,de,0
1,7,"nimm2 Lachgummi Mümmelbande - 1 x 225g - Vegan Fruit Gum with Vitamins, Fruit and Vegetable Juice",€1.29,2572,4.6 out of 5 stars,B0F43PR7HT,https://www.amazon.de/-/en/nimm2-Lachgummi-M%C3%BCmmelbande-Vitamins-Vegetable/dp/B0F43PR7HT/ref=zg_bs_g_grocery_d_sccl_7/262-2005277-6523137?psc=1,7,grocery,de,2K+
1,8,Pfanner Zero Syrup Ice Tea Wild Cherry (1 x 57 ml) - Sugar Free Drink Syrup for 8 L Iced Tea - Calorie Free & Sugar Free - Pfanner Iced Tea Flavour,€3.99,129,4.5 out of 5 stars,B0FWKPZ7FQ,https://www.amazon.de/-/en/Pfanner-Zero-Syrup-Wild-Cherry/dp/B0FWKPZ7FQ/ref=zg_bs_g_grocery_d_sccl_8/262-2005277-6523137?psc=1,8,grocery,de,2K+
1,9,Meßmer Cinnamon Plum Fruit Tea with Plum Flavour 20 Tea Bags Vegan Gluten Free Lactose Free,€2.35,4110,4.6 out of 5 stars,B098BFJ5LL,https://www.amazon.de/-/en/Me%C3%9Fmer-Cinnamon-Flavour-Gluten-Lactose/dp/B098BFJ5LL/ref=zg_bs_g_grocery_d_sccl_9/262-2005277-6523137?psc=1,9,grocery,de,4K+
1,10,Meßmer Country Tea | Italian Lime Tea | 20 Tea Bags | Gluten Free | Lactose Free | Vegan,€2.45,7670,4.6 out of 5 stars,B08P5V9YS3,https://www.amazon.de/-/en/Me%C3%9Fmer-Country-Italian-Gluten-Lactose/dp/B08P5V9YS3/ref=zg_bs_g_grocery_d_sccl_10/262-2005277-6523137?psc=1,10,grocery,de,1K+
