page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"eSUN PLA Filament 1.75 mm, PLA Basic 3D Printer Filament Dimensional Accuracy +/- 0.03 mm, 1 kg Spool (2.2 LBS) Super Speedy PLA Filament for 3D Printers, Black",€10.92,7604,4.3 out of 5 stars,B0CR1DBBFN,https://www.amazon.de/-/en/eSUN-Filament-Dimensional-Accuracy-Printers/dp/B0CR1DBBFN/ref=zg_bs_g_industrial_d_sccl_1/258-8907603-1764427?psc=1,1,industrial,de,3K+
1,2,"ARNOMED Disposable Gloves, Pack of 100 Black L Nitrile Gloves, Powder-Free and Latex-Free Disposable Gloves, Gloves Available in Size XS, S, M, L, XL and XXL",€7.99,25577,4.6 out of 5 stars,B093SWH4D8,https://www.amazon.de/-/en/ARNOMED-Disposable-Powder-Free-Latex-Free-Available/dp/B093SWH4D8/ref=zg_bs_g_industrial_d_sccl_2/258-8907603-1764427?psc=1,2,industrial,de,5K+
1,3,"BiOHY Floor Cleaner for Mop Robots (1 Litre Bottle), Concentrate Cleaning Agent for All Mop and Robot Vacuum Cleaners with Wet Function, Low Foam and Streak-Free, For All Floors",€12.67,15001,4.4 out of 5 stars,B08BWQ4WXY,https://www.amazon.de/-/en/Concentrate-Cleaning-Cleaners-Function-Streak-Free/dp/B08BWQ4WXY/ref=zg_bs_g_industrial_d_sccl_3/258-8907603-1764427?psc=1,3,industrial,de,4K+
1,4,"EQM ECO-301 isopropanol isopropyl alcohol 99.9% 1L cleaning of electronic components, lenses and screens cleaning resins in 3D printing",€8.20,16319,4.8 out of 5 stars,B07SH9FY7G,https://www.amazon.de/-/en/EQM-ECO-301-isopropanol-electronic-components/dp/B07SH9FY7G/ref=zg_bs_g_industrial_d_sccl_4/258-8907603-1764427?psc=1,4,industrial,de,7K+
1,5,Maxxi Clean Pure Isopropanol (99.9%) Cleaning Alcohol 1 x 750 ml Grease Remover & Solvent Rubbing Alcohol Isopropyl Alcohol Alcohol Cleaner Cleaning Alcohol,€6.49,11334,4.8 out of 5 stars,B0849YHNK5,https://www.amazon.de/-/en/Maxxi-Clean-Isopropanol-Cleaning-Isopropyl/dp/B0849YHNK5/ref=zg_bs_g_industrial_d_sccl_5/258-8907603-1764427?psc=1,5,industrial,de,2K+
1,6,"SUNLU PLA+ 3D Printer Filament, 1.75 mm, Stronger Resilience, Neatly Wound, 1 kg, Dimensional Accuracy +/- 0.02 mm, White",€14.99,9532,4.5 out of 5 stars,B07XFL3XB9,https://www.amazon.de/-/en/SUNLU-PLA-Printer-Filament-Dimensional/dp/B07XFL3XB9/ref=zg_bs_g_industrial_d_sccl_6/258-8907603-1764427?psc=1,6,industrial,de,900+
1,7,"3D Printing Super Glue Gel Extra Strong - 50g XXL Super Glue Waterproof, Heat Resistant & Transparent - Anti-Drying Tip - Kraftprotz PLA, ABS, PETG, TPU Glue & Accessories",€5.94,3564,4.6 out of 5 stars,B0CBSGWZRW,https://www.amazon.de/-/en/Printing-Super-Glue-Extra-Strong/dp/B0CBSGWZRW/ref=zg_bs_g_industrial_d_sccl_7/258-8907603-1764427?psc=1,7,industrial,de,3K+
1,8,Hair-Removing Drain Cleaner,€18.99,12104,4.3 out of 5 stars,B001XPLFAK,https://www.amazon.de/-/en/bio-chem-CLEANTEC-1L-Hair-Removing-Cleaner/dp/B001XPLFAK/ref=zg_bs_g_industrial_d_sccl_8/258-8907603-1764427?psc=1,8,industrial,de,2K+
1,9,"B Braun Alcohol Pads, Pack of 1 (1 x 100 Pieces)",€3.36,3505,4.7 out of 5 stars,B003US958C,https://www.amazon.de/-/en/Braun-Alcohol-Pads-Pack-Pieces/dp/B003US958C/ref=zg_bs_g_industrial_d_sccl_9/258-8907603-1764427?psc=1,9,industrial,de,2K+
1,10,"Maxxi Clean 750 ml Floor Cleaner with Fresh Fragrance, Suitable for All Mopping Robots, Universal Cleaner Concentrate, Wiper Fluid for Floors, Parquet, Tiles, Vacuum Cleaner Detergent",€6.99,5259,4.4 out of 5 stars,B0BGXX5GM1,https://www.amazon.de/-/en/Maxxi-Clean-Fragrance-Universal-Concentrate/dp/B0BGXX5GM1/ref=zg_bs_g_industrial_d_sccl_10/258-8907603-1764427?psc=1,10,industrial,de,3K+
