page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Jacobson Jersey Fitted Sheet, Cotton Bed Sheet, 180 x 200 cm to 200 x 200 cm, Grey",€11.99,33795,4.5 out of 5 stars,B01LZ8VHN9,https://www.amazon.de/-/en/Jacobson-Jersey-Fitted-Sheet-Cotton/dp/B01LZ8VHN9/ref=zg_bs_g_kitchen_d_sccl_1/259-0922661-5243762?psc=1,1,kitchen,de,900+
1,2,"De'Longhi Original EcoDecalk DLSC500 Descaler for Coffee Machines and Fully Automatic Coffee Machines, Universal Limescale Remover for 5 Descaling Operations, Contains Natural Raw Materials of Organic Origin, 500 ml",€10.70,172888,4.8 out of 5 stars,B008YETL18,https://www.amazon.de/-/en/DeLonghi-EcoDecalk-DLSC500-Automatic-Operations/dp/B008YETL18/ref=zg_bs_g_kitchen_d_sccl_2/259-0922661-5243762?psc=1,2,kitchen,de,5K+
1,3,"Utopia Bedding, Fitted Sheet, 140 x 200 cm, Grey, Oeko-Tex Certified, Brushed Polyester Microfibre, 35 cm Deep Pockets",€7.94,107784,4.4 out of 5 stars,B07BXW8PPY,https://www.amazon.de/-/en/Utopia-Bedding-Certified-Polyester-Microfibre/dp/B07BXW8PPY/ref=zg_bs_g_kitchen_d_sccl_3/259-0922661-5243762?psc=1,3,kitchen,de,1K+
1,4,JURA Original - Claris Smart+ Filter Cartridge with Automatic Filter Detection - TÜV-Certified Hygiene - Pack of 3 - 24233,€39.99,11263,4.7 out of 5 stars,B0BF9W3WC4,https://www.amazon.de/-/en/JURA-Original-Cartridge-Automatic-T%C3%9CV-Certified/dp/B0BF9W3WC4/ref=zg_bs_g_kitchen_d_sccl_4/259-0922661-5243762?psc=1,4,kitchen,de,20K+
1,5,"the carpet Relax Rug, Fluffy, Short Pile, Non-Slip Underside, Washable up to 30 °C, Super-Soft, Fur Look, Beige, 160 x 220 cm",€34.98,15464,4.4 out of 5 stars,B0CKZ4GW25,https://www.amazon.de/-/en/carpet-Non-Slip-Underside-Washable-Super-Soft/dp/B0CKZ4GW25/ref=zg_bs_g_kitchen_d_sccl_5/259-0922661-5243762?psc=1,5,kitchen,de,1K+
1,6,"Buymax® Fitted Sheet, 100% Cotton Jersey, for Mattresses Up to 25 cm High, Oeko-Tex Standard, 140 x 200 cm, Anthracite-Grey",€10.34,32584,4.5 out of 5 stars,B09886CTWD,https://www.amazon.de/-/en/Buymax%C2%AE-Mattresses-Oeko-Tex-Standard-Anthracite-Grey/dp/B09886CTWD/ref=zg_bs_g_kitchen_d_sccl_6/259-0922661-5243762?psc=1,6,kitchen,de,1K+
1,7,"SWEET VIEW Olive Oil Dispenser and Oil Sprayer - 470ml Glass Lightproof Oil Pourer for Kitchen, Air Fryer, Cooking, Salad and BBQ",€9.34,5503,4.5 out of 5 stars,B0F2DJV6SZ,https://www.amazon.de/-/en/SWEET-VIEW-Olive-Dispenser-Sprayer/dp/B0F2DJV6SZ/ref=zg_bs_g_kitchen_d_sccl_7/259-0922661-5243762?psc=1,7,kitchen,de,4K+
1,8,Dreamzie Elasticated Cotton Fitted Sheet,€12.99,15920,4.5 out of 5 stars,B07V385596,https://www.amazon.de/-/en/Dreamzie-Elasticated-Cotton-Fitted-Sheet/dp/B07V385596/ref=zg_bs_g_kitchen_d_sccl_8/259-0922661-5243762?psc=1,8,kitchen,de,700+
1,9,"Pack of 120 Baking Parchment Paper for Ninja Dual Hot Air Fryer, Stone TH Airfryer with Double Chamber, Parchment Paper Liner, Compatible with Ninja AF300EU AF400EU SL400EU AF500EU, Other Hot Air",€9.99,12113,4.6 out of 5 stars,B0BW3NTPWN,https://www.amazon.de/-/en/Parchment-Stone-TH-Airfryer-Compatible/dp/B0BW3NTPWN/ref=zg_bs_g_kitchen_d_sccl_9/259-0922661-5243762?psc=1,9,kitchen,de,6K+
1,10,"Twinzen Waterproof Mattress Protector, 140 x 200 cm, Oeko-Tex Certified, Mattress Protector 140 x 200 cm, Cotton Breathable with 4 Corner Elastics",€13.99,20567,4.4 out of 5 stars,B0BVR9PP5M,https://www.amazon.de/-/en/Twinzen-Waterproof-Protector-Certified-Breathable/dp/B0BVR9PP5M/ref=zg_bs_g_kitchen_d_sccl_10/259-0922661-5243762?psc=1,10,kitchen,de,3K+
1,11,"Philips Lint Shaver, Lint Remover for Clothes, Suitable for All Textiles, 2 Height Settings, Battery Operated (2 x AA Batteries Included), Blue (GC026/00)",€12.99,156293,4.6 out of 5 stars,B00E3862DE,https://www.amazon.de/-/en/Philips-Suitable-Textiles-Batteries-GC026/dp/B00E3862DE/ref=zg_bs_g_kitchen_d_sccl_11/259-0922661-5243762?psc=1,11,kitchen,de,4K+
1,12,"Sonello Pleated Blind, Klemmfix, No Drilling, 90 cm x 120 cm, White, Folding Roller Blind, Window Blind for Doors and Windows, Opaque, Privacy Protection, Sun Protection, Ready Pleated Roller Blind",€20.89,19157,4.5 out of 5 stars,B08168JCLS,https://www.amazon.de/-/en/Sonello-Pleated-Klemmfix-Drilling-Protection/dp/B08168JCLS/ref=zg_bs_g_kitchen_d_sccl_12/259-0922661-5243762?psc=1,12,kitchen,de,100+
1,13,"Siemens Descaling Tablets, Improved formula TZ80002A, White",€10.99,23356,4.8 out of 5 stars,B07WWGKRHL,https://www.amazon.de/-/en/Siemens-Descaling-Tablets-Improved-TZ80002A/dp/B07WWGKRHL/ref=zg_bs_g_kitchen_d_sccl_13/259-0922661-5243762?psc=1,13,kitchen,de,6K+
1,14,"Mepal - Lunchpot Ellipse - Praktischer Joghurtbecher & Müslibecher - Unterteilung für Joghurt & Müsli - Geeignet für Gefrierschrank, Mikrowelle & Spülmaschine - 500 ml + 200 ml - Nordic Sage",€12.99,31030,4.7 out of 5 stars,B0BTT4FHJ5,https://www.amazon.de/-/en/Mepal-Joghurtbecher-Unterteilung-Gefrierschrank-Sp%C3%BClmaschine/dp/B0BTT4FHJ5/ref=zg_bs_g_kitchen_d_sccl_14/259-0922661-5243762?psc=1,14,kitchen,de,2K+
1,15,JURA Original – 3-Phase Cleaning Tablets for 6 Cleanings – TÜV-Certified Hygiene – Pack of 6 – 24225,€9.99,6839,4.8 out of 5 stars,B09F98MMVC,https://www.amazon.de/-/en/JURA-Original-Cleaning-Cleanings-T%C3%9CV-Certified/dp/B09F98MMVC/ref=zg_bs_g_kitchen_d_sccl_15/259-0922661-5243762?psc=1,15,kitchen,de,10K+
1,16,"Dreamzie Pillowcases, 40 x 80 cm (Set of 2), 100% Jersey Cotton, 150 g/m² Anthracite, Resistant and Hypoallergenic",€12.99,21357,4.4 out of 5 stars,B08NW6F6KN,https://www.amazon.de/-/en/Dreamzie-Pillowcases-Anthracite-Resistant-Hypoallergenic/dp/B08NW6F6KN/ref=zg_bs_g_kitchen_d_sccl_16/259-0922661-5243762?psc=1,16,kitchen,de,1K+
1,17,Sleeping 190019-P comfort 100 microfibre pillow in white,€19.99,36024,4.5 out of 5 stars,B01I58OJWS,https://www.amazon.de/-/en/Sleeping-190019-P-comfort-microfibre-pillow/dp/B01I58OJWS/ref=zg_bs_g_kitchen_d_sccl_17/259-0922661-5243762?psc=1,17,kitchen,de,2K+
1,18,Siebenschläfer Duvet 135 x 200 cm - Medium Year-Round Duvet for Normal Temperature Bedroom (135 x 200 cm - All Season Duvet),€26.66,26648,4.8 out of 5 stars,B085F2J9FH,https://www.amazon.de/-/en/Siebenschl%C3%A4fer-Duvet-135-200-Temperature/dp/B085F2J9FH/ref=zg_bs_g_kitchen_d_sccl_18/259-0922661-5243762?psc=1,18,kitchen,de,2K+
1,19,"simplicol Intensive Textile Dye, Velvet Black, All-in-1, Full Pack, 399 g",€7.45,17827,4.3 out of 5 stars,B01LWJMCEV,https://www.amazon.de/-/en/simplicol-Intensive-Textile-Velvet-Black/dp/B01LWJMCEV/ref=zg_bs_g_kitchen_d_sccl_19/259-0922661-5243762?psc=1,19,kitchen,de,2K+
1,20,"Vtopmart Airtight Storage Jars with Lids, Set of 24 Storage Containers, BPA-Free, Kitchen Storage Boxes for Flour, Sugar, Grains, with Writing Pen and Label",€36.99,27076,4.6 out of 5 stars,B0967WM727,https://www.amazon.de/-/en/Vtopmart-Airtight-24-Containers-BPA-Free/dp/B0967WM727/ref=zg_bs_g_kitchen_d_sccl_20/259-0922661-5243762?psc=1,20,kitchen,de,1K+
1,21,"Pleated Blind, No-Drill, Clamp-On, 75 x 100 cm (W x H) White, Sun Blind, Sun Protection, Easyfix, Folding Blind, Translucent Blind for Windows and Doors",€16.28,21232,4.3 out of 5 stars,B07QM417KB,https://www.amazon.de/-/en/Pleated-No-Drill-Protection-Easyfix-Translucent/dp/B07QM417KB/ref=zg_bs_g_kitchen_d_sccl_21/259-0922661-5243762?psc=1,21,kitchen,de,100+
