page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Pokémon-Sammelkartenspiel: Mini-Tin-Box Mega-Entwicklung – Erhabene Helden: Piepi und Endivie (1 Stickerbogen, 1 Pokémon-Bildkarte und 2 Boosterpacks)",€10.99,13,5.0 out of 5 stars,B0G4RPJ99M,https://www.amazon.de/-/en/Pok%C3%A9mon-Pok%C3%A9mon-Sammelkartenspiel/dp/B0G4RPJ99M/ref=zg_bs_g_toys_d_sccl_1/258-4526149-0429564?psc=1,1,toys,de,0
1,2,"Pokémon-Sammelkartenspiel: Mini-Tin-Box Mega-Entwicklung – Erhabene Helden: Zorua und Urgl (1 Stickerbogen, 1 Pokémon-Bildkarte und 2 Boosterpacks)",€10.99,15,3.9 out of 5 stars,B0G4RQDB7C,https://www.amazon.de/-/en/Pok%C3%A9mon-Pok%C3%A9mon-Sammelkartenspiel/dp/B0G4RQDB7C/ref=zg_bs_g_toys_d_sccl_2/258-4526149-0429564?psc=1,2,toys,de,0
1,3,"Pokémon-Sammelkartenspiel: Mini-Tin-Box Mega-Entwicklung – Erhabene Helden: Pikachu und Floink (1 Stickerbogen, 1 Pokémon-Bildkarte und 2 Boosterpacks)",€10.99,20,4.6 out of 5 stars,B0G4RTZH6Y,https://www.amazon.de/-/en/Pok%C3%A9mon-Pok%C3%A9mon-Sammelkartenspiel/dp/B0G4RTZH6Y/ref=zg_bs_g_toys_d_sccl_3/258-4526149-0429564?psc=1,3,toys,de,0
1,4,LEGO Speed Champions Mercedes-AMG F1 W15 Racing Car - Toy with Formula 1 Mini Figure - Model Car for Collecting and Building - Gift for Boys & Girls from 10 Years or Adult Fans 77244,€18.99,14070,4.8 out of 5 stars,B0DHS9Y433,https://www.amazon.de/-/en/LEGO-Speed-Champions-Mercedes-AMG-Racing/dp/B0DHS9Y433/ref=zg_bs_g_toys_d_sccl_4/258-4526149-0429564?psc=1,4,toys,de,2K+
1,5,"Apple iPad with A16 Chip: 11"" Liquid Retina Display, 128GB, WiFi 6, 12MP Front/12MP Rear Camera, Touch ID, All Day Battery - Silver",€333.37,7036,4.7 out of 5 stars,B0DZ75RKZH,https://www.amazon.de/-/en/Apple-iPad-A16-Chip-Display/dp/B0DZ75RKZH/ref=zg_bs_g_toys_d_sccl_5/258-4526149-0429564?psc=1,5,toys,de,5K+
1,6,Flip 7 Card Game | Compact Family Game | Mix of Happiness and Strategy | Quick to Learn | 94 Cards | English Game Rules,€14.65,3371,4.7 out of 5 stars,B0DWGVM7RY,https://www.amazon.de/-/en/Compact-Family-Happiness-Strategy-English/dp/B0DWGVM7RY/ref=zg_bs_g_toys_d_sccl_6/258-4526149-0429564?psc=1,6,toys,de,0
1,7,"Jumbo Spiele Hitster Original, A Party and Card Game for Adults and Families, 2 to 10 Players from 16 Years, German Language",€19.99,6529,4.7 out of 5 stars,B09T3K9ZC6,https://www.amazon.de/-/en/Hitster-Original-Families-Players-Language/dp/B09T3K9ZC6/ref=zg_bs_g_toys_d_sccl_7/258-4526149-0429564?psc=1,7,toys,de,10K+
1,8,"Pokémon Trading Card Game: Ultra Premium Collection Mega Charizard X ex (German Language), 2 Holographic Promo Cards, 18 Booster Packs & Accessories",€136.99,223,4.4 out of 5 stars,B0FY38BYYW,https://www.amazon.de/-/en/Pok%C3%A9mon-Trading-Card-Game-Holographic/dp/B0FY38BYYW/ref=zg_bs_g_toys_d_sccl_8/258-4526149-0429564?psc=1,8,toys,de,1K+
1,9,Play-Doh Fantasy Pack of 18,€14.09,48324,4.8 out of 5 stars,B0DNFPHXDN,https://www.amazon.de/-/en/Play-Doh-Fantasy-Pack-of-18/dp/B0DNFPHXDN/ref=zg_bs_g_toys_d_sccl_9/258-4526149-0429564?psc=1,9,toys,de,2K+
1,10,"Mattel Games 52370 - Skip-Bo Card Game and Family Game Suitable for 2 - 6 Players, Game from 7 Years",€8.99,40508,4.8 out of 5 stars,B00006YYY5,https://www.amazon.de/-/en/Mattel-Games-52370-Skip-Bo-Suitable/dp/B00006YYY5/ref=zg_bs_g_toys_d_sccl_10/258-4526149-0429564?psc=1,10,toys,de,6K+
