page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Amazon Fire TV Stick HD, free and live TV, Alexa Voice Remote, smart home controls, HD streaming",€44.99,52781,4.6 out of 5 stars,B0CQMWQDH4,https://www.amazon.es/-/en/Amazon-Stick-Remote-controls-streaming/dp/B0CQMWQDH4/ref=zg_bs_g_amazon-devices_d_sccl_1/522-0555259-9398257?psc=1,1,amazon-devices,es,0
1,2,"Amazon Kindle (16 GB) – Lightest and most compact Kindle with glare-free display, faster page turns, adjustable front light and long battery life – Matcha",€119.00,10928,4.7 out of 5 stars,B0CP31JRLK,https://www.amazon.es/-/en/Amazon-Kindle-16-glare-free-adjustable/dp/B0CP31JRLK/ref=zg_bs_g_amazon-devices_d_sccl_2/522-0555259-9398257?psc=1,2,amazon-devices,es,3K+
1,3,"Echo Dot (5th Gen, 2022 Model) | Smart WiFi and Bluetooth speaker with Alexa - with louder and wider sound | Deep Sea Blue",€64.99,180159,4.7 out of 5 stars,B09B8RF4PY,https://www.amazon.es/-/en/Model-Smart-Bluetooth-speaker-Alexa/dp/B09B8RF4PY/ref=zg_bs_g_amazon-devices_d_sccl_3/522-0555259-9398257?psc=1,3,amazon-devices,es,0
1,4,"All-new Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Without Ads - Black",€179.99,11943,4.6 out of 5 stars,B0CFPWLGF2,https://www.amazon.es/-/en/All-new-Amazon-Kindle-Paperwhite-glare-free/dp/B0CFPWLGF2/ref=zg_bs_g_amazon-devices_d_sccl_4/522-0555259-9398257?psc=1,4,amazon-devices,es,1K+
1,5,"Amazon Fire TV Stick 4K Select (newest gen), start streaming in 4K, hundreds of thousands of films and TV episodes, and free & live TV",€54.99,6396,3.8 out of 5 stars,B0CN41GMDK,https://www.amazon.es/-/en/Amazon-streaming-hundreds-thousands-episodes/dp/B0CN41GMDK/ref=zg_bs_g_amazon-devices_d_sccl_5/522-0555259-9398257?psc=1,5,amazon-devices,es,0
1,6,Fire TV Stick 4K Max by Amazon | Streaming Device with Support for Wi-Fi 6E and Ambient Mode,€79.99,21888,4.6 out of 5 stars,B0CW4HD359,https://www.amazon.es/-/en/Amazon-Streaming-Device-Support-Ambient/dp/B0CW4HD359/ref=zg_bs_g_amazon-devices_d_sccl_6/522-0555259-9398257?psc=1,6,amazon-devices,es,0
1,7,"Amazon Fire TV Stick 4K Plus , supports Wi-Fi 6, Dolby Vision/Atmos, HDR10+",€69.99,35341,4.6 out of 5 stars,B0F7ZFWVTC,https://www.amazon.es/-/en/Amazon-Stick-supports-Wi-Fi-Vision/dp/B0F7ZFWVTC/ref=zg_bs_g_amazon-devices_d_sccl_7/522-0555259-9398257?psc=1,7,amazon-devices,es,0
1,8,no title,,68866,4.7 out of 5 stars,B09WX9XBKD,https://www.amazon.es/-/en/Bluetooth-Speaker-Powerful-Compact-Charcoal/dp/B09WX9XBKD/ref=zg_bs_g_amazon-devices_d_sccl_8/522-0555259-9398257?psc=1,8,amazon-devices,es,0
1,9,"Amazon Kindle Case, Thin and Lightweight, Foldable Protective Cover – Fabric",€35.99,5341,4.7 out of 5 stars,B0CX4XSY3X,https://www.amazon.es/-/en/Amazon-Kindle-Lightweight-Foldable-Protective/dp/B0CX4XSY3X/ref=zg_bs_g_amazon-devices_d_sccl_9/522-0555259-9398257?psc=1,9,amazon-devices,es,400+
1,10,"All-new Amazon Kindle Paperwhite Signature Edition (32 GB) – Our fastest Kindle with an auto-adjusting front light, wireless charging and weeks of battery life – Metallic Black",€199.00,5599,4.6 out of 5 stars,B0CFPN47NY,https://www.amazon.es/-/en/All-new-Amazon-Kindle-Paperwhite-Signature/dp/B0CFPN47NY/ref=zg_bs_g_amazon-devices_d_sccl_10/522-0555259-9398257?psc=1,10,amazon-devices,es,300+
1,11,Echo Show 5 (3rd Gen) | Smart touchscreen with Alexa designed to control your smart home devices and more | Teal Gray,€109.00,21985,4.3 out of 5 stars,B09B2R276Z,https://www.amazon.es/-/en/Smart-touchscreen-designed-control-devices/dp/B09B2R276Z/ref=zg_bs_g_amazon-devices_d_sccl_11/522-0555259-9398257?psc=1,11,amazon-devices,es,0
1,12,"All-new Amazon Kindle Paperwhite and Amazon Kindle Colorsoft Signature Edition Case, Lightweight and Water-Safe, Foldable Protective Cover – Fabric",€33.99,11284,4.6 out of 5 stars,B0CM7RF1KR,https://www.amazon.es/-/en/Amazon-Paperwhite-Lightweight-Water-Safe-Protective/dp/B0CM7RF1KR/ref=zg_bs_g_amazon-devices_d_sccl_12/522-0555259-9398257?psc=1,12,amazon-devices,es,200+
1,13,no title,€159.00,8701,4.3 out of 5 stars,B0F457M449,https://www.amazon.es/-/en/XIAOMI-Smart-Alexa-Control-Virtual/dp/B0F457M449/ref=zg_bs_g_amazon-devices_d_sccl_13/522-0555259-9398257?psc=1,13,amazon-devices,es,500+
1,14,"Ring Intercom by Amazon | Upgrade Your Intercom to a Smart System with Remote Unlock, Two-Way Talk, Guest Access | Easy to install | Works with Alexa",€79.99,11078,4.1 out of 5 stars,B0CKGQ5913,https://www.amazon.es/-/en/Ring-Intercom-Upgrade-Two-Way-install/dp/B0CKGQ5913/ref=zg_bs_g_amazon-devices_d_sccl_14/522-0555259-9398257?psc=1,14,amazon-devices,es,0
1,15,New Amazon Echo Spot (2024 Model) | Smart Alarm Clock with Quality Sound and Alexa | White,€94.99,18317,4.5 out of 5 stars,B0C2RSK776,https://www.amazon.es/-/en/Amazon-Model-Smart-Alarm-Quality/dp/B0C2RSK776/ref=zg_bs_g_amazon-devices_d_sccl_15/522-0555259-9398257?psc=1,15,amazon-devices,es,0
1,16,"Amazon Echo Dot Max (newest gen), Alexa speaker with room-filling sound and built-in smart home hub, Graphite",€109.00,1395,4.4 out of 5 stars,B0DKLFHZDH,https://www.amazon.es/-/en/Amazon-newest-speaker-room-filling-Graphite/dp/B0DKLFHZDH/ref=zg_bs_g_amazon-devices_d_sccl_16/522-0555259-9398257?psc=1,16,amazon-devices,es,0
1,17,"Amazon Echo Show 8 (newest gen), Vibrant HD 8.7"" display with spatial audio and Alexa, Graphite",€199.00,1322,4.2 out of 5 stars,B0DTQF1MQT,https://www.amazon.es/-/en/Amazon-Vibrant-display-spatial-Graphite/dp/B0DTQF1MQT/ref=zg_bs_g_amazon-devices_d_sccl_17/522-0555259-9398257?psc=1,17,amazon-devices,es,0
1,18,"Ring Intercom Video (2025 release, newest gen) | Make Your Intercom Smarter | Video Streaming, Virtual Keys & Remote Access | DIY Setup",€99.99,662,3.8 out of 5 stars,B0DMTVGZL3,https://www.amazon.es/-/en/Ring-Intercom-release-Smarter-Streaming/dp/B0DMTVGZL3/ref=zg_bs_g_amazon-devices_d_sccl_18/522-0555259-9398257?psc=1,18,amazon-devices,es,300+
