page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,Recamania Microwave plate diameter 245 mm Universal,€9.95,3441,4.6 out of 5 stars,B016BNDLU0,https://www.amazon.es/-/en/Recamania-Microwave-plate-diameter-Universal/dp/B016BNDLU0/ref=zg_bs_g_appliances_d_sccl_1/523-9680048-5516336?psc=1,1,appliances,es,600+
1,2,"Cecotec Portable Induction Plate 1 Fire Full Magma Slim. 2000W Power in 8 Levels, Design in High Resistance Glass, Touch Display, Timer, Easy Cleaning",€34.90,3510,4.2 out of 5 stars,B0BPYTC328,https://www.amazon.es/-/en/Cecotec-Portable-Induction-Resistance-Cleaning/dp/B0BPYTC328/ref=zg_bs_g_appliances_d_sccl_2/523-9680048-5516336?psc=1,2,appliances,es,400+
1,3,no title,€69.20,1167,4.2 out of 5 stars,B0CG15VQWK,https://www.amazon.es/Cecotec-Flux-PM-604300-Mechanical/dp/B0CG15VQWK/ref=zg_bs_g_appliances_d_sccl_3/523-9680048-5516336?psc=1,3,appliances,es,0
1,4,no title,€204.78,1771,4.0 out of 5 stars,B0BPYVJ7YD,https://www.amazon.es/-/en/Cecotec-Dresscode-Inverter-Consumption-Programs/dp/B0BPYVJ7YD/ref=zg_bs_g_appliances_d_sccl_4/523-9680048-5516336?psc=1,4,appliances,es,0
1,5,"NIUXX Universal Washer and Dryer Union Kit, Universal Stacking Kit with Ratchet Rope, Washer and Dryer Accessories, Adjustable Intermediate Frame for 18-26 Inch Washing Machines",€33.99,6695,4.5 out of 5 stars,B0DB5KDB38,https://www.amazon.es/-/en/NIUXX-Universal-Accessories-Adjustable-Intermediate/dp/B0DB5KDB38/ref=zg_bs_g_appliances_d_sccl_5/523-9680048-5516336?psc=1,5,appliances,es,300+
1,6,"WENKO Mod Marble Kitchen Protective Plates, Height Adjustable for All Hobs, Cutting Board and Backsplash, Glass, 30 x 52 cm, Set of 2",€29.99,14786,4.5 out of 5 stars,B07PFPRX36,https://www.amazon.es/-/en/WENKO-Kitchen-Protective-Adjustable-Backsplash/dp/B07PFPRX36/ref=zg_bs_g_appliances_d_sccl_6/523-9680048-5516336?psc=1,6,appliances,es,100+
1,7,no title,€238.10,751,4.4 out of 5 stars,B0B786QVKX,https://www.amazon.es/-/en/FIDCP-X625-Multifunction-Aquactive-Convection/dp/B0B786QVKX/ref=zg_bs_g_appliances_d_sccl_7/523-9680048-5516336?psc=1,7,appliances,es,0
1,8,"Cecotec Placa de Vitrocerámica 2 Fuegos Bolero Squad V 2100. Potencia máxima 3000 W, 9 Niveles de Potencia, Touch Control, Detector de Sartenes, Diámetro 16 y 20 cm",€58.83,854,4.2 out of 5 stars,B0BPZK3KKY,https://www.amazon.es/-/en/Cecotec-Vitrocer%C3%A1mica-Potencia-Detector-Sartenes/dp/B0BPZK3KKY/ref=zg_bs_g_appliances_d_sccl_8/523-9680048-5516336?psc=1,8,appliances,es,0
1,9,no title,€199.96,420,4.4 out of 5 stars,B0BNNRLV5M,https://www.amazon.es/-/en/FIDCP-X200-Aquactive-Functions-Mechanical/dp/B0BNNRLV5M/ref=zg_bs_g_appliances_d_sccl_9/523-9680048-5516336?psc=1,9,appliances,es,0
1,10,Oven Liner Sheet (Pack of 3) - Large 50x40cm Reusable Non-Stick Heavy Duty Oven Protectors for Bottom of Ovens,€12.99,4530,4.6 out of 5 stars,B08YYY3TRV,https://www.amazon.es/-/en/Oven-Liner-Sheet-Pack-Protectors/dp/B08YYY3TRV/ref=zg_bs_g_appliances_d_sccl_10/523-9680048-5516336?psc=1,10,appliances,es,600+
1,11,"ACTIV CUISINE Disk Induction Adapter Plate 14cm Heat Diffusion Stainless Steel Moka Induction Diffuser to Use Coffee Makers and Cookware, Black",€14.99,576,4.3 out of 5 stars,B0DLGHY39F,https://www.amazon.es/-/en/ACTIV-CUISINE-Induction-Diffusion-Stainless/dp/B0DLGHY39F/ref=zg_bs_g_appliances_d_sccl_11/523-9680048-5516336?psc=1,11,appliances,es,200+
1,12,no title,€66.66,2780,4.1 out of 5 stars,B01LCHUF72,https://www.amazon.es/-/en/Telescopic-Turbine-Stainless-Recirculating-Installation/dp/B01LCHUF72/ref=zg_bs_g_appliances_d_sccl_12/523-9680048-5516336?psc=1,12,appliances,es,200+
1,13,Thlevel Thermometer Aquarium Hygrometer Digital Home Indoor Thermometer Temperature Sensor and Humidity Meter with Waterproof Probe for Refrigerator Freezer 2 White 2 Black,€11.99,8229,4.2 out of 5 stars,B07ZN3QTBV,https://www.amazon.es/-/en/Thlevel-Thermometer-Hygrometer-Temperature-Refrigerator/dp/B07ZN3QTBV/ref=zg_bs_g_appliances_d_sccl_13/523-9680048-5516336?psc=1,13,appliances,es,100+
1,14,no title,€272.99,382,3.9 out of 5 stars,B0G52Q27SH,https://www.amazon.es/-/en/ZCCH1SEW518-Refrigerator-Mechanical-Temperature-Reversible/dp/B0G52Q27SH/ref=zg_bs_g_appliances_d_sccl_14/523-9680048-5516336?psc=1,14,appliances,es,0
1,15,no title,€139.00,597,4.2 out of 5 stars,B0FRGGL8QM,https://www.amazon.es/-/en/Cecotec-Horizontal-CoolMarket-Electronic-UltraContact/dp/B0FRGGL8QM/ref=zg_bs_g_appliances_d_sccl_15/523-9680048-5516336?psc=1,15,appliances,es,50+
1,16,no title,€149.00,319,3.9 out of 5 stars,B0BQ1DMCH4,https://www.amazon.es/-/en/Cecotec-Coolmarket-Refrigerator-Consumption-Temperature/dp/B0BQ1DMCH4/ref=zg_bs_g_appliances_d_sccl_16/523-9680048-5516336?psc=1,16,appliances,es,0
1,17,"GOLDEN ICEPURE Refrigerator Water Filter Compatible With Samsung DA29-10105J, DA29-10105J HAFEX/EXP, DA99-02131B, WSF-100, EF9603, HAIER LG Refrigerator Line Refrigerator, 2 Pieces,",€17.99,14412,4.6 out of 5 stars,B07DCRN38R,https://www.amazon.es/-/en/GOLDEN-ICEPURE-Refrigerator-DA29-10105J-DA99-02131B/dp/B07DCRN38R/ref=zg_bs_g_appliances_d_sccl_17/523-9680048-5516336?psc=1,17,appliances,es,100+
1,18,no title,€213.63,481,3.9 out of 5 stars,B0BQ1VD7X2,https://www.amazon.es/-/en/Cecotec-Dresscode-Inverter-Programs-Steammax/dp/B0BQ1VD7X2/ref=zg_bs_g_appliances_d_sccl_18/523-9680048-5516336?psc=1,18,appliances,es,0
1,19,"TEKA Ceramic Hob 60 cm, 3 Burners, Touch Control, Stop & Go Function, Residual Heat Indicator, Model TB 6315",€143.00,1155,4.4 out of 5 stars,B01LY856ZO,https://www.amazon.es/-/en/Ceramic-Burners-Function-Residual-Indicator/dp/B01LY856ZO/ref=zg_bs_g_appliances_d_sccl_19/523-9680048-5516336?psc=1,19,appliances,es,300+
1,20,Recamania Refrigerator Bottle Rack Compatible with BOSCH Original Code 00744473 Measures 470 x 95 x 120 mm,€25.20,597,4.8 out of 5 stars,B09KVL4YGH,https://www.amazon.es/-/en/Recamania-Refrigerator-Compatible-Original-00744473/dp/B09KVL4YGH/ref=zg_bs_g_appliances_d_sccl_20/523-9680048-5516336?psc=1,20,appliances,es,0
1,21,"UKOFEW Waterproof Outer Cover for Front Load Washer and Dryer - Anti-UV Inner Cover, Silver Edge Zip",€10.99,550,4.5 out of 5 stars,B0C58KBD49,https://www.amazon.es/-/en/UKOFEW-Waterproof-Outer-Cover-Washer/dp/B0C58KBD49/ref=zg_bs_g_appliances_d_sccl_21/523-9680048-5516336?psc=1,21,appliances,es,100+
1,22,no title,€114.24,551,4.6 out of 5 stars,B0BQ187JQF,https://www.amazon.es/-/en/Cecotec-Grandsommelier-coolcrystal-Enfriamiento-termoel%C3%A9ctrico/dp/B0BQ187JQF/ref=zg_bs_g_appliances_d_sccl_22/523-9680048-5516336?psc=1,22,appliances,es,40+
1,23,no title,€239.87,208,4.0 out of 5 stars,B0G7FVV9GF,https://www.amazon.es/-/en/Cecotec-DressCode-Inverter-Programs-Function/dp/B0G7FVV9GF/ref=zg_bs_g_appliances_d_sccl_23/523-9680048-5516336?psc=1,23,appliances,es,0
1,24,no title,€260.25,1088,4.4 out of 5 stars,B06XNMZQCV,https://www.amazon.es/-/en/Bosch-Dishwasher-Installation-EcoSilence-Programming/dp/B06XNMZQCV/ref=zg_bs_g_appliances_d_sccl_24/523-9680048-5516336?psc=1,24,appliances,es,50+
1,25,no title,€89.65,1976,4.4 out of 5 stars,B076XYXFH8,https://www.amazon.es/-/en/CIARRA-CBCB6750/dp/B076XYXFH8/ref=zg_bs_g_appliances_d_sccl_25/523-9680048-5516336?psc=1,25,appliances,es,100+
