page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"help flash IoT +, Emergency Light V16 with Geolocation and more than 290 power candles, Required from 2026, Connected with DGT 3.0, V-16 Signal for Cars, data plan included",€27.99,3631,4.4 out of 5 stars,B0FHBDDBNT,https://www.amazon.es/-/en/help-flash-IoT-Emergency-Geolocation/dp/B0FHBDDBNT/ref=zg_bs_g_automotive_d_sccl_1/524-6410206-3479015?psc=1,1,automotive,es,10K+
1,2,"HIBRON EXTRASTAR Emergency Light Beacon V16 Approved DGT with Geolocation, Connected Car Beacon DGT 3.0, Data Included until 12/2038",€28.21,884,4.4 out of 5 stars,B0FH6VVHBL,https://www.amazon.es/-/en/HIBRON-EXTRASTAR-Emergency-Geolocation-Connected/dp/B0FH6VVHBL/ref=zg_bs_g_automotive_d_sccl_2/524-6410206-3479015?psc=1,2,automotive,es,0
1,3,XIXISOYA Beacon V16 Approved DGT with Geolocation Emergency Light V-16 Connected DGT 3.0 with SIM and Data up to 2038 (S-1PCS),€28.49,65,4.3 out of 5 stars,B0G25RXD22,https://www.amazon.es/-/en/XIXISOYA-Approved-Geolocation-Emergency-Connected/dp/B0G25RXD22/ref=zg_bs_g_automotive_d_sccl_3/524-6410206-3479015?psc=1,3,automotive,es,1K+
1,4,Castrol EDGE 5W-30 LL Motor Oil 5L,€47.37,12031,4.8 out of 5 stars,B0C813PVBZ,https://www.amazon.es/-/en/Castrol-EDGE-5W-30-LL-Motor/dp/B0C813PVBZ/ref=zg_bs_g_automotive_d_sccl_4/524-6410206-3479015?psc=1,4,automotive,es,2K+
1,5,Liqui Moly 3721 Tec Wax,€19.52,31889,4.6 out of 5 stars,B001CZODH8,https://www.amazon.es/-/en/Liqui-Moly-3721-Tec-Wax/dp/B001CZODH8/ref=zg_bs_g_automotive_d_sccl_5/524-6410206-3479015?psc=1,5,automotive,es,2K+
1,6,Goodyear Anticrystallizing Urea Treatment for AdBlue Systems with Pro Additives Dispenser. AdBlue Additive 250 ml.,€10.90,8522,4.4 out of 5 stars,B0C49VVN6Q,https://www.amazon.es/-/en/Goodyear-Anticrystallizing-Treatment-Additives-Dispenser/dp/B0C49VVN6Q/ref=zg_bs_g_automotive_d_sccl_6/524-6410206-3479015?psc=1,6,automotive,es,1K+
1,7,"JDMCAR Car Battery Jump Starters – 8000A 12V Car Jump Starter 9.0L Petrol or 8.5L Diesel Engine, Portable Starter with LCD Screen and Quick Charge and LED Flashlight – Valentine's Day Gifts",€44.99,911,4.6 out of 5 stars,B0G3PDHPYL,https://www.amazon.es/-/en/JDMCAR-Car-Battery-Jump-Starters/dp/B0G3PDHPYL/ref=zg_bs_g_automotive_d_sccl_7/524-6410206-3479015?psc=1,7,automotive,es,2K+
1,8,Rain-X Car Windscreen Wiper with Anti-Mosquito Protection – Hydrophobic Anti-Rain Technology – Prevents Bacteria Formation and Improves Visibility – 5L,€7.99,1667,4.6 out of 5 stars,B0D1TYLP8W,https://www.amazon.es/-/en/Rain-X-Windscreen-Wiper-Anti-Mosquito-Protection/dp/B0D1TYLP8W/ref=zg_bs_g_automotive_d_sccl_8/524-6410206-3479015?psc=1,8,automotive,es,1K+
1,9,"Xiaomi Portable Electric Air Compressor 2 Portable Air Compressor (0.2 10.3 bar/3-150psi, 6 Modes, 2000mAh Battery, 14.4Wh, USB-C Charging, LED Display), Black (ES Version)",€38.91,6838,4.7 out of 5 stars,B0CBBP8BQX,https://www.amazon.es/-/en/Portable-Electric-Compressor-3-150psi-Charging/dp/B0CBBP8BQX/ref=zg_bs_g_automotive_d_sccl_9/524-6410206-3479015?psc=1,9,automotive,es,1K+
1,10,krafft G12+ Organic Direct Use Car Antifreeze – Energy Plus 50% Car Coolant – Pressurised Circuit Protection Between -37°C / +145°C – 5L,€11.05,4189,4.7 out of 5 stars,B00L2ICTMG,https://www.amazon.es/-/en/krafft-G12-Organic-Direct-Antifreeze/dp/B00L2ICTMG/ref=zg_bs_g_automotive_d_sccl_10/524-6410206-3479015?psc=1,10,automotive,es,1K+
