page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Dodot Pure Aqua Baby Wipes, 864 Wipes (18 Packs of 48 Count), Helps Restore Skin Natural PH, 99% Water, Plastic Free",€48.99,7094.0,4.8 out of 5 stars,B09GPJHCQL,https://www.amazon.es/-/en/Dodot-Wipes-Restore-Natural-Plastic/dp/B09GPJHCQL/ref=zg_bs_g_baby_d_sccl_1/520-5635638-3810734?psc=1,1,baby,es,5K+
1,2,"Dodot Pure Aqua Baby Wipes, 432 Wipes (9 Packs of 48 Units), Helps Restore the Natural PH of the Skin, 99% Water, Plastic Free",€23.99,1634.0,4.8 out of 5 stars,B0CP5XJWHJ,https://www.amazon.es/-/en/Dodot-Wipes-Restore-Natural-Plastic/dp/B0CP5XJWHJ/ref=zg_bs_g_baby_d_sccl_2/520-5635638-3810734?psc=1,2,baby,es,2K+
1,3,"WaterWipes Sensitive+ Newborn & Baby Wipes, Newborn & Baby Wipes, 540 Count (Pack of 9), 3-in-1 Cleans, Cares, Protects, 99.9% Water, Unscented",€29.99,47659.0,4.8 out of 5 stars,B08MXT5VDK,https://www.amazon.es/-/en/WaterWipes-Sensitive-Newborn-Protects-Unscented/dp/B08MXT5VDK/ref=zg_bs_g_baby_d_sccl_3/520-5635638-3810734?psc=1,3,baby,es,1K+
1,4,"Dodot Baby-Dry Diapers, Size 6 (13-18 kg), 132 Nappies + Gift of 1 Pack of 10 Aqua Pure Wipes 99% Water, One Night Up to 100% Leak Free, Monthly Pack",€43.45,8663.0,4.7 out of 5 stars,B07N7Z2L26,https://www.amazon.es/-/en/Dodot-Baby-Dry-Diapers-Nappies-Monthly/dp/B07N7Z2L26/ref=zg_bs_g_baby_d_sccl_4/520-5635638-3810734?psc=1,4,baby,es,2K+
1,5,"Dodot Sensitive Baby Diapers, Size 4 (9-14 kg), 192 Nappies + 4 Gift Pants, Up to 12 h Leak Protection and Skin Care, Monthly Pack",€91.99,21709.0,4.7 out of 5 stars,B07M98CL6Y,https://www.amazon.es/-/en/Sensitive-Diapers-Nappies-Protection-Monthly/dp/B07M98CL6Y/ref=zg_bs_g_baby_d_sccl_5/520-5635638-3810734?psc=1,5,baby,es,1K+
1,6,"Dodot Sensitive Baby Diapers, Size 4 (9-14 kg), 172 Nappies + 4 Gift Pants, Up to 12 h Leak Protection and Skin Care, Monthly Pack",€82.49,3258.0,4.7 out of 5 stars,B0BVMM5L8N,https://www.amazon.es/-/en/Sensitive-Diapers-Nappies-Protection-Monthly/dp/B0BVMM5L8N/ref=zg_bs_g_baby_d_sccl_6/520-5635638-3810734?psc=1,6,baby,es,4K+
1,7,"Chelino Children's Diapers Size 5 (13-18 kg), Pack of 30",€6.50,4759.0,4.2 out of 5 stars,B00GY32MD0,https://www.amazon.es/-/en/Chelino-Childrens-Diapers-Size-13-18/dp/B00GY32MD0/ref=zg_bs_g_baby_d_sccl_7/520-5635638-3810734?psc=1,7,baby,es,1K+
1,8,"Dodot Activity Baby Diapers, Size 4 (9-14 kg), 174 Nappies, Up to 12h Leak Protection and Fit, Monthly Pack",€62.69,681.0,4.7 out of 5 stars,B0976Y758S,https://www.amazon.es/-/en/Activity-Diapers-Nappies-Protection-Monthly/dp/B0976Y758S/ref=zg_bs_g_baby_d_sccl_8/520-5635638-3810734?psc=1,8,baby,es,800+
1,9,"Weleda - Calendula Diaper Cream, Soothes and Protects Baby's Butt, Suitable for Sensitive Skin - 75ml",€7.99,19783.0,4.8 out of 5 stars,B00BN8JUCC,https://www.amazon.es/-/en/Weleda-Calendula-Protects-Suitable-Sensitive/dp/B00BN8JUCC/ref=zg_bs_g_baby_d_sccl_9/520-5635638-3810734?psc=1,9,baby,es,4K+
1,10,"Suavinex, All Silicone Pacifier for Babies 0/6 Months, Pacifier with Physiological Teat Sx Pro, Super Soft and Flexible, Ideal for Sleeping, Colour Essence, Green",€5.99,4971.0,4.7 out of 5 stars,B0BX778GPQ,https://www.amazon.es/-/en/Suavinex-Silicone-Pacifier-Physiological-Flexible/dp/B0BX778GPQ/ref=zg_bs_g_baby_d_sccl_10/520-5635638-3810734?psc=1,10,baby,es,600+
