page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"d'alba First Spray Serum with Italian White Truffles, Vegan Skincare, Moisturizing Facial Mist for All Skin Types, Multifunctional Spray, Korean Skincare (100ml)",€17.99,32906,4.4 out of 5 stars,B0BFQ9RD5B,https://www.amazon.es/-/en/dalba-Truffles-Moisturizing-Multifunctional-100ml/dp/B0BFQ9RD5B/ref=zg_bs_g_beauty_d_sccl_1/523-7079333-5915662?psc=1,1,beauty,es,8K+
1,2,"d'alba Waterfull SPF50+PA++++ Italian White Truffle, Tinted Sun Cream with Vegan UV Filters, Bright and Brightening Sun Lotion, Korean Skincare",€23.99,4528,4.4 out of 5 stars,B09D7QJP1M,https://www.amazon.es/-/en/dalba-Waterfull-Italian-Brightening-Skincare/dp/B09D7QJP1M/ref=zg_bs_g_beauty_d_sccl_2/523-7079333-5915662?psc=1,2,beauty,es,6K+
1,3,"REVLON PROFESSIONAL UniqOne All in One Thermal Hair Protector, Deep Hydration Hair, Spray Treatment Without Rinse, Detangler Hair Women, Fragrance Classic 150 ml",€7.20,96306,4.5 out of 5 stars,B00M9B66BU,https://www.amazon.es/-/en/REVLON-PROFESSIONAL-Protector-Hydration-Treatment/dp/B00M9B66BU/ref=zg_bs_g_beauty_d_sccl_3/523-7079333-5915662?psc=1,3,beauty,es,4K+
1,4,"La Roche Posay Cicaplast Baume B5 Réparateur Apaisant Foundation – With a pleasant texture the constant protection of the skin thanks to its antibacterial agents, 40 ml",€8.99,13791,4.7 out of 5 stars,B00ST2GSRK,https://www.amazon.es/-/en/Roche-Cicaplast-R%C3%A9parateur-Apaisant-Foundation/dp/B00ST2GSRK/ref=zg_bs_g_beauty_d_sccl_4/523-7079333-5915662?psc=1,4,beauty,es,5K+
1,5,d'alba Double Serum Multi Balm with Italian White Truffles All in One Vegan Skin Care 3 in 1 Treatment Wrinkle Treatment Balm Korean Skicare,€19.99,3386,4.4 out of 5 stars,B09SZ5JX2Y,https://www.amazon.es/-/en/dalba-Italian-Truffles-Treatment-Wrinkle/dp/B09SZ5JX2Y/ref=zg_bs_g_beauty_d_sccl_5/523-7079333-5915662?psc=1,5,beauty,es,3K+
1,6,"CeraVe - Blemish Control, Gel Limpiador para Acné y Piel Grasa, Reduce el Acné, Puntos Negros y Mejora los Poros, Tratamiento en Gel con Ácido Salicílico, 473 ml",€10.65,29495,4.6 out of 5 stars,B0B7RQ46LD,https://www.amazon.es/-/en/Acne-Purifying-Foam-Gel-Cleans/dp/B0B7RQ46LD/ref=zg_bs_g_beauty_d_sccl_6/523-7079333-5915662?psc=1,6,beauty,es,7K+
1,7,"CeraVe, PM Face Moisturizing Lotion, Normal to Dry Skin, Hydrates and Restores the Protective Barrier, Enriched with Essential Ceramides, Niacinamide and Hyaluronic Acid, 53 ml",€11.99,16827,4.6 out of 5 stars,B07C5XYT19,https://www.amazon.es/-/en/CeraVe-Moisturizing-Protective-Niacinamide-Hyaluronic/dp/B07C5XYT19/ref=zg_bs_g_beauty_d_sccl_7/523-7079333-5915662?psc=1,7,beauty,es,5K+
1,8,"Iroha Nature - Pimple Patches with Salicylic Acid, Tea Tree & Centella Asiatica - Reduces Pimples in 8h - Acne Patches (18 Count)",€3.95,1824,4.2 out of 5 stars,B0B2912ZZ5,https://www.amazon.es/-/en/Iroha-Nature-Salicylic-Centella-Asiatica/dp/B0B2912ZZ5/ref=zg_bs_g_beauty_d_sccl_8/523-7079333-5915662?psc=1,8,beauty,es,0
1,9,"Vichy Champú Anticaspa, Cabellos Grasos, Elimina la Caspa y Reduce los Picores, Cuero Cabelludo Limpio y Sano, Doble Eficacia, Unisex, Dercos Technique",€15.50,10982,4.7 out of 5 stars,B00WN2BY7G,https://www.amazon.es/-/en/Technique-Anti-Dandruff-Eliminates-Dandruff-Efficiency/dp/B00WN2BY7G/ref=zg_bs_g_beauty_d_sccl_9/523-7079333-5915662?psc=1,9,beauty,es,1K+
1,10,Alpecin Caffeine Shampoo C1 2x 375ml | Anti-Hair Loss Shampoo for Men and Caffeine | Treatment for Hair Loss | Alpecin Shampoo Anti Hair Loss Treatment Men,€31.90,17420,4.4 out of 5 stars,B087R9HVRR,https://www.amazon.es/-/en/Alpecin-Caffeine-Shampoo-Anti-Hair-Treatment/dp/B087R9HVRR/ref=zg_bs_g_beauty_d_sccl_10/523-7079333-5915662?psc=1,10,beauty,es,0
