page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"SanDisk Pendrive 64 GB Ultra USB 3.0 Flash Drive up to 130 MB/s, (SecureAccess Software, Password Protection) Black",€11.27,201461.0,4.6 out of 5 stars,B00DQGBYDC,https://www.amazon.es/-/en/SanDisk-Pendrive-SecureAccess-Software-Protection/dp/B00DQGBYDC/ref=zg_bs_g_computers_d_sccl_1/522-3370203-4725332?psc=1,1,computers,es,1K+
1,2,"TP-Link RE330 WiFi Repeater, AC1200 Amplifier, Extender up to 120 m², Powerful Repeater with Ethernet Port, EasyMesh, Compatible with All Internet Boxes",€29.99,20540.0,4.3 out of 5 stars,B08X19VZN8,https://www.amazon.es/-/en/TP-Link-RE330-Repeater-Amplifier-Compatible/dp/B08X19VZN8/ref=zg_bs_g_computers_d_sccl_2/522-3370203-4725332?psc=1,2,computers,es,2K+
1,3,"SanDisk Ultra Dual Drive Go USB Type-C, Flash Memory 128GB (with reversible USB Type-C and Type-A connectors, for Android phones, tablets, Macs and computers, up to 400MB/s) Black",€18.27,69859.0,4.5 out of 5 stars,B07YYJRXQR,https://www.amazon.es/-/en/SanDisk-reversible-connectors-Android-computers/dp/B07YYJRXQR/ref=zg_bs_g_computers_d_sccl_3/522-3370203-4725332?psc=1,3,computers,es,500+
1,4,"Apple iPad 11 Inch: A16 Chip, 11 Inch Model, Liquid Retina Display, 128 GB, Wi Fi 6, 12 MP Front and Rear Cameras, Touch ID, Full-Day Battery Life – Silver",€356.00,6812.0,4.7 out of 5 stars,B0DZ75RKZH,https://www.amazon.es/-/en/Apple-iPad-11-Inch-Full-Day/dp/B0DZ75RKZH/ref=zg_bs_g_computers_d_sccl_4/522-3370203-4725332?psc=1,4,computers,es,1K+
1,5,"Toshiba Canvio Partner External Hard Drive 2.5"" 2TB USB 3.2",€90.99,16987.0,4.6 out of 5 stars,B0BGXZRKQN,https://www.amazon.es/-/en/Toshiba-Canvio-Partner-External-Drive/dp/B0BGXZRKQN/ref=zg_bs_g_computers_d_sccl_5/522-3370203-4725332?psc=1,5,computers,es,500+
1,6,"SanDisk Extreme Portable External SSD 1TB (External SSD Hard Drive with Read Speed up to 1050MB/s, 1000MB/s Write, IP65 Water and Dust Resistance) Black",€159.99,103479.0,4.7 out of 5 stars,B08GTYFC37,https://www.amazon.es/-/en/SanDisk-Extreme-Portable-External-Resistance/dp/B08GTYFC37/ref=zg_bs_g_computers_d_sccl_6/522-3370203-4725332?psc=1,6,computers,es,500+
1,7,"HP DeskJet 2920 Wireless Color Inkjet Multifunction Printer with LCD Control Panel, Dual-Band Wi‑Fi, Smart App, 6 Months of Instant Ink Included, Black",€48.40,335.0,4.4 out of 5 stars,B0FCSSNXT4,https://www.amazon.es/-/en/HP-Wireless-Multifunction-Dual-Band-Included/dp/B0FCSSNXT4/ref=zg_bs_g_computers_d_sccl_7/522-3370203-4725332?psc=1,7,computers,es,1K+
1,8,"SanDisk Ultra Flair Pendrive 128GB USB 3.0 Flash Drive (Read Speed up to 150MB/s, Password Protection, Stylish and Durable Metal Case, Silver) Black",€14.35,204816.0,4.6 out of 5 stars,B015CH1PJU,https://www.amazon.es/-/en/SanDisk-Pendrive-Password-Protection-Stylish/dp/B015CH1PJU/ref=zg_bs_g_computers_d_sccl_8/522-3370203-4725332?psc=1,8,computers,es,0
1,9,"WD 5TB My Passport Portable HDD USB 3.0 with Device Management, Backup and Password Protection Software Works with PC, Xbox and Playstation, Black",€126.10,132743.0,4.5 out of 5 stars,B07VP5X239,https://www.amazon.es/-/en/WD-Passport-Management-Protection-Playstation/dp/B07VP5X239/ref=zg_bs_g_computers_d_sccl_9/522-3370203-4725332?psc=1,9,computers,es,500+
1,10,"[New] TP-Link Deco X1500 (3-Pack) – WiFi 6 Mesh AI System, AX1500 Dual Band 2.4GHz/5GHz, Coverage up to 520 m², 3X Gigabit Ports per Unit, 160MHz, ODFMA, 1024QAM, Parental Control",€119.99,25639.0,4.6 out of 5 stars,B0CL573PRH,https://www.amazon.es/-/en/New-TP-Link-Deco-X1500-3-Pack/dp/B0CL573PRH/ref=zg_bs_g_computers_d_sccl_10/522-3370203-4725332?psc=1,10,computers,es,500+
1,11,"Amazon Basics 128GB USB 3.1 Flash Drive, Up to 130MB/s Read Speed, Black",€13.72,31041.0,4.4 out of 5 stars,B0B6148YKN,https://www.amazon.es/-/en/Amazon-Basics-128GB-Flash-Drive/dp/B0B6148YKN/ref=zg_bs_g_computers_d_sccl_11/522-3370203-4725332?psc=1,11,computers,es,500+
1,12,"TP-Link UB500 Bluetooth 5.3 USB Adapter, Mini Size for Computer, Laptop, Headphones, Speaker, Keyboard, Compatible with Windows 11/10/8.1/7, Multicolor",€9.90,56070.0,4.6 out of 5 stars,B098K3H92Z,https://www.amazon.es/-/en/TP-Link-UB500-Headphones-Compatible-Multicolor/dp/B098K3H92Z/ref=zg_bs_g_computers_d_sccl_12/522-3370203-4725332?psc=1,12,computers,es,1K+
