page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Amazon Basics - 36 Pack AAA High Performance Alkaline Batteries, 1.5 Volts, 10 Year Shelf Life",€12.07,1722639,4.6 out of 5 stars,B00LH3DMUO,https://www.amazon.es/-/en/Amazon-Basics-Performance-Alkaline-Batteries/dp/B00LH3DMUO/ref=zg_bs_g_electronics_d_sccl_1/524-3281466-4079364?psc=1,1,electronics,es,3K+
1,2,"Amazon Fire TV Stick HD, free and live TV, Alexa Voice Remote, smart home controls, HD streaming",€44.99,52862,4.6 out of 5 stars,B0CQMWQDH4,https://www.amazon.es/-/en/Amazon-Stick-Remote-controls-streaming/dp/B0CQMWQDH4/ref=zg_bs_g_electronics_d_sccl_2/524-3281466-4079364?psc=1,2,electronics,es,0
1,3,"Duracell CR2032 3V Lithium Coin Cell Batteries (8-Pack) - Up to 70% Extra Life - Baby Secure Technology - For Apple AirTag, Remote Keys, Home, Sports & Medical Devices",€11.99,335780,4.6 out of 5 stars,B06VW5BH2K,https://www.amazon.es/-/en/Duracell-CR2032-Lithium-Batteries-8-Pack/dp/B06VW5BH2K/ref=zg_bs_g_electronics_d_sccl_3/524-3281466-4079364?psc=1,3,electronics,es,2K+
1,4,Xiaomi Redmi Watch,€29.00,18953,4.5 out of 5 stars,B0DFZPR9Z4,https://www.amazon.es/-/en/Llamadas-Bluetooth-frecuencia-Deportivos-autonom%C3%ADa/dp/B0DFZPR9Z4/ref=zg_bs_g_electronics_d_sccl_4/524-3281466-4079364?psc=1,4,electronics,es,3K+
1,5,"Amazon Basics - Pack of 40 AA Alkaline Industrial Batteries, 1.5 Volts, 5 Year Shelf Life",€10.27,143865,4.6 out of 5 stars,B07MLFBJG3,https://www.amazon.es/-/en/Amazon-Basics-Alkaline-Industrial-Batteries/dp/B07MLFBJG3/ref=zg_bs_g_electronics_d_sccl_5/524-3281466-4079364?psc=1,5,electronics,es,3K+
1,6,"Tapo 360° 1080p C200C Indoor WiFi Surveillance Camera, Night Vision, Real-Time Notifications, Person Detection, Motion Tracking, Remote Control, Compatible with Alexa",€19.99,150566,4.6 out of 5 stars,B0D9MDV5L5,https://www.amazon.es/-/en/Tapo-C200C-Surveillance-Notifications-Compatible/dp/B0D9MDV5L5/ref=zg_bs_g_electronics_d_sccl_6/524-3281466-4079364?psc=1,6,electronics,es,2K+
1,7,no title,€139.00,8710,4.3 out of 5 stars,B0F4548TCQ,https://www.amazon.es/-/en/XIAOMI-Smart-Alexa-Control-Virtual/dp/B0F4548TCQ/ref=zg_bs_g_electronics_d_sccl_7/524-3281466-4079364?psc=1,7,electronics,es,1K+
1,8,"Amazon Basics - 6 Pack CR2032 Long Life Lithium Battery, 3 Volt, Mercury Free",€6.36,55386,4.6 out of 5 stars,B08J4QR18R,https://www.amazon.es/Amazon-Basics-Lithium-Battery-Mercury/dp/B08J4QR18R/ref=zg_bs_g_electronics_d_sccl_8/524-3281466-4079364?psc=1,8,electronics,es,2K+
1,9,no title,€199.99,556,4.4 out of 5 stars,B0FX9Y2PBR,https://www.amazon.es/-/en/XIAOMI-REDMI-Note-15-Smartphone/dp/B0FX9Y2PBR/ref=zg_bs_g_electronics_d_sccl_9/524-3281466-4079364?psc=1,9,electronics,es,500+
1,10,"Echo Dot (5th Gen, 2022 Model) | Smart WiFi and Bluetooth speaker with Alexa - with louder and wider sound | Deep Sea Blue",€64.99,180221,4.7 out of 5 stars,B09B8RF4PY,https://www.amazon.es/-/en/Model-Smart-Bluetooth-speaker-Alexa/dp/B09B8RF4PY/ref=zg_bs_g_electronics_d_sccl_10/524-3281466-4079364?psc=1,10,electronics,es,0
1,11,"Energizer Pilas AA, pilas alcalinas de potencia doble A, 24 Unidades (Paquete de 1)",€9.48,39384,4.7 out of 5 stars,B07L49RDJH,https://www.amazon.es/-/en/Energizer-alcalinas-potencia-Unidades-Paquete/dp/B07L49RDJH/ref=zg_bs_g_electronics_d_sccl_11/524-3281466-4079364?psc=1,11,electronics,es,500+
1,12,Amazon Basics 12 Pack AAA NiMH Rechargeable 800mAh 1.2V Batteries Recharge Up to 1000 Times Pre-Charged,€10.87,383215,4.5 out of 5 stars,B007B9NXAC,https://www.amazon.es/-/en/Amazon-Basics-Rechargeable-Batteries-Pre-Charged/dp/B007B9NXAC/ref=zg_bs_g_electronics_d_sccl_12/524-3281466-4079364?psc=1,12,electronics,es,500+
1,13,Maxell 19040805 Lithium Button Cell CR-2032 (Blister Pack of 5 Batteries),€2.99,3353,4.6 out of 5 stars,B000ZLTYAG,https://www.amazon.es/-/en/Maxell-19040805-Lithium-CR-2032-Batteries/dp/B000ZLTYAG/ref=zg_bs_g_electronics_d_sccl_13/524-3281466-4079364?psc=1,13,electronics,es,1K+
1,14,"Tapo C210 – IP Camera WiFi 360° Surveillance Camera 2K (3MP), Night Vision, Supports SD Card up to 512GB, Motion Detection and Tracking, Remote Control, Compatible with Alexa",€22.99,41178,4.6 out of 5 stars,B095CLQ1PT,https://www.amazon.es/-/en/Tapo-C210-Surveillance-Detection-Compatible/dp/B095CLQ1PT/ref=zg_bs_g_electronics_d_sccl_14/524-3281466-4079364?psc=1,14,electronics,es,2K+
1,15,"Tower Power Strips Sockets, USB Power Strip 8 AC Outlets and 4 USB Multiple Plug, 2500W/10A, Power Strip Sockets Surge Protection, 2M Vertical Strips with Switch for Table, Office, Home, Black",€27.99,6318,4.7 out of 5 stars,B0BXWTFNKD,https://www.amazon.es/-/en/Sockets-Outlets-Multiple-Protection-Vertical/dp/B0BXWTFNKD/ref=zg_bs_g_electronics_d_sccl_15/524-3281466-4079364?psc=1,15,electronics,es,1K+
1,16,Duracell Alka Plus AAA X12,€11.99,110903,4.7 out of 5 stars,B093LT2N4Q,https://www.amazon.es/-/en/Duracell-Alka-Plus-AAA-X12/dp/B093LT2N4Q/ref=zg_bs_g_electronics_d_sccl_16/524-3281466-4079364?psc=1,16,electronics,es,500+
