page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Joma Men's Short Sleeve Sports Shirt, 6XS - 3XL - Lightweight and Breathable, Optimal for Running and Gym - Combi",€6.99,25337,4.5 out of 5 stars,B00J28DI7I,https://www.amazon.es/-/en/Joma-Short-Sleeve-Sports-Shirt/dp/B00J28DI7I/ref=zg_bs_g_fashion_d_sccl_1/521-7153202-4511817?psc=1,1,fashion,es,400+
1,2,LEVIS Fields of Rye Men's Camel Casmiseta,€13.99,35586,4.6 out of 5 stars,B07CHZYYXS,https://www.amazon.es/-/en/Levis-Original-Housemark-T-Shirt-Stonewashed/dp/B07CHZYYXS/ref=zg_bs_g_fashion_d_sccl_2/521-7153202-4511817?psc=1,2,fashion,es,300+
1,3,Skechers Sneakers 12615-BBK LADY Black,€33.49,69372,4.6 out of 5 stars,B01LZDYR7N,https://www.amazon.es/-/en/Skechers-Graceful-Connected-Regular-Trainers/dp/B01LZDYR7N/ref=zg_bs_g_fashion_d_sccl_3/521-7153202-4511817?psc=1,3,fashion,es,700+
1,4,Vans Ward Shoes Unisex Kids,€23.39,26479,4.7 out of 5 stars,B01N65E633,https://www.amazon.es/-/en/Vans-Unisex-Childrens-Trainers-Canvas/dp/B01N65E633/ref=zg_bs_g_fashion_d_sccl_4/521-7153202-4511817?psc=1,4,fashion,es,200+
1,5,adidas Men's VS Pace 2.0 Sneaker,€30.95,13007,4.6 out of 5 stars,B0BJL3LFRN,https://www.amazon.es/-/en/adidas-Shoes-Shadow-Scarlet-Cloud/dp/B0BJL3LFRN/ref=zg_bs_g_fashion_d_sccl_5/521-7153202-4511817?psc=1,5,fashion,es,40+
1,6,"Buffalo - Shoe Waterproofing Spray 250 ml - Transparent Shoe Protector Spray- 100% Water and Dirt Repellent | For Fabric, Leather and Textile Shoes | Suede and Nubuck Protector",€7.75,1939,4.5 out of 5 stars,B0D44WM77X,https://www.amazon.es/-/en/Buffalo-Waterproofing-Transparent-Protector-Repellent/dp/B0D44WM77X/ref=zg_bs_g_fashion_d_sccl_6/521-7153202-4511817?psc=1,6,fashion,es,8K+
1,7,Camiseta FM London Paquete de 3/5 para Hombre - Camisetas de Peso Premium con diseño Ligeramente Ajustado,€25.39,8132,4.5 out of 5 stars,B0C5D6ZDFZ,https://www.amazon.es/-/en/FM-London-T-Shirt-Black-Anthracite/dp/B0C5D6ZDFZ/ref=zg_bs_g_fashion_d_sccl_7/521-7153202-4511817?psc=1,7,fashion,es,200+
1,8,"KLOSTAIN Airplane Cabin Travel Backpack for Ryanair Easyjet Backpack Cabin Hand Luggage Bag Men's Backpacks Travel School Work Backpack, Black/White, Rucksack",€21.97,6041,4.6 out of 5 stars,B0CY2621ML,https://www.amazon.es/-/en/KLOSTAIN-Airplane-Backpack-Backpacks-Rucksack/dp/B0CY2621ML/ref=zg_bs_g_fashion_d_sccl_8/521-7153202-4511817?psc=1,8,fashion,es,700+
1,9,Adidas Men's Galaxy 7 Running Shoes,€34.95,7439,4.3 out of 5 stars,B0CKXQYTGZ,https://www.amazon.es/-/en/Adidas-Galaxy-Running-Shoes-Carbon/dp/B0CKXQYTGZ/ref=zg_bs_g_fashion_d_sccl_9/521-7153202-4511817?psc=1,9,fashion,es,200+
1,10,"SAGUARO Barefoot Trail Running Shoes, Minimalist Outdoor Indoor Sports Shoes, Water Sports Shoes, Unisex-Adult",€36.79,19625,4.5 out of 5 stars,B0DPHCS6HV,https://www.amazon.es/-/en/SAGUARO-Barefoot-Running-Minimalist-Unisex-Adult/dp/B0DPHCS6HV/ref=zg_bs_g_fashion_d_sccl_10/521-7153202-4511817?psc=1,10,fashion,es,40+
