page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Mahou Classic, Pack 24 Cans x 33cl, Golden Beer Lager, Authentic Mahou Beer With Smooth, Refreshing Flavor and Consistent Foam, 4.8% Vol. Alcohol",€18.40,1486,4.3 out of 5 stars,B0711RMXF6,https://www.amazon.es/-/en/Mahou-Classic-Authentic-Refreshing-Consistent/dp/B0711RMXF6/ref=zg_bs_g_grocery_d_sccl_1/521-8794645-1023129?psc=1,1,grocery,es,0
1,2,"Lavazza, Qualità Oro, Coffee in Natural Bean, Ideal for Espresso Machine, with Aromatic Notes of Fruits and Flowers, 100% Arabica, Intensity 5, Medium Roast, Pack of 1 kg",€29.55,23971,4.5 out of 5 stars,B0049U0DMC,https://www.amazon.es/-/en/Lavazza-Oro-Espresso-Aromatic-Intensity/dp/B0049U0DMC/ref=zg_bs_g_grocery_d_sccl_2/521-8794645-1023129?psc=1,2,grocery,es,4K+
1,3,Pack of 36 Guava Snacks - 950g - Sweet Flavor - High Vitamin C Content - Provides an Extra Dose of Energy - Digestive Properties - Ideal for Athletes - Gourmet Latino,€5.31,3367,4.6 out of 5 stars,B00A49XRHU,https://www.amazon.es/-/en/Pack-Guava-Snacks-Digestive-Properties/dp/B00A49XRHU/ref=zg_bs_g_grocery_d_sccl_3/521-8794645-1023129?psc=1,3,grocery,es,6K+
1,4,"NESCAFÉ Dolce Gusto Coffee with Intense Milk - Coffee Capsules, 48 Capsules (3 x 16) - Intensity 9 - Original for Dolce Gusto Coffee Machines",€25.49,6472,4.6 out of 5 stars,B085LCQNZV,https://www.amazon.es/-/en/NESCAF%C3%89-Dolce-Gusto-Coffee-Intense/dp/B085LCQNZV/ref=zg_bs_g_grocery_d_sccl_4/521-8794645-1023129?psc=1,4,grocery,es,2K+
1,5,"NESCAFÉ Dolce Gusto Café con Leche - Coffee Capsules, 90 Capsules (3 x 30) - Intensity 7 - Original for Dolce Gusto Coffee Machines",€43.04,7269,4.7 out of 5 stars,B013W8QZXM,https://www.amazon.es/-/en/NESCAF%C3%89-Dolce-Gusto-Caf%C3%A9-Leche/dp/B013W8QZXM/ref=zg_bs_g_grocery_d_sccl_5/521-8794645-1023129?psc=1,5,grocery,es,4K+
1,6,"by Amazon - Intenso Coffee Pods, Dark Roast, Nespresso Compatible, 100 Count, 5 Packs of 20, Rainforest Alliance Certified",€15.67,7168,4.2 out of 5 stars,B0BH5JT6R6,https://www.amazon.es/-/en/Amazon-Nespresso-Compatible-Rainforest-Certified/dp/B0BH5JT6R6/ref=zg_bs_g_grocery_d_sccl_6/521-8794645-1023129?psc=1,6,grocery,es,1K+
1,7,"by Amazon - Natural Espresso Cream Bean Coffee, Light Roast,- Rainforest Alliance Certified, 17.64 Ounce (Pack of 2)",€15.38,7615,4.2 out of 5 stars,B07CTT12F7,https://www.amazon.es/-/en/Amazon-Espresso-Rainforest-Alliance-Certified/dp/B07CTT12F7/ref=zg_bs_g_grocery_d_sccl_7/521-8794645-1023129?psc=1,7,grocery,es,2K+
1,8,"Lavazza, Crema e Gusto Classico, Natural Ground Coffee, Ideal for Italian, Filter and French Coffee Maker, with Aromatic Notes of Spices, Arabica and Robusta, Intensity 7, Dark Roast, 250 g",€9.90,3597,4.2 out of 5 stars,B08L43NDKK,https://www.amazon.es/-/en/Lavazza-Classico-Natural-Aromatic-Intensity/dp/B08L43NDKK/ref=zg_bs_g_grocery_d_sccl_8/521-8794645-1023129?psc=1,8,grocery,es,2K+
1,9,"by Amazon Nespresso Compatible Hazelnut Coffee Aluminum Capsules, 20 Count (1 Pack of 20), Rainforest Alliance Certified",€3.29,1572,4.3 out of 5 stars,B0DF2V8MHL,https://www.amazon.es/-/en/Amazon-Nespresso-Compatible-Rainforest-Certified/dp/B0DF2V8MHL/ref=zg_bs_g_grocery_d_sccl_9/521-8794645-1023129?psc=1,9,grocery,es,1K+
1,10,"Matcha & CO 100% Organic Matcha Tea, Premium Ceremonial Grade, Organic Powder from Japan, 100% Natural, Green Tea, 30g - Matcha & CO",€11.95,6392,4.6 out of 5 stars,B07TX86KFZ,https://www.amazon.es/-/en/Matcha-CO-Organic-Premium-Ceremonial/dp/B07TX86KFZ/ref=zg_bs_g_grocery_d_sccl_10/521-8794645-1023129?psc=1,10,grocery,es,2K+
1,11,Smileat - Beef with Vegetables - Small + 6 Months - No Sugar or Salt Added - Quality Raw Material. Soft Texture and Easy to Eat - 230g,€2.46,789,4.4 out of 5 stars,B01LZPE1LA,https://www.amazon.es/-/en/Smileat-Vegetables-Quality-Material-Texture/dp/B01LZPE1LA/ref=zg_bs_g_grocery_d_sccl_11/521-8794645-1023129?psc=1,11,grocery,es,600+
1,12,"NESCAFÉ Dolce Gusto Espresso Intenso – Coffee Capsules, 90 Capsules (3 x 30) – Intensity 7 – Originals for Dolce Gusto Coffee Machines",€32.40,4697,4.7 out of 5 stars,B07SLLTPHD,https://www.amazon.es/-/en/NESCAF%C3%89-Dolce-Gusto-Espresso-Intenso/dp/B07SLLTPHD/ref=zg_bs_g_grocery_d_sccl_12/521-8794645-1023129?psc=1,12,grocery,es,3K+
1,13,"by Amazon Ristretto Plastic Nespresso Compatible Coffee Pods, Medium Roast, 100 Count (2 Packs of 50), Rainforest Alliance Certified",€13.17,8538,4.1 out of 5 stars,B0BKG46X2Z,https://www.amazon.es/-/en/Amazon-Ristretto-Nespresso-Compatible-Rainforest/dp/B0BKG46X2Z/ref=zg_bs_g_grocery_d_sccl_13/521-8794645-1023129?psc=1,13,grocery,es,700+
1,14,Pascual - Pascual Classic Whole Milk. Format 6 x 1 L,€7.74,1510,4.6 out of 5 stars,B01DUW8BPA,https://www.amazon.es/-/en/Pascual-Classic-Whole-Milk-Format/dp/B01DUW8BPA/ref=zg_bs_g_grocery_d_sccl_14/521-8794645-1023129?psc=1,14,grocery,es,2K+
