page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Mpzonline Personalised Letter Name Decorative, Sweet Tables, Communion Decoration, Room Decor, ID Sign.",€9.95,288.0,4.7 out of 5 stars,B0D42DTW87,https://www.amazon.es/-/en/Mpzonline-Personalised-Decorative-Communion-Decoration/dp/B0D42DTW87/ref=zg_bs_g_handmade_d_sccl_1/523-4917105-0671243?psc=1,1,handmade,es,200+
1,2,"Rose & Frankincense Face Cream - 100% Natural - Vegan, Moisturizing, Anti Aging, Cruelty Free, Palm Oil Free, Plastic Free, Handmade in the UK - 60ml",€16.24,4072.0,4.2 out of 5 stars,B07H447QHB,https://www.amazon.es/-/en/Rose-Frankincense-Face-Cream-Moisturizing/dp/B07H447QHB/ref=zg_bs_g_handmade_d_sccl_2/523-4917105-0671243?psc=1,2,handmade,es,50+
1,3,Olesea Personalised Baby Blanket with Embroidered Name+Plaques Fulfills +Dou Dou- Newborn Gift Boy or Girl - Basket Basket Baby Gifts First Time Parents Mothers First Time,€29.99,319.0,4.6 out of 5 stars,B0CVSCGLRZ,https://www.amazon.es/-/en/Olesea-Personalised-Blanket-Embroidered-Fulfills/dp/B0CVSCGLRZ/ref=zg_bs_g_handmade_d_sccl_3/523-4917105-0671243?psc=1,3,handmade,es,200+
1,4,"CUBIBOO ART Number Wood 50th Birthday Women, Men - 50th Anniversary Gold Weddings - 50th Anniversary Gold Wedding - 50th Birthday Gifts Women",€7.95,464.0,4.5 out of 5 stars,B0DS999MLG,https://www.amazon.es/-/en/CUBIBOO-ART-Number-Birthday-Women/dp/B0DS999MLG/ref=zg_bs_g_handmade_d_sccl_4/523-4917105-0671243?psc=1,4,handmade,es,100+
1,5,Qué Kawaii Original Magic Perez Mouse Kit - Natural Fir Door That Opens and Glows in the Darkness!!!.. + Storage Box of Beech Teeth+Complents+Certificates. Free Story + Daily,€15.95,432.0,4.6 out of 5 stars,B0BXTTQCD7,https://www.amazon.es/-/en/Qu%C3%A9-Kawaii-Original-Magic-Perez/dp/B0BXTTQCD7/ref=zg_bs_g_handmade_d_sccl_5/523-4917105-0671243?psc=1,5,handmade,es,200+
1,6,Lovely Symbols Tags Dog and Cat Pet Name Tag Personalised Engraved Badge for ID Tag Collar Dogs Accessories Personalized Small Bright Brass,€6.14,1140.0,4.8 out of 5 stars,B0D1ZBBXJL,https://www.amazon.es/-/en/Symbols-Personalised-Engraved-Accessories-Personalized/dp/B0D1ZBBXJL/ref=zg_bs_g_handmade_d_sccl_6/523-4917105-0671243?psc=1,6,handmade,es,50+
1,7,"Bracelet with Names, Silver and Genuine Spanish Leather, Sizes to Customize, Colours, Men's Bracelet with Names, Case Included, Model (Braided Double Black)",€24.90,186.0,4.7 out of 5 stars,B0BVWF8ZQQ,https://www.amazon.es/-/en/Bracelet-Genuine-Spanish-Customize-Included/dp/B0BVWF8ZQQ/ref=zg_bs_g_handmade_d_sccl_7/523-4917105-0671243?psc=1,7,handmade,es,50+
1,8,Variouss Dou Dou Personalised Baby Doll Dou Dou Dream Catcher Gift Baby with Name Embroidered,€12.90,121.0,4.8 out of 5 stars,B0D9YJ6Y6F,https://www.amazon.es/-/en/Variouss-Personalised-Dream-Catcher-Embroidered/dp/B0D9YJ6Y6F/ref=zg_bs_g_handmade_d_sccl_8/523-4917105-0671243?psc=1,8,handmade,es,100+
1,9,Personalised Women's Gift Set – Tote Bag with Initial and Name + Matching Bottle | Option to Add Personalised Mug with Message and Colour – Handmade in Spain,€24.99,29.0,5.0 out of 5 stars,B0FLRLJ6Y5,https://www.amazon.es/-/en/Personalised-Womens-Gift-Set-Matching/dp/B0FLRLJ6Y5/ref=zg_bs_g_handmade_d_sccl_9/523-4917105-0671243?psc=1,9,handmade,es,50+
1,10,"Personalised Bracelet with Your Text Fully Adjustable Leather and Steel Bracelet - Father's Day Gifts, Valentine's Day Gifts (TALY)",€19.49,96.0,5.0 out of 5 stars,B0DYZ7BX3H,https://www.amazon.es/-/en/Personalised-Bracelet-Fully-Adjustable-Leather/dp/B0DYZ7BX3H/ref=zg_bs_g_handmade_d_sccl_10/523-4917105-0671243?psc=1,10,handmade,es,50+
1,11,"Personalised Birthday Candles with Name, Age and Colour | Original Birthday Candles for Cake | Decoration Birthday Cakes | Cake Candles | Buy Solidarity",€9.99,702.0,4.5 out of 5 stars,B07QXQNLHW,https://www.amazon.es/-/en/Personalised-Birthday-Original-Decoration-Solidarity/dp/B07QXQNLHW/ref=zg_bs_g_handmade_d_sccl_11/523-4917105-0671243?psc=1,11,handmade,es,100+
1,12,"EGV - Martingale Collar 4cm Wide, Greyhound Collar Handmade in Spain, Greyhound Collar Wide and for All Kinds of Dog, Martingale Collar with Black Buckles, Coleira Cao, Dog Collar (M, Pink)",€16.99,232.0,4.6 out of 5 stars,B0D7YXD34T,https://www.amazon.es/-/en/EGV-Martingale-Greyhound-Handmade-Buckles/dp/B0D7YXD34T/ref=zg_bs_g_handmade_d_sccl_12/523-4917105-0671243?psc=1,12,handmade,es,0
1,13,ASTER ALHELÍ - Personalized Initial Leather Keychain - Silver Plated Zamak Letters and Charms - Keychain for Men or Women - Ideal for Gift (M),€10.99,754.0,4.7 out of 5 stars,B09ZYGHGRR,https://www.amazon.es/-/en/ASTER-ALHEL%C3%8D-Personalized-Initial-Keychain/dp/B09ZYGHGRR/ref=zg_bs_g_handmade_d_sccl_13/523-4917105-0671243?psc=1,13,handmade,es,0
1,14,Natural Cedarwood & Ylang Ylang Wood Deodorant 70ml Natural Deodorant Stick Vegan Plastic Free Eco Friendly Cruelty Free Handmade,€12.95,5500.0,3.9 out of 5 stars,B09RKS585V,https://www.amazon.es/-/en/Cedarwood-Wood-Deodorant-Friendly-Handmade/dp/B09RKS585V/ref=zg_bs_g_handmade_d_sccl_14/523-4917105-0671243?psc=1,14,handmade,es,50+
1,15,"Honeybee Candles. Natural 100% Beeswax Candles. Pure (Pack of 30 Candles, 11.5 cm x 1 cm) without Paraffin 100% Handmade, Origin Spain in the Sierra de La Culebra and Sanabria (Zamora)",€16.99,114.0,4.6 out of 5 stars,B0C6488N4R,https://www.amazon.es/-/en/Honeybee-Candles-Paraffin-Handmade-Sanabria/dp/B0C6488N4R/ref=zg_bs_g_handmade_d_sccl_15/523-4917105-0671243?psc=1,15,handmade,es,50+
1,16,"Tres Aristas Personalised Letter with Decorative Name to Stand or Hang – Decoration Children's Room, Communions, Birthdays, Christenings – Original Gifts – Sizes and Colours to Choose From",€13.50,941.0,4.7 out of 5 stars,B09H6DVRLW,https://www.amazon.es/-/en/Aristas-Personalised-Letter-Decorative-Stand/dp/B09H6DVRLW/ref=zg_bs_g_handmade_d_sccl_16/523-4917105-0671243?psc=1,16,handmade,es,100+
1,17,Qué Kawaii Multiplication Tables for Learning Playing Portable Teaching Material Business Card Size 12cm x 8.5cm (M),€4.95,151.0,4.4 out of 5 stars,B0CLV7GT6Y,https://www.amazon.es/-/en/Qu%C3%A9-Kawaii-Multiplication-Learning-Portable/dp/B0CLV7GT6Y/ref=zg_bs_g_handmade_d_sccl_17/523-4917105-0671243?psc=1,17,handmade,es,50+
1,18,"TetebyNoa – Pacifier Holder Personalised with Baby Name | BPA Free, From +0 Months Baby Pacifier Holder Embroidered with Fabric, Gift Baby Nursery (Elephants)",€14.95,5.0,4.0 out of 5 stars,B0F84B163R,https://www.amazon.es/-/en/TetebyNoa-Pacifier-Personalised-Embroidered-Elephants/dp/B0F84B163R/ref=zg_bs_g_handmade_d_sccl_18/523-4917105-0671243?psc=1,18,handmade,es,0
1,19,Black Hand Pendant in 925 Sterling Silver - Evil Eye Amulet in a Jet Cuff Pendant - The figa or figa pendant comes in a gift box,€9.95,71.0,4.3 out of 5 stars,B0CLMF6F58,https://www.amazon.es/-/en/Black-Hand-Pendant-Sterling-Silver/dp/B0CLMF6F58/ref=zg_bs_g_handmade_d_sccl_19/523-4917105-0671243?psc=1,19,handmade,es,40+
1,20,Personalised Mugs | Personalized Mugs with Photo and Text | Original Mugs to Gift | Personalized Gifts | Mugs with Name | Personalized Coffee Mugs | Buy Solidarity,€4.45,94.0,4.8 out of 5 stars,B0DJ93VGJP,https://www.amazon.es/-/en/Personalised-Personalized-Original-Coffee-Solidarity/dp/B0DJ93VGJP/ref=zg_bs_g_handmade_d_sccl_20/523-4917105-0671243?psc=1,20,handmade,es,100+
1,21,Silver Earrings for Women 40 mm – Earrings for Women 925 Sterling Silver that are Packaged in a Gift Box – Thin Earrings 1.5 mm Wide (40 mm),€17.99,59.0,4.0 out of 5 stars,B0CYZTWVRQ,https://www.amazon.es/-/en/Silver-Earrings-Women-40-Sterling/dp/B0CYZTWVRQ/ref=zg_bs_g_handmade_d_sccl_21/523-4917105-0671243?psc=1,21,handmade,es,0
