page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,Magnesium Citrate 1545mg + Magnesium Bisglycinate 600mg - Reduces Tiredness and Fatigue - Magnesium Complex High Bioavailability - 120 Vegan Capsules Nutralie,€19.90,8170,4.6 out of 5 stars,B07M7L3J7Y,https://www.amazon.es/-/en/Magnesium-Citrate-1545mg-Bisglycinate-600mg/dp/B07M7L3J7Y/ref=zg_bs_g_hpc_d_sccl_1/523-1318020-7382809?psc=1,1,hpc,es,10K+
1,2,Healthy Fusion Whey Protein | Pure Whey Protein with Collagen + Magnesium | Improve Your Workouts | Protects and Increases Muscle Mass | 1000g Protein (Chocolate),€29.90,12776,4.0 out of 5 stars,B07Q31N9D4,https://www.amazon.es/-/en/Healthy-Fusion-Magnesium-Increases-Chocolate/dp/B07Q31N9D4/ref=zg_bs_g_hpc_d_sccl_2/523-1318020-7382809?psc=1,2,hpc,es,2K+
1,3,"HSN Micronized Creatine Monohydrate 1 kg | 100% Pure, Unflavored | Vegan, Gluten Free and No Additives | High Solubility and Maximum Purity | Does Not Include Doser",€16.40,6745,4.6 out of 5 stars,B07BF9RJNV,https://www.amazon.es/-/en/HSN-Micronized-Monohydrate-Unflavored-Solubility/dp/B07BF9RJNV/ref=zg_bs_g_hpc_d_sccl_3/523-1318020-7382809?psc=1,3,hpc,es,4K+
1,4,OMRON X2 Essential - Automatic arm blood pressure monitor - With hypertension indicator and irregular heartbeat detection - Memory up to 30 readings - Clinically validated - 5 year warranty,€23.99,46109,4.7 out of 5 stars,B0F9X3BYG9,https://www.amazon.es/-/en/OMRON-Essential-Automatic-hypertension-Clinically/dp/B0F9X3BYG9/ref=zg_bs_g_hpc_d_sccl_4/523-1318020-7382809?psc=1,4,hpc,es,5K+
1,5,"Pure Hydrolyzed Collagen + Hyaluronic Acid + Coenzyme Q10 + Vitamins and B12 + Zinc - 120 Days Maximum Dose - Advanced Formula - Collagen for Strong Joints, Tense Skin and Energy",€19.97,4556,4.6 out of 5 stars,B09HHNZ5Q4,https://www.amazon.es/-/en/Hydrolyzed-Collagen-Hyaluronic-Coenzyme-Vitamins/dp/B09HHNZ5Q4/ref=zg_bs_g_hpc_d_sccl_5/523-1318020-7382809?psc=1,5,hpc,es,6K+
1,6,"Omega 3 2000mg - 240 Fish Oil Beads (660mg EPA + 440mg DHA) - Omega 3 Fatty Acids for 4 Months, Non-GMO",€22.49,18643,4.7 out of 5 stars,B084G5XC29,https://www.amazon.es/-/en/Omega-2000mg-Beads-Months-Non-GMO/dp/B084G5XC29/ref=zg_bs_g_hpc_d_sccl_6/523-1318020-7382809?psc=1,6,hpc,es,9K+
1,7,"HSN Creatine Powder 100% Creapure Unflavored 500g | 100% Micronized Creatine Monohydrate | No Doser Included | No Added and Free of Contaminants | Non-GMO, Vegan, Gluten Free",€26.90,2755,4.6 out of 5 stars,B072C4VWZ2,https://www.amazon.es/-/en/HSN-Unflavored-Micronized-Monohydrate-Contaminants/dp/B072C4VWZ2/ref=zg_bs_g_hpc_d_sccl_7/523-1318020-7382809?psc=1,7,hpc,es,7K+
1,8,"HSN Magnesium Bisglycinate (350mg Elemental Mineral) | 120 Vegan Capsules | 100% Magnesium Glycinate High Bioavailability and Absorption | Non-GMO, Vegan, Gluten Free",€9.99,2113,4.7 out of 5 stars,B01BCCP44G,https://www.amazon.es/-/en/HSN-Magnesium-Bisglycinate-Bioavailability-Absorption/dp/B01BCCP44G/ref=zg_bs_g_hpc_d_sccl_8/523-1318020-7382809?psc=1,8,hpc,es,4K+
1,9,"Colgate Max White Purple Serum 40ml, Instant Fluoride-Free Teeth Whitener, Instantly Whitens, Dual Action Formula for Color Correction and Lasting Whitening Results",€9.99,664,3.9 out of 5 stars,B0FR9RDLWM,https://www.amazon.es/-/en/Colgate-Fluoride-Free-Instantly-Correction-Whitening/dp/B0FR9RDLWM/ref=zg_bs_g_hpc_d_sccl_9/523-1318020-7382809?psc=1,9,hpc,es,5K+
1,10,"Natulim - Detergent in Strips for Washing Machine (40 Washes) - Includes Softener, Eco-Friendly, Hypoallergenic, Made in Spain - Clean and soft clothes without messing the planet (Lavender Fragrance)",€9.96,5996,4.3 out of 5 stars,B09QH7SV2C,https://www.amazon.es/-/en/Natulim-Detergent-Eco-Friendly-Hypoallergenic-Fragrance/dp/B09QH7SV2C/ref=zg_bs_g_hpc_d_sccl_10/523-1318020-7382809?psc=1,10,hpc,es,1K+
1,11,BIOMED Superwhite 97% Natural Whitening Toothpaste Enamel Strengthener Coconut Flavor Vegan Friendly SLES Free 100g,€4.25,19053,4.5 out of 5 stars,B01N6QQGZJ,https://www.amazon.es/-/en/BIOMED-Superwhite-Whitening-Toothpaste-Strengthener/dp/B01N6QQGZJ/ref=zg_bs_g_hpc_d_sccl_11/523-1318020-7382809?psc=1,11,hpc,es,2K+
1,12,"HG Anti Mold Spray - Removes Mildew & Moisture Stains From Walls, Tiles, Silicone Gaskets & More in Bathrooms, Kitchen, Outdoor Patios & More - 500ml",€7.79,10186,4.4 out of 5 stars,B01FXNE9S2,https://www.amazon.es/-/en/HG-Anti-Mold-Spray-Bathrooms/dp/B01FXNE9S2/ref=zg_bs_g_hpc_d_sccl_12/523-1318020-7382809?psc=1,12,hpc,es,6K+
1,13,"RENPHO Digital Bathroom Scale, High Precision Body Weight Scale with Illuminated Display, 0.1lb (50g) Graduation, Step-on Technology, 180kg/400lb, Black, Core 1S",€9.99,93014,4.5 out of 5 stars,B07S9PTLNZ,https://www.amazon.es/-/en/RENPHO-Illuminated-Graduation-Technology-Black/dp/B07S9PTLNZ/ref=zg_bs_g_hpc_d_sccl_13/523-1318020-7382809?psc=1,13,hpc,es,4K+
1,14,250 Probiotic Capsules + Organic Turmeric with Ginger and Black Pepper – 1460mg – with Curcumin and Piperine – Natural Anti-Inflammatory – Advanced Formula – Organic Certification,€29.97,6708,4.6 out of 5 stars,B08MYVY82G,https://www.amazon.es/-/en/Probiotic-Capsules-Organic-Turmeric-Ginger/dp/B08MYVY82G/ref=zg_bs_g_hpc_d_sccl_14/523-1318020-7382809?psc=1,14,hpc,es,5K+
1,15,Foodelis Creatine Monohydrate Powder 1kg / 333 Doses - 100% Micronized Creatine Monohydrate - Unflavored - Pure and No Additives - Non-GMO - High Solubility - Includes Doser,€16.49,7135,4.6 out of 5 stars,B0BGJC5GZ1,https://www.amazon.es/-/en/Foodelis-Creatine-Monohydrate-Powder-Doses/dp/B0BGJC5GZ1/ref=zg_bs_g_hpc_d_sccl_15/523-1318020-7382809?psc=1,15,hpc,es,4K+
1,16,"Oral-B Pro 3D White Clinical Intensive Whitening Toothpaste, Removes Surface Stains, Whitening Toothpaste With Evergreen Mint Flavor, 75 ml",€6.49,210,4.6 out of 5 stars,B0FRY2N14Q,https://www.amazon.es/-/en/Oral-B-Intensive-Whitening-Toothpaste-Evergreen/dp/B0FRY2N14Q/ref=zg_bs_g_hpc_d_sccl_16/523-1318020-7382809?psc=1,16,hpc,es,700+
1,17,"Optimum Nutrition Micronized Creatine Powder, Unflavored, 635 g, 186 Services",€37.87,31957,4.6 out of 5 stars,B00T7L20EC,https://www.amazon.es/-/en/Optimum-Nutrition-Micronized-Creatine-Unflavored/dp/B00T7L20EC/ref=zg_bs_g_hpc_d_sccl_17/523-1318020-7382809?psc=1,17,hpc,es,2K+
1,18,Lubido Original Water-Based Paraben-Free Intimate Lubricant Gel - 250ml,€8.50,60412,4.4 out of 5 stars,B00TU70ZFE,https://www.amazon.es/-/en/Original-Water-Based-Paraben-Free-Intimate-Lubricant/dp/B00TU70ZFE/ref=zg_bs_g_hpc_d_sccl_18/523-1318020-7382809?psc=1,18,hpc,es,3K+
1,19,"Fairy Platinum Plus Lemon All-In-One Dishwasher Capsules, 114 Capsules, Our Best Clean That Leaves Dishes Like New, Eliminates Lack Of Shine And Prevents Lime",€19.99,1755,4.8 out of 5 stars,B0CVQBLY1D,https://www.amazon.es/-/en/Fairy-Platinum-Dishwasher-Capsules-Eliminates/dp/B0CVQBLY1D/ref=zg_bs_g_hpc_d_sccl_19/523-1318020-7382809?psc=1,19,hpc,es,100+
1,20,"Oral-B Vitality Pro Electric Toothbrush with Rechargeable Handle and 1 Head, Designed By Braun, Original Gifts - Black",€24.90,26923,4.5 out of 5 stars,B0B4SCYCLS,https://www.amazon.es/-/en/Oral-B-Vitality-Electric-Toothbrush-Rechargeable/dp/B0B4SCYCLS/ref=zg_bs_g_hpc_d_sccl_20/523-1318020-7382809?psc=1,20,hpc,es,5K+
1,21,"Portable Oral Irrigator, Vimmk Professional Cordless Dental Irrigator 8 Nozzles 5 Modes, IPX7 Waterproof 300ML USB-C Rechargeable for Teeth Cleaning, for Home and Travel (White)",€29.99,6169,4.4 out of 5 stars,B0CHYVN2D7,https://www.amazon.es/-/en/Irrigator-Vimmk-Professional-Waterproof-Rechargeable/dp/B0CHYVN2D7/ref=zg_bs_g_hpc_d_sccl_21/523-1318020-7382809?psc=1,21,hpc,es,3K+
1,22,"Magnesium Glycinate - 300 mg Elemental Magnesium / Daily Dose - 2 Month Supply with 180 Capsules - Chelated Magnesium - Stomach Safe, Vegan, High Dosage",€19.99,8551,4.6 out of 5 stars,B07NS14648,https://www.amazon.es/-/en/Magnesium-Glycinate-Elemental-Capsules-Chelated/dp/B07NS14648/ref=zg_bs_g_hpc_d_sccl_22/523-1318020-7382809?psc=1,22,hpc,es,3K+
1,23,"Pure Hydrolyzed Collagen with Magnesium Hyaluronic Acid and Coenzyme Q10 - Marine Collagen for Bones, Joints and Skin - With Vitamins A, C, D3, B12 and Zinc - 120 Capsules - Sevens",€17.92,1851,4.6 out of 5 stars,B0CSPLSQXB,https://www.amazon.es/-/en/Hydrolyzed-Collagen-Magnesium-Hyaluronic-Coenzyme/dp/B0CSPLSQXB/ref=zg_bs_g_hpc_d_sccl_23/523-1318020-7382809?psc=1,23,hpc,es,4K+
1,24,Finish Powerball Power All in 1 Dishwasher Tablets All in 1 - Value Pack 104 Tablets,€12.40,1071,4.6 out of 5 stars,B07RJYMWT7,https://www.amazon.es/-/en/Finish-Powerball-Power-Dishwasher-Tablets/dp/B07RJYMWT7/ref=zg_bs_g_hpc_d_sccl_24/523-1318020-7382809?psc=1,24,hpc,es,1K+
1,25,"Natulim Dishwasher Tablets 30 Uses – Biodegradable and Water Soluble 6 in 1 – Deep Cleaning, Brightening, Salt Function, Glass Protection, Descaler, Extra Drying Effect",€12.00,783,4.6 out of 5 stars,B0FY55BQW1,https://www.amazon.es/-/en/Natulim-Dishwasher-Tablets-Uses-Biodegradable/dp/B0FY55BQW1/ref=zg_bs_g_hpc_d_sccl_25/523-1318020-7382809?psc=1,25,hpc,es,3K+
1,26,Magnesium Citrate 1440mg + Magnesium Bisglycinate 600mg + Malate 600mg 440mg Elemental High Bioavailability Reduces Tiredness Relieves Joint and Muscle Pain 3 Months N2,€19.95,1769,4.5 out of 5 stars,B0DKTW7SW1,https://www.amazon.es/-/en/Magnesium-Bisglycinate-Elemental-Bioavailability-N2/dp/B0DKTW7SW1/ref=zg_bs_g_hpc_d_sccl_26/523-1318020-7382809?psc=1,26,hpc,es,4K+
