page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Portable Oral Irrigator, Vimmk Professional Cordless Dental Irrigator 8 Nozzles 5 Modes, IPX7 Waterproof 300ML USB-C Rechargeable for Teeth Cleaning, for Home and Travel (White)",€29.99,6169,4.4 out of 5 stars,B0CHYVN2D7,https://www.amazon.es/-/en/Irrigator-Vimmk-Professional-Waterproof-Rechargeable/dp/B0CHYVN2D7/ref=zg_bs_g_industrial_d_sccl_1/523-1883518-5050536?psc=1,1,industrial,es,3K+
1,2,"Limpiezabarata Zig Zag Fabric Hand Drying Paper Towel, Laminated Double Layer, Box of 3000 Units",€22.95,1415,4.5 out of 5 stars,B07ZHLHKV2,https://www.amazon.es/-/en/Limpiezabarata-Fabric-Drying-Laminated-Double/dp/B07ZHLHKV2/ref=zg_bs_g_industrial_d_sccl_2/523-1883518-5050536?psc=1,2,industrial,es,3K+
1,3,"EQM - ECO-301 - Isopropyl Alcohol 99.9% - 1L - Isopropanol - Cleaning electronic components, lenses and screens - Cleaning of 3D printing resins - Glass cleaner and degreaser",€8.39,16275,4.7 out of 5 stars,B07SH9FY7G,https://www.amazon.es/-/en/EQM-Isopropyl-Isopropanol-electronic-components/dp/B07SH9FY7G/ref=zg_bs_g_industrial_d_sccl_3/523-1883518-5050536?psc=1,3,industrial,es,1K+
1,4,no title,,7443,4.2 out of 5 stars,B0CV4V5L7T,https://www.amazon.es/-/en/eSUN-Filament-Dimensional-Accuracy-Printers/dp/B0CV4V5L7T/ref=zg_bs_g_industrial_d_sccl_4/523-1883518-5050536?psc=1,4,industrial,es,0
1,5,WINKLE Diablo Red HD PLA Filament | 3D Printer Filament | PLA Filament 1.75mm 300g | Red PLA | Compatible with All 3D Printers | Dimensional Accuracy | 300 g Spool,€7.99,2424,4.2 out of 5 stars,B08LWGNJW5,https://www.amazon.es/-/en/Filament-Compatible-Printers-Dimensional-Accuracy/dp/B08LWGNJW5/ref=zg_bs_g_industrial_d_sccl_5/523-1883518-5050536?psc=1,5,industrial,es,100+
1,6,"ELEGOO PLA Filament 1.75 1kg Black, 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 3D Filament Spool, for Most 3D Printers",€14.99,5729,4.6 out of 5 stars,B0CD7BTN37,https://www.amazon.es/-/en/ELEGOO-Filament-Dimensional-Accuracy-Printers/dp/B0CD7BTN37/ref=zg_bs_g_industrial_d_sccl_6/523-1883518-5050536?psc=1,6,industrial,es,300+
1,7,Bel Bel Baby Non-Woven Gauze - 100 Count,€1.64,1624,4.6 out of 5 stars,B01A7PL3FS,https://www.amazon.es/-/en/Bel-Baby-Non-Woven-Gauze-Count/dp/B01A7PL3FS/ref=zg_bs_g_industrial_d_sccl_7/523-1883518-5050536?psc=1,7,industrial,es,1K+
1,8,"Silicone Healing Patches 4x150cm - Medical, Reusable - For Caesareans, Keloids - Breathable and Waterproof",€6.51,154,4.5 out of 5 stars,B0FPFZYHYK,https://www.amazon.es/-/en/Silicone-Healing-Patches-4x150cm-Caesareans/dp/B0FPFZYHYK/ref=zg_bs_g_industrial_d_sccl_8/523-1883518-5050536?psc=1,8,industrial,es,500+
1,9,"Bolsas de polietileno autoadhesivas de tamaño mixto Double Dragon | Embalaje a prueba de robos para envíos, envíos y entregas postales | 4 tamaños, de pequeño a grande, 15 de cada uno (paquete de 60)",€3.79,15028,4.5 out of 5 stars,B0CJ63CKFY,https://www.amazon.es/-/en/polietileno-autoadhesivas-Double-Dragon-Embalaje/dp/B0CJ63CKFY/ref=zg_bs_g_industrial_d_sccl_9/523-1883518-5050536?psc=1,9,industrial,es,1K+
1,10,Roll of stretcher paper 58cmx62m | 6 rolls ECO white,€23.95,326,4.3 out of 5 stars,B0CJCBKDQ6,https://www.amazon.es/-/en/stretcher-paper-58cmx62m-rolls-white/dp/B0CJCBKDQ6/ref=zg_bs_g_industrial_d_sccl_10/523-1883518-5050536?psc=1,10,industrial,es,1K+
1,11,"CIF Original Multi-Surface Cream, Powerful Cleaner with Microparticle Formula for Bathroom and Kitchen, 750 ml",€2.84,3560,4.7 out of 5 stars,B082VTPHF6,https://www.amazon.es/-/en/Original-Multi-Surface-Powerful-Microparticle-Bathroom/dp/B082VTPHF6/ref=zg_bs_g_industrial_d_sccl_11/523-1883518-5050536?psc=1,11,industrial,es,1K+
1,12,"ELEGOO PLA+ Filament 1.75 1kg White, PLA Plus Filament for 3D Printer, Dimensional Accuracy +/- 0.03mm, 3D Filament Spool, for Most 3D Printers",€14.99,5237,4.6 out of 5 stars,B0CD7DYZ1B,https://www.amazon.es/-/en/ELEGOO-Filament-Dimensional-Accuracy-Printers/dp/B0CD7DYZ1B/ref=zg_bs_g_industrial_d_sccl_12/523-1883518-5050536?psc=1,12,industrial,es,300+
1,13,"SUNLU PLA+ Filament 1.75mm, PLA Plus 3D Printer Filament 1kg,Strength Enhancement,Neatly Wound, PLA+ 3D Printing Filament, Dimensional Accuracy +/- 0.03 mm, White",€16.99,8112,4.5 out of 5 stars,B07XFL3XB9,https://www.amazon.es/-/en/SUNLU-PLA-Filament-Printer-Enhancement/dp/B07XFL3XB9/ref=zg_bs_g_industrial_d_sccl_13/523-1883518-5050536?psc=1,13,industrial,es,100+
1,14,"Mi Ko Mi Ka Emergency Beacon V16 DGT 3.0, Connected with Geolocation, Approved, IP54, Visibility 1 km, Data up to 2038, White",€26.90,165,4.2 out of 5 stars,B0FVYFVHSN,https://www.amazon.es/-/en/Mi-Ko-Ka-V16-Geolocation/dp/B0FVYFVHSN/ref=zg_bs_g_industrial_d_sccl_14/523-1883518-5050536?psc=1,14,industrial,es,1K+
1,15,"Scotch-Brite Magic Cleaning Sponge, Value Pack of 6 Sponges, Magic Eraser, Removes Stains from Walls, Shoes, Sinks and More Without Chemicals",€7.49,4574,4.1 out of 5 stars,B00UEMEBJ0,https://www.amazon.es/-/en/Scotch-Brite-Cleaning-Sponges-Removes-Chemicals/dp/B00UEMEBJ0/ref=zg_bs_g_industrial_d_sccl_15/523-1883518-5050536?psc=1,15,industrial,es,700+
1,16,White Cellulose Industrial Paper Spools | 100% Virgin Paste Industrial Paper Rolls | White Paper Spool | Pack of 6 Paper Spools | Laminated Finish | 3.6 kg | Practical Brand,€22.45,258,4.4 out of 5 stars,B08VJF338V,https://www.amazon.es/-/en/Cellulose-Industrial-Spools-Laminated-Practical/dp/B08VJF338V/ref=zg_bs_g_industrial_d_sccl_16/523-1883518-5050536?psc=1,16,industrial,es,800+
1,17,Vileda Turbo Mop Bucket Set for Floor Rotating with Pedal - Telescopic Handle 85-123 cm - 2 in 1 Microfiber Head - Love it Clean - Sustainable Packaging,€42.99,13506,4.2 out of 5 stars,B09MR8CMH7,https://www.amazon.es/-/en/Vileda-Turbo-Bucket-Floor-Rotating/dp/B09MR8CMH7/ref=zg_bs_g_industrial_d_sccl_17/523-1883518-5050536?psc=1,17,industrial,es,2K+
1,18,Floor cleaner for cleaning robots - 750ml for all manufacturers,€6.99,4740,4.3 out of 5 stars,B0BGXX5GM1,https://www.amazon.es/-/en/Floor-cleaner-cleaning-robots-manufacturers/dp/B0BGXX5GM1/ref=zg_bs_g_industrial_d_sccl_18/523-1883518-5050536?psc=1,18,industrial,es,800+
1,19,"Extra Strong 3D Gel Glue - KRAFTPROTZ 50g XXL - Waterproof, Heat & Vibration Resistant Superglue - Spill Proof Tip - Adhesive for PLA, ABS, PETG, TPU - Ideal for 3D Printing and Repairs",€6.99,3402,4.6 out of 5 stars,B0CBSGWZRW,https://www.amazon.es/-/en/Extra-Strong-Gel-Glue-KRAFTPROTZ/dp/B0CBSGWZRW/ref=zg_bs_g_industrial_d_sccl_19/523-1883518-5050536?psc=1,19,industrial,es,900+
1,20,"HG Super Powerful Anti-Limescale Foam, Removes Stains and Lime Remains from Taps and Toilets, Cleans Bathrooms, Showers, Bathtubs and Screens among others – 500 ml",€6.29,10186,4.4 out of 5 stars,B07BC1HNGZ,https://www.amazon.es/-/en/HG-Powerful-Anti-Limescale-Bathrooms-Bathtubs/dp/B07BC1HNGZ/ref=zg_bs_g_industrial_d_sccl_20/523-1883518-5050536?psc=1,20,industrial,es,200+
1,21,OFFICER PRODUCTS 100 x 1 x 8 cm 1 x 1 Zip Lock Bags Transparent Zip Seal Bags with Zip Closure Bags Polythene Bags Food Safe,€1.43,4304,4.5 out of 5 stars,B0C9J7WV13,https://www.amazon.es/-/en/OFFICER-PRODUCTS-Transparent-Closure-Polythene/dp/B0C9J7WV13/ref=zg_bs_g_industrial_d_sccl_21/523-1883518-5050536?psc=1,21,industrial,es,100+
1,22,"Meowyn Portable Nebulizer, Nebulizer for Baby Children Adults, Silent Electric Inhalers Rechargeable USB-C with Portable Design, Easy to Use and Clean, for Home and Travel Use",€33.99,6458,4.0 out of 5 stars,B0BVFX88CZ,https://www.amazon.es/-/en/Meowyn-Portable-Nebulizer-Children-Rechargeable/dp/B0BVFX88CZ/ref=zg_bs_g_industrial_d_sccl_22/523-1883518-5050536?psc=1,22,industrial,es,1K+
1,23,"Asevi Floor Mops Scented Orange – Concentrated Floor Scrub Citrus Aroma – Cleaning, Shine and Hygiene – Floor Cleaner pH Neutral All Types of Floors, Even Delicate Surfaces – 1 Litre Pack",€1.99,1415,4.7 out of 5 stars,B00L2IQK80,https://www.amazon.es/-/en/Asevi-Floor-Mops-Scented-Orange/dp/B00L2IQK80/ref=zg_bs_g_industrial_d_sccl_23/523-1883518-5050536?psc=1,23,industrial,es,300+
1,24,"DEEPLEE PLA Filament 1.75mm, 3D Printer Filament 1kg(2.2lbs), Dimensional Accuracy +/- 0.03mm, for Most FDM 3D Printers, Grey",€12.99,2094,4.4 out of 5 stars,B0DCJGWD5B,https://www.amazon.es/-/en/DEEPLEE-Filament-Dimensional-Accuracy-Printers/dp/B0DCJGWD5B/ref=zg_bs_g_industrial_d_sccl_24/523-1883518-5050536?psc=1,24,industrial,es,50+
1,25,"PLANTAWA Citric Acid Powder 1 kg | Citric Acid for Kitchen, Bathroom and Garden | 100% Pure and Versatile. Multi-Purpose Cleaner Environmentally Friendly.",€8.95,559,4.6 out of 5 stars,B0D4VV1867,https://www.amazon.es/-/en/PLANTAWA-Versatile-Multi-Purpose-Environmentally-Friendly/dp/B0D4VV1867/ref=zg_bs_g_industrial_d_sccl_25/523-1883518-5050536?psc=1,25,industrial,es,700+
