page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,"Utopia Bedding 4-Piece Sheet Set 135 x 190 cm – Brushed Microfiber Polyester – Oeko-Tex Certified – Fitted Sheet, Flat Sheet and 2 Pillowcases 50 x 75 cm (135 Bed, Grey)",€12.67,57800,4.5 out of 5 stars,B075JHKSGJ,https://www.amazon.es/-/en/Utopia-Bedding-4-Piece-Sheet-Set/dp/B075JHKSGJ/ref=zg_bs_g_kitchen_d_sccl_1/522-9398622-3384840?psc=1,1,kitchen,es,500+
1,2,"Philips Lint Remover - for All Types of Garments, High Speed Blade 8800 RPM, Compact and Lightweight, Easy Empty Lint Reservoir, Includes 2 AA Batteries, GC026/00",€12.99,148695,4.6 out of 5 stars,B00E3862DE,https://www.amazon.es/-/en/Philips-Lint-Remover-Lightweight-Reservoir/dp/B00E3862DE/ref=zg_bs_g_kitchen_d_sccl_2/522-9398622-3384840?psc=1,2,kitchen,es,3K+
1,3,"Cecotec Power TitanBlack 1500 XL PerfectCream&Crush Hand Blender, 1500 W, CrossBlades Technology with 4-Blade Blades, XL Foot, Includes Chopper, Whisk Sticks and Masher",€39.90,13788,4.2 out of 5 stars,B08PKWD87W,https://www.amazon.es/-/en/Cecotec-TitanBlack-PerfectCream-CrossBlades-Technology/dp/B08PKWD87W/ref=zg_bs_g_kitchen_d_sccl_3/522-9398622-3384840?psc=1,3,kitchen,es,1K+
1,4,"edihome, Air Fryer Paper, Air Fryer, Pack of 100, 20-24 cm, BPA Free, Disposable, Oven, Accessories for Oil-Free Fryer 5 to 8 Litres (20-24 cm, Square)",€8.89,6611,4.6 out of 5 stars,B0D3VCV459,https://www.amazon.es/-/en/edihome-Disposable-Accessories-Oil-Free-Litres/dp/B0D3VCV459/ref=zg_bs_g_kitchen_d_sccl_4/522-9398622-3384840?psc=1,4,kitchen,es,5K+
1,5,"VACTechPro Cordless Vacuum Cleaner, 35kPa Handheld Vacuum, 6-in-1 Wireless with 35-Minute Run Time and Removable Battery, Stick Vacuum Ideal for Pet Hair/Carpet/Hard Floors & Gold",€109.00,4351,4.4 out of 5 stars,B0D1KCLVPX,https://www.amazon.es/-/en/VACTechPro-Cordless-Handheld-35-Minute-Removable/dp/B0D1KCLVPX/ref=zg_bs_g_kitchen_d_sccl_5/522-9398622-3384840?psc=1,5,kitchen,es,5K+
1,6,"Utopia Bedding Waterproof Mattress Protector 135 x 190 x 40 cm, Oeko-Tex Certified Mattress Cover, Breathable Mattress Cover, Elastic All Around",€15.99,42980,4.6 out of 5 stars,B077T9VNSB,https://www.amazon.es/-/en/Utopia-Bedding-Waterproof-Protector-Breathable/dp/B077T9VNSB/ref=zg_bs_g_kitchen_d_sccl_6/522-9398622-3384840?psc=1,6,kitchen,es,800+
1,7,"Mini Car Vacuum 15000Pa Portable Cordless Handheld Vacuum Cleaner and Air Duster with 2 Filter for Car, Sofa, Office, Pet, Home",€26.99,490,4.2 out of 5 stars,B0D91XPXV1,https://www.amazon.es/-/en/15000Pa-Portable-Cordless-Handheld-Cleaner/dp/B0D91XPXV1/ref=zg_bs_g_kitchen_d_sccl_7/522-9398622-3384840?psc=1,7,kitchen,es,1K+
1,8,"SWEET VIEW Oil Maker Spray Sprayer and Dispenser Oil, 470ml Lightproof Glass Oil Pourer for Kitchen, Air Fryer, Kitchen, Salad and BBQ",€10.99,5501,4.5 out of 5 stars,B0F2DJV6SZ,https://www.amazon.es/-/en/SWEET-VIEW-Spray-Dispenser-Lightproof/dp/B0F2DJV6SZ/ref=zg_bs_g_kitchen_d_sccl_8/522-9398622-3384840?psc=1,8,kitchen,es,2K+
1,9,"Amazon Basics Water Filter Cartridges, 6 Count, Pack of 1, Suitable and Compatible with All BRITA Jugs Incl. PerfectFit & Amazon Basic Jugs",€26.85,14416,4.6 out of 5 stars,B084H8X4SW,https://www.amazon.es/-/en/Amazon-Basics-Cartridges-Compatible-PerfectFit/dp/B084H8X4SW/ref=zg_bs_g_kitchen_d_sccl_9/522-9398622-3384840?psc=1,9,kitchen,es,1K+
1,10,"PURIVITA Universal Descaler Coffee Machines [500 ml] – Anti-Limescale for Delonghi, Dolce Gusto, Nespresso, Philips and Others – Limpa Cafeiras",€5.99,20330,4.5 out of 5 stars,B0C4FHBPRT,https://www.amazon.es/-/en/PURIVITA-Universal-Descaler-Coffee-Machines/dp/B0C4FHBPRT/ref=zg_bs_g_kitchen_d_sccl_10/522-9398622-3384840?psc=1,10,kitchen,es,3K+
1,11,Todocama Aloe Vera Memory Foam Pillow (Pack of 2 Units - 70 cm),€42.90,17299,4.5 out of 5 stars,B07P1328L3,https://www.amazon.es/-/en/Todocama-Aloe-Memory-Pillow-Units/dp/B07P1328L3/ref=zg_bs_g_kitchen_d_sccl_11/522-9398622-3384840?psc=1,11,kitchen,es,600+
