page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,no title,€9.99,21612.0,4.0 out of 5 stars,B0CQQ6R3G4,https://www.amazon.es/-/en/HOVVIDA-Lights-Control-Bedroom-Kitchen/dp/B0CQQ6R3G4/ref=zg_bs_g_lighting_d_sccl_1/525-4573701-9127129?psc=1,1,lighting,es,800+
1,2,no title,,63.0,3.9 out of 5 stars,B0FVF7NFGJ,https://www.amazon.es/-/en/Vankarr-Christmas-Lights-Memory-Colorful/dp/B0FVF7NFGJ/ref=zg_bs_g_lighting_d_sccl_2/525-4573701-9127129?psc=1,2,lighting,es,50+
1,3,no title,€14.99,12180.0,4.4 out of 5 stars,B08QRQQ53T,https://www.amazon.es/-/en/Tapo-L530E-Multi-Colour-Dimmable-Compatible/dp/B08QRQQ53T/ref=zg_bs_g_lighting_d_sccl_3/525-4573701-9127129?psc=1,3,lighting,es,1K+
1,4,"Gritin Rechargeable Cabinet Light, 26 cm Super Bright Kitchen Lights – 3 Colors & 5 Brightness Levels, 4 Modes, Motion Sensor, Long Lasting, Easy Installation, Magnetic Cabinet Lights-2 Pack",€17.99,14499.0,4.7 out of 5 stars,B0F1C56SR1,https://www.amazon.es/-/en/Gritin-Rechargeable-Cabinet-Bright-Kitchen/dp/B0F1C56SR1/ref=zg_bs_g_lighting_d_sccl_4/525-4573701-9127129?psc=1,4,lighting,es,1K+
1,5,no title,€9.99,5641.0,4.5 out of 5 stars,B0CR5FD97N,https://www.amazon.es/-/en/LQWELL%C2%AE-Ceiling-Waterproof-Bathroom-Basement/dp/B0CR5FD97N/ref=zg_bs_g_lighting_d_sccl_5/525-4573701-9127129?psc=1,5,lighting,es,900+
1,6,"SLATOR LED Desk Lamp, Desk Flexo (Eye Care, USB Port, 5 Modes, 10 Brightness Levels, 30/60 Minute Timer, Memory Function)",€22.29,11543.0,4.4 out of 5 stars,B07ZCY9XZ9,https://www.amazon.es/-/en/SLATOR-Brightness-Levels-Minute-Function/dp/B07ZCY9XZ9/ref=zg_bs_g_lighting_d_sccl_6/525-4573701-9127129?psc=1,6,lighting,es,1K+
1,7,"Gritin Reading Light, Rechargeable Reading Lamp with Tweezers, 3 Eye Protection Colours & 5 Continuously Adjustable Brightnesses – Adjustable Angle Book Light, Gift Lovers for Reading",€10.99,4101.0,4.8 out of 5 stars,B0DK3CBP48,https://www.amazon.es/-/en/Gritin-Rechargeable-Protection-Continuously-Brightnesses/dp/B0DK3CBP48/ref=zg_bs_g_lighting_d_sccl_7/525-4573701-9127129?psc=1,7,lighting,es,1K+
1,8,"OUILA Magnetic LED Closet Light with Motion Sensor Natural White 5000K 36 LEDs 4 Modes Adhesive LED Light USB Rechargeable 1000mAh Light for Kitchen, Wardrobe, Stairs, Hallway, Garage-2 Pieces",€19.99,32426.0,4.4 out of 5 stars,B09DP2XV1V,https://www.amazon.es/-/en/OUILA-Magnetic-Adhesive-Rechargeable-Wardrobe/dp/B09DP2XV1V/ref=zg_bs_g_lighting_d_sccl_8/525-4573701-9127129?psc=1,8,lighting,es,500+
1,9,"Gritin 19 LED Reading Light, USB Rechargeable Reading Lamp 360° Flexible with 3 Lighting Modes - Eye Protection & Continuous Dimming & Long Lasting Book Light for Reading in Bed",€14.99,29180.0,4.8 out of 5 stars,B0C3BC4QG2,https://www.amazon.es/-/en/Gritin-Reading-Rechargeable-Flexible-Lighting/dp/B0C3BC4QG2/ref=zg_bs_g_lighting_d_sccl_9/525-4573701-9127129?psc=1,9,lighting,es,1K+
1,10,"SEZAC Outdoor Solar Light [6 Pack/3 Modes] 270° Super Bright Outdoor Solar LED Spotlights with Motion Sensor, IP65 Solar Lights LED Outdoor Garden for Garages, Paths, Front Doors",€24.78,9855.0,4.3 out of 5 stars,B091CSCVRM,https://www.amazon.es/-/en/SEZAC-Outdoor-Bright-Spotlights-Garages/dp/B091CSCVRM/ref=zg_bs_g_lighting_d_sccl_10/525-4573701-9127129?psc=1,10,lighting,es,500+
