page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number
1,1,no title,€69.99,,,B0G4NT3SH1,https://www.amazon.es/-/en/Pok%C3%A9mon-H%C3%A9roes-Ascendentes/dp/B0G4NT3SH1/ref=zg_bs_g_toys_d_sccl_1/525-2667301-1523310?psc=1,1,toys,es,0
1,2,no title,€10.99,,,B0G4NS6SJY,https://www.amazon.es/-/en/Pok%C3%A9mon-Togepi-y-Totodile/dp/B0G4NS6SJY/ref=zg_bs_g_toys_d_sccl_2/525-2667301-1523310?psc=1,2,toys,es,0
1,3,no title,€10.99,,,B0G4NS1BCR,https://www.amazon.es/-/en/Pok%C3%A9mon-Pikachu-y-Tepig/dp/B0G4NS1BCR/ref=zg_bs_g_toys_d_sccl_3/525-2667301-1523310?psc=1,3,toys,es,0
1,4,no title,€10.99,,,B0G4NT35J8,https://www.amazon.es/-/en/Pok%C3%A9mon-Riolu-y-Darumaka/dp/B0G4NT35J8/ref=zg_bs_g_toys_d_sccl_4/525-2667301-1523310?psc=1,4,toys,es,0
1,5,no title,€10.99,,,B0G4NQ9LVW,https://www.amazon.es/-/en/Pok%C3%A9mon-Zorua-y-Cramorant/dp/B0G4NQ9LVW/ref=zg_bs_g_toys_d_sccl_5/525-2667301-1523310?psc=1,5,toys,es,0
1,6,no title,€10.99,,,B0G4NQK15P,https://www.amazon.es/-/en/Pok%C3%A9mon-Clefairy-y-Chikorita/dp/B0G4NQK15P/ref=zg_bs_g_toys_d_sccl_6/525-2667301-1523310?psc=1,6,toys,es,0
1,7,LEGO Speed Champions Ferrari SF-24 F1 Race Car Toy - Father's Day Gift - Formula 1 Red Vehicle Model and Pilot Minifigure to Collect - 77242,€21.99,14058.0,4.8 out of 5 stars,B0DHSBBV6R,https://www.amazon.es/-/en/LEGO-Speed-Champions-Ferrari-SF-24/dp/B0DHSBBV6R/ref=zg_bs_g_toys_d_sccl_7/525-2667301-1523310?psc=1,7,toys,es,1K+
1,8,Pokémon: JCC Pokémon Megaevolution Enhancement Packs-Ghost Fires (6 Upgrade Envelopes),€29.04,30.0,4.0 out of 5 stars,B0FTG3C43P,https://www.amazon.es/-/en/Pok%C3%A9mon-Megaevolution-Enhancement-Packs-Ghost-Envelopes/dp/B0FTG3C43P/ref=zg_bs_g_toys_d_sccl_8/525-2667301-1523310?psc=1,8,toys,es,1K+
1,9,QuickStop - Board Games for Family and Friends - Dynamic and Fun - 2 to 7 Players - Toy Grand Prix 2024 - Original Gift,€18.36,5117.0,4.8 out of 5 stars,B0CJ54TF8K,https://www.amazon.es/-/en/QuickStop-Friends-Dynamic-Players-Original/dp/B0CJ54TF8K/ref=zg_bs_g_toys_d_sccl_9/525-2667301-1523310?psc=1,9,toys,es,4K+
1,10,Ludilo - Taco Cat Goat Cheese Pizza | Board Games | Board Games Kids 8 Years or Older | Card Game with 60 Cards | Gift Child 8 Years or Over 3 to 8 Players,€12.49,3155.0,4.8 out of 5 stars,B085DTTYP7,https://www.amazon.es/-/en/Ludilo-Cheese-Pizza-Board-Players/dp/B085DTTYP7/ref=zg_bs_g_toys_d_sccl_10/525-2667301-1523310?psc=1,10,toys,es,1K+
1,11,"Pokémon: Laurean Megaevolution-Ascending Heroes Collection (1 Holographic Promotion Card, 1 Coin and 2 Upgrade Envelopes)",€11.99,31.0,4.6 out of 5 stars,B0G7JRZNBY,https://www.amazon.es/-/en/Pok%C3%A9mon-Megaevolution-Ascending-Collection-Holographic-Promotion/dp/B0G7JRZNBY/ref=zg_bs_g_toys_d_sccl_11/525-2667301-1523310?psc=1,11,toys,es,0
1,12,Faber-Castell 554201 – Cardboard Case with 12 School Markers,€1.22,4022.0,4.6 out of 5 stars,B08LL5R3BH,https://www.amazon.es/-/en/Faber-Castell-554201-Cardboard-School-Markers/dp/B08LL5R3BH/ref=zg_bs_g_toys_d_sccl_12/525-2667301-1523310?psc=1,12,toys,es,400+
1,13,Desire Deluxe Kit Bloques de Construcción Magnéticos 3D para Niños de 3 - 7 Años - Juguete Educativo con Figuras Geométricas para Desarrollar la Creatividad de Sus Pequeños - 57 Piezas,€26.99,15247.0,4.8 out of 5 stars,B07MGYKZ36,https://www.amazon.es/-/en/Desire-Deluxe-Bloques-Construcci%C3%B3n-Magn%C3%A9ticos/dp/B07MGYKZ36/ref=zg_bs_g_toys_d_sccl_13/525-2667301-1523310?psc=1,13,toys,es,600+
1,14,Beyblade X Drop Attack Battle Set,€30.01,4897.0,4.6 out of 5 stars,B0DNFPM6KB,https://www.amazon.es/-/en/Beyblade-Drop-Attack-Battle-Set/dp/B0DNFPM6KB/ref=zg_bs_g_toys_d_sccl_14/525-2667301-1523310?psc=1,14,toys,es,500+
1,15,"Pokémon: JCC Pokémon Megaevolution Elite Trainer Box-Ghost Fires (1 Promo Card with Expanded Illustration, 9 Upgrade Envelopes and Premium Accessories)",€52.99,139.0,4.5 out of 5 stars,B0FTG4DGK7,https://www.amazon.es/-/en/Pok%C3%A9mon-Megaevolution-Box-Ghost-Illustration-Accessories/dp/B0FTG4DGK7/ref=zg_bs_g_toys_d_sccl_15/525-2667301-1523310?psc=1,15,toys,es,1K+
1,16,Tranjis games - Virus - Card Game (TRG-01vir) (1138753.62),€12.99,17470.0,4.8 out of 5 stars,8460659666,https://www.amazon.es/-/en/Tranjis-games-Virus-TRG-01vir-1138753-62/dp/8460659666/ref=zg_bs_g_toys_d_sccl_16/525-2667301-1523310?psc=1,16,toys,es,1K+
1,17,Play-Doh Imagine Anything 18 Pack,€13.99,41066.0,4.8 out of 5 stars,B0DNFPHXDN,https://www.amazon.es/-/en/Play-Doh-Imagine-Anything-18-Pack/dp/B0DNFPHXDN/ref=zg_bs_g_toys_d_sccl_17/525-2667301-1523310?psc=1,17,toys,es,500+
