page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number,bought_number_2
1,1,CARE+PROTECT Cooker Hood Filter – Universal – Cut to Measure – Anti-Grease – Anti-Odour – Self-Extinguishing – Dimensions 47 x 97 cm – Absorption 100 g/m²,€5.99,5621,4.5 out of 5 stars,B07SH2HGGJ,https://www.amazon.fr/-/en/CARE-PROTECT-Cooker-Filter-Self-Extinguishing/dp/B07SH2HGGJ/ref=zg_bs_g_appliances_d_sccl_1/523-3724927-0432662?psc=1,1,appliances,fr,1k+,1K+ bought
1,2,GMY G9 Halogen Oven Bulb G9 40W 230V Tolerance 300°C for Neff/AEG/Smeg/Zanussi/Bosch- Pack of 2,€6.99,9899,4.7 out of 5 stars,B094Z4PYN8,https://www.amazon.fr/-/en/GMY-Halogen-Tolerance-Zanussi-Bosch/dp/B094Z4PYN8/ref=zg_bs_g_appliances_d_sccl_2/523-3724927-0432662?psc=1,2,appliances,fr,0,1K+ bought
1,3,"GOLDEN ICEPURE Refrigerator Water Filter Compatible with Samsung DA29-10105J, DA29-10105J HAFEX/EXP, DA99-02131B, WSF-100, EF9603, HAIER LG Refrigerator, 2 pieces.",€19.99,14696,4.7 out of 5 stars,B07DCRN38R,https://www.amazon.fr/-/en/GOLDEN-ICEPURE-Refrigerator-DA29-10105J-DA99-02131B/dp/B07DCRN38R/ref=zg_bs_g_appliances_d_sccl_3/523-3724927-0432662?psc=1,3,appliances,fr,0,unknown
1,4,"NIUXX Universal Overlay Kit for 46-66 cm Washing Machine and Dryer, Stacking Kit for Washing Machine, Intermediate Frame for Washing, Tumble Dryer Intermediate Kit with Ratchet Straps",€35.99,6747,4.6 out of 5 stars,B0DB5KDB38,https://www.amazon.fr/-/en/NIUXX-Universal-Overlay-Stacking-Intermediate/dp/B0DB5KDB38/ref=zg_bs_g_appliances_d_sccl_4/523-3724927-0432662?psc=1,4,appliances,fr,400+,unknown
1,5,GMY Oven Bulb 40 W 300 Degree G9 Halogen Replacement 230 V White Oven Warm Resistant 2 Pack,€6.99,11884,4.6 out of 5 stars,B08XJQV3KW,https://www.amazon.fr/-/en/GMY-G9-Halogen-Replacement-Resistant/dp/B08XJQV3KW/ref=zg_bs_g_appliances_d_sccl_5/523-3724927-0432662?psc=1,5,appliances,fr,0,unknown
1,6,"DL SERVICE Ariston Hotpoint Indesit Dishwasher Cutlery Basket | Dishwasher Cutlery Holder, Replacement Cutlery Basket",€12.90,970,4.1 out of 5 stars,B0CVH183DK,https://www.amazon.fr/-/en/DL-SERVICE-Hotpoint-Dishwasher-Replacement/dp/B0CVH183DK/ref=zg_bs_g_appliances_d_sccl_6/523-3724927-0432662?psc=1,6,appliances,fr,700+,700+ bought
1,7,"YOUYIKE Drain Hose Washing Machine, 0.5/1/1.5/2/2.5/3/4/5/6/7M Drain Hose Extension Universal Drain Hose with Bracket and Clamps for Washing Machine, Dishwasher",€12.99,1349,4.6 out of 5 stars,B0BNBS3D4P,https://www.amazon.fr/-/en/YOUYIKE-Washing-Extension-Universal-Dishwasher/dp/B0BNBS3D4P/ref=zg_bs_g_appliances_d_sccl_7/523-3724927-0432662?psc=1,7,appliances,fr,0,100+ bought
1,8,"4x AquaHouse AH-UIF Compatible Fridge Water Filter for Samsung DA29-10105J, LG 5231JA2010B, Haier 0060823485A (With External Filters Only)",€29.99,3276,4.7 out of 5 stars,B01N3PI736,https://www.amazon.fr/-/en/AquaHouse-Compatible-DA29-10105J-5231JA2010B-0060823485A/dp/B01N3PI736/ref=zg_bs_g_appliances_d_sccl_8/523-3724927-0432662?psc=1,8,appliances,fr,500+,500+ bought
1,9,"Solution Ahead - Universal 2-in-1 Cooker Hood Filter with 2 Separate Filters (Grease + Charcoal) - High Density, French Design, 57 x 47 cm",€11.95,1895,4.6 out of 5 stars,B08WM2R9ZB,https://www.amazon.fr/-/en/Solution-Ahead-Universal-2-1/dp/B08WM2R9ZB/ref=zg_bs_g_appliances_d_sccl_9/523-3724927-0432662?psc=1,9,appliances,fr,0,500+ bought
1,10,"2x AquaHouse AH-UIF Compatible Fridge Water Filter for Samsung DA29-10105J, LG 5231JA2010B, Haier 0060823485A (Replaces External Filters Only)",€19.99,12031,4.6 out of 5 stars,B01N3LBO4J,https://www.amazon.fr/-/en/AquaHouse-Compatible-DA29-10105J-5231JA2010B-0060823485A/dp/B01N3LBO4J/ref=zg_bs_g_appliances_d_sccl_10/523-3724927-0432662?psc=1,10,appliances,fr,0,unknown
1,11,Set of 10 beertender Barrel Tubes for Seb and Krups Beer Pump,€23.79,4216,4.6 out of 5 stars,B00S8I082G,https://www.amazon.fr/-/en/beertender-Barrel-Tubes-Krups-Beer/dp/B00S8I082G/ref=zg_bs_g_appliances_d_sccl_11/523-3724927-0432662?psc=1,11,appliances,fr,0,unknown
1,12,"Anti-Odor Washing Machine Plug, 35-40 mm Anointed Washing Machine Hose, Anti Odor Washing Machine Stopper Drain Hose Sealing Plug, Gasket for Hose (1PCS)",€9.98,487,4.6 out of 5 stars,B0DK5LSFNQ,https://www.amazon.fr/-/en/Anti-Odor-Washing-Machine-Anointed-Stopper/dp/B0DK5LSFNQ/ref=zg_bs_g_appliances_d_sccl_12/523-3724927-0432662?psc=1,12,appliances,fr,0,unknown
1,13,"Today - Universal Activated Carbon Filter for Cooker Hood 40 x 100 cm – Cuttable, Anti-Odour, Retains Grease & Moisture – Italian Safety and Quality",€9.90,287,4.1 out of 5 stars,B0FCC6FJQ4,https://www.amazon.fr/-/en/Today-Universal-Activated-Cuttable-Anti-Odour/dp/B0FCC6FJQ4/ref=zg_bs_g_appliances_d_sccl_13/523-3724927-0432662?psc=1,13,appliances,fr,0,400+ bought
1,14,"Samsung DA29-10105J External Fridge Water Filters, Pack of 2",€46.34,5373,4.7 out of 5 stars,B005LG7R72,https://www.amazon.fr/-/en/Samsung-DA29-10105J-External-Fridge-Filters/dp/B005LG7R72/ref=zg_bs_g_appliances_d_sccl_14/523-3724927-0432662?psc=1,14,appliances,fr,400+,400+ bought
1,15,"Washing Machine Cleaner – Pack of 24 for Deep Cleaning All Year Round Suitable for HE, Top and Front Loading Washing Machines, Removes Odours, Dirt and Build-up",€14.99,2036,4.3 out of 5 stars,B0CTCNVDB6,https://www.amazon.fr/-/en/Washing-Machine-Cleaner-Cleaning-Suitable/dp/B0CTCNVDB6/ref=zg_bs_g_appliances_d_sccl_15/523-3724927-0432662?psc=1,15,appliances,fr,0,400+ bought
1,16,"DL SERVICE Universal Dishwasher Cutlery Basket Compatible with Various Brands (Bosch/Siemens/Rex/Electrolux), Removable Handle, Plastic, 24 x 24 x 23.5 cm",€12.90,249,4.2 out of 5 stars,B0CV18DGH5,https://www.amazon.fr/-/en/DL-SERVICE-Dishwasher-Compatible-Electrolux/dp/B0CV18DGH5/ref=zg_bs_g_appliances_d_sccl_16/523-3724927-0432662?psc=1,16,appliances,fr,300+,300+ bought
1,17,ELICA Carbon Filter CFC0038668,€9.30,1510,4.4 out of 5 stars,B00M1WQAPY,https://www.amazon.fr/-/en/Elica-112553019-Carbon-Filter-CFC0038668/dp/B00M1WQAPY/ref=zg_bs_g_appliances_d_sccl_17/523-3724927-0432662?psc=1,17,appliances,fr,200+,200+ bought
1,18,"C00257140, C00386607 Cutlery Basket Fits Hotpoint, Whirlpool, Indesit 99673-8729 Dishwasher",€16.99,985,4.2 out of 5 stars,B0C9QF8SL2,https://www.amazon.fr/-/en/C00257140-C00386607-Whirlpool-99673-8729-Dishwasher/dp/B0C9QF8SL2/ref=zg_bs_g_appliances_d_sccl_18/523-3724927-0432662?psc=1,18,appliances,fr,400+,400+ bought
1,19,"Liuyife E14 Dimmable Salt Lamp Bulb for Fridge/Refrigerator, Sewing Machine, Microwave, 100LM Warm White 2700K, T22 300 Degree Bulb, Pack of 3",€5.99,380,4.6 out of 5 stars,B0DD1C7MJW,https://www.amazon.fr/-/en/Liuyife-E14-Dimmable-Refrigerator-Microwave/dp/B0DD1C7MJW/ref=zg_bs_g_appliances_d_sccl_19/523-3724927-0432662?psc=1,19,appliances,fr,0,unknown
1,20,FilterBase® Activated Carbon Filter for Extractor Hood | Pack of 2 | Flat Grease Filter + Carbon Filter for Extractor Hood | Cuttable Mat 57 x 47 cm,€20.95,4036,4.6 out of 5 stars,B08W9WPQ3G,https://www.amazon.fr/-/en/FilterBase%C2%AE-Activated-Carbon-Extractor-Cuttable/dp/B08W9WPQ3G/ref=zg_bs_g_appliances_d_sccl_20/523-3724927-0432662?psc=1,20,appliances,fr,0,300+ bought
1,21,no title,€299.99,3004,4.1 out of 5 stars,B0BYHMVWGZ,https://www.amazon.fr/-/en/FBM228NE4DE-Refrigerator-ventilated-reversible-compressor/dp/B0BYHMVWGZ/ref=zg_bs_g_appliances_d_sccl_21/523-3724927-0432662?psc=1,21,appliances,fr,0,unknown
1,22,no title,€289.99,1463,4.1 out of 5 stars,B08DRHRF21,https://www.amazon.fr/-/en/GEDTECH-GLL71200WH-Washing-Machine-Programs/dp/B08DRHRF21/ref=zg_bs_g_appliances_d_sccl_22/523-3724927-0432662?psc=1,22,appliances,fr,50+,50+ bought
1,23,"Diompirux 4 x Black Anti-Vibration Mat for Washing Machine, Noise Cancelling Foot Washing Machine with Rubber Pad, for Washing Machines, Dryer, Furniture, Anti-Vibration Pads",€6.69,632,4.3 out of 5 stars,B0CMNSDXSR,https://www.amazon.fr/-/en/Diompirux-Anti-Vibration-Cancelling-Machines-Furniture/dp/B0CMNSDXSR/ref=zg_bs_g_appliances_d_sccl_23/523-3724927-0432662?psc=1,23,appliances,fr,0,50+ bought
1,24,"GOLDEN ICEPURE RWF1100A Water Filter Replacement for Samsung Aqua Pure Plus DA29-00003G, DA29-00003F, HAFIN1, HAFIN1/EXP, DA29-00003B, DA29-00003A, DA97-06317A, RFC1100A, 2 Pack",€21.99,3149,4.7 out of 5 stars,B07DD8WGKT,https://www.amazon.fr/-/en/GOLDEN-ICEPURE-Replacement-DA29-00003G-DA29-00003F/dp/B07DD8WGKT/ref=zg_bs_g_appliances_d_sccl_24/523-3724927-0432662?psc=1,24,appliances,fr,0,200+ bought
1,25,no title,€7.99,3988,4.5 out of 5 stars,B09QGMBMYT,https://www.amazon.fr/-/en/SCNNC-Dimmable-AC220V-240V-T22-Microwave/dp/B09QGMBMYT/ref=zg_bs_g_appliances_d_sccl_25/523-3724927-0432662?psc=1,25,appliances,fr,200+,200+ bought
