page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number,bought_number_2
1,1,"ARCOL 16662-1 Approved Textile Snow Socks - Two Car Snow Socks, Size XL for R14-R22 (Tyre Measurements Are Detailed Inside) (Nova, XL)",€39.99,4057,4.4 out of 5 stars,B0F3V5QPLW,https://www.amazon.fr/-/en/ARCOL-16662-1-Approved-Textile-Socks/dp/B0F3V5QPLW/ref=zg_bs_g_automotive_d_sccl_1/521-2666508-5190660?psc=1,1,automotive,fr,1K+,1K+ bought
1,2,Goodyear Set of 2 9 mm Metal Snow Chains for Car Size 120 with Automatic Tensioner Goodyear,€29.95,10648,4.3 out of 5 stars,B0776VL2BF,https://www.amazon.fr/-/en/Goodyear-Metal-Chains-Automatic-Tensioner/dp/B0776VL2BF/ref=zg_bs_g_automotive_d_sccl_2/521-2666508-5190660?psc=1,2,automotive,fr,0,800+ bought
1,3,"FACOM 006025 Integral Engine Offset Diesel, Engine Scouring - Cleaning EGR valve, turbo, catalytic converter and particulate filter, 1L",€23.90,14954,4.4 out of 5 stars,B08486T5Y2,https://www.amazon.fr/-/en/006025-Integral-Engine-Offset-Scouring/dp/B08486T5Y2/ref=zg_bs_g_automotive_d_sccl_3/521-2666508-5190660?psc=1,3,automotive,fr,0,2K+ bought
1,4,"Miracase Car Phone Holder [2025 Powerful Suction Cup] Car Phone Holder Dashboard, 360° Rotation Portable Suction Cup for iPhone Compatible with 4-7.2 Inch Smartphone",€14.99,28398,4.4 out of 5 stars,B0DCZMTJ34,https://www.amazon.fr/-/en/Miracase-Powerful-Dashboard-Compatible-Smartphone/dp/B0DCZMTJ34/ref=zg_bs_g_automotive_d_sccl_4/521-2666508-5190660?psc=1,4,automotive,fr,0,3K+ bought
1,5,Oasser Wireless Car Tyre Inflator Mini Portable Air Compressor 150 PSI (10.3 Bar) Fast Inflation Cylinder 17mm Type-C USB Charge with 30cm Hose and Storage Bag,€23.74,3110,4.6 out of 5 stars,B0D3KM6T9T,https://www.amazon.fr/-/en/Oasser-Wireless-Inflator-Compressor-Inflation/dp/B0D3KM6T9T/ref=zg_bs_g_automotive_d_sccl_5/521-2666508-5190660?psc=1,5,automotive,fr,0,2K+ bought
1,6,"Philips Ultinon Access LED headlight bulb (H7), ultra-compact direct-fit, +80%, 6,000K, set of 2",€44.60,6149,4.0 out of 5 stars,B0CHWWLPBC,https://www.amazon.fr/-/en/Philips-Ultinon-headlight-ultra-compact-direct-fit/dp/B0CHWWLPBC/ref=zg_bs_g_automotive_d_sccl_6/521-2666508-5190660?psc=1,6,automotive,fr,0,1K+ bought
1,7,"JDMCAR Car Battery Booster 8000A – 14.8 V Car Battery Starter (up to 9.0 L Gas/8.5 L Diesel), Jump Starter with LED, Booster Smart Clamps, Multiple Protectors for Auto Motorcycle, SUV",€42.99,726,4.7 out of 5 stars,B0FX97FTBC,https://www.amazon.fr/-/en/JDMCAR-Car-Battery-Booster-8000A/dp/B0FX97FTBC/ref=zg_bs_g_automotive_d_sccl_7/521-2666508-5190660?psc=1,7,automotive,fr,0,1K+ bought
1,8,"ACEZUK Car Battery Booster 8000A, Portable Car Battery Starter (up to 8.0L Diesel or 10.0L Gas), 12V Jump Starter, Smart Clamps with Screen, LED Light, QC3.0 Port",€59.99,4864,4.5 out of 5 stars,B0CMQNBRG7,https://www.amazon.fr/-/en/ACEZUK-Battery-Booster-Portable-Starter/dp/B0CMQNBRG7/ref=zg_bs_g_automotive_d_sccl_8/521-2666508-5190660?psc=1,8,automotive,fr,0,1K+ bought
1,9,Goodyear Star Gripper Italian Approved Snow Socks EN 16662-1:2020 Two Fabric Snow Chains for Car Snow Sock Size XL,€56.99,1460,4.6 out of 5 stars,B0CCDLNJPG,https://www.amazon.fr/-/en/Goodyear-Gripper-Italian-Approved-16662-1/dp/B0CCDLNJPG/ref=zg_bs_g_automotive_d_sccl_9/521-2666508-5190660?psc=1,9,automotive,fr,0,1K+ bought
1,10,MICHELIN Easy Grip Evolution composite snow chains EVO 12,€116.68,8564,4.6 out of 5 stars,B074P89B26,https://www.amazon.fr/-/en/MICHELIN-Easy-Evolution-composite-chains/dp/B074P89B26/ref=zg_bs_g_automotive_d_sccl_10/521-2666508-5190660?psc=1,10,automotive,fr,0,400+ bought
