page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number,bought_number_2
1,1,"WaterWipes Sensitive+ Newborn & Baby Wipes, Newborn & Baby Wipes, 540 units (9 packs), 3-in-1 Cleans, Cares, Protects, 99.9% Water, Unscented",€31.99,51717,4.8 out of 5 stars,B08MXT5VDK,https://www.amazon.fr/-/en/WaterWipes-Sensitive-Newborn-Protects-Unscented/dp/B08MXT5VDK/ref=zg_bs_g_baby_d_sccl_1/520-3487328-5134422?psc=1,1,baby,fr,900+,900+ bought
1,2,Imou 2K(3MP) WiFi Surveillance Camera Indoor 360° Smart Camera with Human Detection AI Tracking Two-Way Audio Siren Alexa Compatible for Baby/Pets,€18.99,50014,4.4 out of 5 stars,B08X6DCJT2,https://www.amazon.fr/-/en/Imou-3MP-Surveillance-Detection-Compatible/dp/B08X6DCJT2/ref=zg_bs_g_baby_d_sccl_2/520-3487328-5134422?psc=1,2,baby,fr,5K+,1K+ bought
1,3,"BIOLANE - Baby nappies size 4 - (7-18 kg) - Sensitive skin - Ultra-absorbent, no leakage, dry for up to 12 hours - Comfort & Protection - Pack 1 month 144 nappies - Made in France",€59.90,1770,4.3 out of 5 stars,B0DDXWTS95,https://www.amazon.fr/-/en/BIOLANE-nappies-Sensitive-Ultra-absorbent-Protection/dp/B0DDXWTS95/ref=zg_bs_g_baby_d_sccl_3/520-3487328-5134422?psc=1,3,baby,fr,1K+,1K+ bought
1,4,BIOLANE - Baby Wipes with Water - 225 Wipes - Pack of 3 x 75 - Gentle and Effective Cleaning - From Birth - French Quality,€11.44,2229,4.8 out of 5 stars,B0CZB85KX2,https://www.amazon.fr/-/en/BIOLANE-Gentle-Effective-Cleaning-Quality/dp/B0CZB85KX2/ref=zg_bs_g_baby_d_sccl_4/520-3487328-5134422?psc=1,4,baby,fr,2K+,2K+ bought
1,5,"BIOLANE - Pure H2O Water - Baby Face, Body & Seat Cleanser - Leave-in - 1 bottle -pump 750ml - Made in France",€5.34,5702,4.5 out of 5 stars,B09YMHRJMY,https://www.amazon.fr/-/en/BIOLANE-Cleanser-Leave-bottle-France/dp/B09YMHRJMY/ref=zg_bs_g_baby_d_sccl_5/520-3487328-5134422?psc=1,5,baby,fr,0,4K+ bought
1,6,Philips Avent Natural Response 0% BPA Free Feeding Bottle Teats 5 Flow Rate for Babies 6 Months + (Model SCY965/02),€6.00,6772,4.7 out of 5 stars,B0BWFNW2BB,https://www.amazon.fr/-/en/Philips-Natural-Response-SCY965-02/dp/B0BWFNW2BB/ref=zg_bs_g_baby_d_sccl_6/520-3487328-5134422?psc=1,6,baby,fr,0,2K+ bought
1,7,Philips Avent 60 Disposable Nursing Pads - Day and Night (Model SCF254/61),€7.90,20374,4.6 out of 5 stars,B0788CC2Y1,https://www.amazon.fr/-/en/Philips-Avent-Disposable-Nursing-Pads/dp/B0788CC2Y1/ref=zg_bs_g_baby_d_sccl_7/520-3487328-5134422?psc=1,7,baby,fr,0,3K+ bought
1,8,"1st Expandable Safety Gate Automatic Closing Stair Barrier with Pressure Fastening, Baby Barrier for Dogs, 6 Months to 2 Years, Metal White (Metallic White)",€33.90,52083,4.3 out of 5 stars,B00O50YUHA,https://www.amazon.fr/-/en/1st-Expandable-Safety-Automatic-Fastening/dp/B00O50YUHA/ref=zg_bs_g_baby_d_sccl_8/520-3487328-5134422?psc=1,8,baby,fr,0,1K+ bought
1,9,BIOLANE - Set of 3 Physiological Serum - Baby - Cleans nose and eyes - From birth - Safety round tip - 90 Unidoses - Made in France,€8.97,6796,4.8 out of 5 stars,B09RT26WWG,https://www.amazon.fr/-/en/BIOLANE-Physiological-Cleans-Safety-Unidoses/dp/B09RT26WWG/ref=zg_bs_g_baby_d_sccl_9/520-3487328-5134422?psc=1,9,baby,fr,1K+,1K+ bought
1,10,"Pampers Premium Protection Size 1, 180 Nappies + 10 Harmony Aqua Wipes, 2-5 kg, Double Protection for Skin and Leaks",€30.40,1795,4.4 out of 5 stars,B0FDBGNP3P,https://www.amazon.fr/-/en/Pampers-Premium-Protection-Nappies-Harmony/dp/B0FDBGNP3P/ref=zg_bs_g_baby_d_sccl_10/520-3487328-5134422?psc=1,10,baby,fr,0,2K+ bought
