page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"BIODANCE Bio-Collagen Real Deep Mask, Hydrogel Mask, Pore Minimization, Elasticity Enhancement, Korean Skincare | 1.19 oz (1.19 oz) x 4 pcs",€14.10,30983,4.2 out of 5 stars,B0B2RM68G2,https://www.amazon.fr/-/en/BIODANCE-Bio-Collagen-Minimization-Elasticity-Enhancement/dp/B0B2RM68G2/ref=zg_bs_g_beauty_d_sccl_1/523-3015138-9608409?psc=1,1,beauty,fr,10K+ bought
1,2,"L'Oréal Paris Anti-Aging Eye Contour Cream - Reduces Wrinkles, Puffiness, Swelling and Lack of Firmness of the Eye Contour - All Skin Types - Revitalift Laser Eye Bag Instant Eraser - 15 ml",€19.99,6533,4.3 out of 5 stars,B0F99M3N8L,https://www.amazon.fr/-/en/LOr%C3%A9al-Paris-Anti-Aging-Contour-Cream/dp/B0F99M3N8L/ref=zg_bs_g_beauty_d_sccl_2/523-3015138-9608409?psc=1,2,beauty,fr,2K+ bought
1,3,"Bionoble Huile de Ricin Bio 50ml - Huile Pousse Cheveux, Cils, Sourcils, Barbe et Ongles - Huile Cheveux - 100% Pure et Naturelle - Vegan Castor Oil - Bouteille en Verre + Pipette + Pompe",€9.98,58554,4.4 out of 5 stars,B08D6G78W6,https://www.amazon.fr/-/en/Bionoble-Huile-Ricin-Bio-50ml/dp/B08D6G78W6/ref=zg_bs_g_beauty_d_sccl_3/523-3015138-9608409?psc=1,3,beauty,fr,1K+ bought
1,4,Erborian - Crème Teintée Anti-Rougeur CC Red Correct - Soin du Visage Perfecteur Automatique de Teint avec Correction Colorielle - Teint Unifié - SPF 25 - Cosmétique Coréen,€15.89,7933,4.5 out of 5 stars,B07LGCGG6R,https://www.amazon.fr/-/en/Erborian-Anti-Rougeur-Perfecteur-Automatique-Correction/dp/B07LGCGG6R/ref=zg_bs_g_beauty_d_sccl_4/523-3015138-9608409?psc=1,4,beauty,fr,3K+ bought
1,5,Maybelline New York Intense Volume Unlimited Length Mascara - Formula Enriched with Bamboo and Fiber Extracts - Sky High - Shade : Very Black - 5 ml,€11.34,54419,4.2 out of 5 stars,B08P4YPB8Q,https://www.amazon.fr/-/en/Maybelline-Intense-Unlimited-Length-Mascara/dp/B08P4YPB8Q/ref=zg_bs_g_beauty_d_sccl_5/523-3015138-9608409?psc=1,5,beauty,fr,4K+ bought
1,6,"Luxéol - Growth & Fortification - Food Supplement - Arugula, Horsetail, Zinc, Copper, Selenium, Vitamin B8 & B6 - H/F - Made in France - 3 Month Program - 90 Capsules",€28.90,12724,4.3 out of 5 stars,B07DLX83JM,https://www.amazon.fr/-/en/Lux%C3%A9ol-Fortification-Supplement-Horsetail-Selenium/dp/B07DLX83JM/ref=zg_bs_g_beauty_d_sccl_6/523-3015138-9608409?psc=1,6,beauty,fr,4K+ bought
1,7,"The Ordinary Niacinamide 10% + Zinc 1%, Sérum illuminant et lissant, pour les peaux sujettes aux imperfections, 30 ml",€5.75,47367,4.5 out of 5 stars,B01MDTVZTZ,https://www.amazon.fr/-/en/Ordinary-Niacinamide-Illuminating-Smoothing-Blemish/dp/B01MDTVZTZ/ref=zg_bs_g_beauty_d_sccl_7/523-3015138-9608409?psc=1,7,beauty,fr,6K+ bought
1,8,"CeraVe - Foaming Anti-Blemish Gel - Purifies the Skin & Reduces Imperfections - Salicylic Acid, White Clay, Ceramides & Niacinamide - Acne-prone Skin - 236 ml",€16.55,29520,4.6 out of 5 stars,B0B7RQ46LD,https://www.amazon.fr/-/en/CeraVe-Anti-Blemish-Imperfections-Niacinamide-Acne-prone/dp/B0B7RQ46LD/ref=zg_bs_g_beauty_d_sccl_8/523-3015138-9608409?psc=1,8,beauty,fr,6K+ bought
1,9,REXONA - Clean Scent Women's Deodorant - Anti-perspirant Stick - 3x more effective against perspiration - 96h protection - 45ml,€3.45,22538,4.6 out of 5 stars,B00AI7COA4,https://www.amazon.fr/-/en/REXONA-Deodorant-Anti-perspirant-perspiration-protection/dp/B00AI7COA4/ref=zg_bs_g_beauty_d_sccl_9/523-3015138-9608409?psc=1,9,beauty,fr,3K+ bought
1,10,Franck Provost F. Provost Professional Expert Protection 4-in-1 Rinse-Free Care 230°C 190ml,€4.29,2542,4.5 out of 5 stars,B0CQP9S97Y,https://www.amazon.fr/-/en/Franck-Provost-Professional-Protection-Rinse-Free/dp/B0CQP9S97Y/ref=zg_bs_g_beauty_d_sccl_10/523-3015138-9608409?psc=1,10,beauty,fr,7K+ bought
