page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"Amazon Basics 36 x AAA High Performance Alkaline Batteries, 1.5V, 10 Year Shelf Life",€9.35,1722827,4.6 out of 5 stars,B00LH3DMUO,https://www.amazon.fr/-/en/Amazon-Basics-Performance-Alkaline-Batteries/dp/B00LH3DMUO/ref=zg_bs_g_electronics_d_sccl_1/523-7290611-9378146?psc=1,1,electronics,fr,5K+ bought
1,2,"TOCOL Magnetic Case for iPhone 15 6.1 Inch, Compatible with MagSafe, Enhanced Lens Protection, Translucent Matte Slim Shockproof Case, Black",€9.99,45198,4.5 out of 5 stars,B0DY1C8X92,https://www.amazon.fr/-/en/TOCOL-iPhone-15-Compatible-Translucent/dp/B0DY1C8X92/ref=zg_bs_g_electronics_d_sccl_2/523-7290611-9378146?psc=1,2,electronics,fr,500+ bought
1,3,"DURACELL CR2032 3V Lithium Button Cell Batteries (Pack of 8) - Up to +70% Longevity - Child Safety Technology - Recommended for Apple AirTag - Keys, Home, Sports and Medical Devices",€11.99,170154,4.7 out of 5 stars,B06VW5BH2K,https://www.amazon.fr/-/en/DURACELL-CR2032-Lithium-Button-Batteries/dp/B06VW5BH2K/ref=zg_bs_g_electronics_d_sccl_3/523-7290611-9378146?psc=1,3,electronics,fr,4K+ bought
1,4,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Active Noise Cancelling, Adaptive Audio, Transparency Mode, Customized Space Audio, USB-C Charging Case, Wireless Charging",€149.00,19902,4.6 out of 5 stars,B0DGHYDYJL,https://www.amazon.fr/-/en/Apple-Headphones-Cancelling-Transparency-Customized/dp/B0DGHYDYJL/ref=zg_bs_g_electronics_d_sccl_4/523-7290611-9378146?psc=1,4,electronics,fr,2K+ bought
1,5,"NEW'C Set of 4, 2 x Tempered Glass for iPhone 16 (6.1 Inches) and 2 x Rear Camera Protection – Scratch-Resistant – Bubble-Free – Ultra Resistant – 9H Hardness Glass",€6.76,54125,4.4 out of 5 stars,B0DJSYX4JG,https://www.amazon.fr/-/en/NEWC-Tempered-16-6-1-Protection/dp/B0DJSYX4JG/ref=zg_bs_g_electronics_d_sccl_5/523-7290611-9378146?psc=1,5,electronics,fr,2K+ bought
1,6,Apple EarPods (USB-C),€16.32,21087,4.6 out of 5 stars,B0DCNWN8NZ,https://www.amazon.fr/-/en/Apple-MYQY3ZM-A-EarPods-USB-C/dp/B0DCNWN8NZ/ref=zg_bs_g_electronics_d_sccl_6/523-7290611-9378146?psc=1,6,electronics,fr,5K+ bought
1,7,TAURI Magnetic Case for iPhone 15 [Military Protection] with Tempered Glass Screen Protector [Compatible with MagSafe] - Slim 6.1 Inch Case - Transparent,€9.99,106217,4.5 out of 5 stars,B0DMT42CFL,https://www.amazon.fr/-/en/TAURI-iPhone-15-Protection-Compatible/dp/B0DMT42CFL/ref=zg_bs_g_electronics_d_sccl_7/523-7290611-9378146?psc=1,7,electronics,fr,1K+ bought
1,8,"Amazon Fire TV Stick HD, free and live TV, Alexa Voice Remote, smart home controls, HD streaming",€44.99,52986,4.6 out of 5 stars,B0CQMWQDH4,https://www.amazon.fr/-/en/Amazon-Stick-Remote-controls-streaming/dp/B0CQMWQDH4/ref=zg_bs_g_electronics_d_sccl_8/523-7290611-9378146?psc=1,8,electronics,fr,5K+ bought
1,9,"TOCOL Tempered Glass for iPhone 17 Pro Max, iPhone 16 Pro Max, Automatic Dusting Bubble-Free, 9H Hardness, Full Coverage Screen Protector, Compatible Phone Cases, 2 Pieces",€11.99,46238,4.4 out of 5 stars,B0D8SV9TCT,https://www.amazon.fr/-/en/TOCOL-iPhone-Pro-Max-Bubble-Free/dp/B0D8SV9TCT/ref=zg_bs_g_electronics_d_sccl_9/523-7290611-9378146?psc=1,9,electronics,fr,1K+ bought
1,10,Amazon Basics 6 x CR2032 Lithium Coin Cell Battery 3V Long Life Power Mercury Free,€4.80,55595,4.6 out of 5 stars,B08J4QR18R,https://www.amazon.fr/-/en/Amazon-Basics-Lithium-Battery-Mercury/dp/B08J4QR18R/ref=zg_bs_g_electronics_d_sccl_10/523-7290611-9378146?psc=1,10,electronics,fr,4K+ bought
