page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"Fullluwaa - Pack of 10 Men's Boxer Shorts Cotton, Comfortable and Soft - Fitted, Ultra Elastic Waistband - Soft",€27.06,2872.0,4.6 out of 5 stars,B0D9Q8J45B,https://www.amazon.fr/-/en/Fullluwaa-Comfortable-Elastic-Waistband-Multicolored/dp/B0D9Q8J45B/ref=zg_bs_g_fashion_d_sccl_1/523-8476718-5824612?psc=1,1,fashion,fr,800+ bought
1,2,DIM Homme – Chaussettes Ecodim x5 | Talons & Pointes Renforcés | Coton Doux Maille Fine | Confort Quotidien,€10.50,12314.0,4.4 out of 5 stars,B01K5NBVB8,https://www.amazon.fr/-/en/EcoDim-Reinforced-Socks-Black-11-Sep/dp/B01K5NBVB8/ref=zg_bs_g_fashion_d_sccl_2/523-8476718-5824612?psc=1,2,fashion,fr,2K+ bought
1,3,"SOXCO Work socks men 10 pairs, work socks pack of 10 pairs",€14.99,22364.0,4.6 out of 5 stars,B0C66VQDFC,https://www.amazon.fr/-/en/SOXCO-Work-socks-9-11-pairs/dp/B0C66VQDFC/ref=zg_bs_g_fashion_d_sccl_3/523-8476718-5824612?psc=1,3,fashion,fr,1K+ bought
1,4,"Baranne - Impermeabilising Stains and Rain for All Genuine Leather - Shoe Waterproofing - Fabric, Textile, Suede - Preserves Material Flexibility - Spray - 200 ml",€2.99,1314.0,4.6 out of 5 stars,B0CZ4HJ6VQ,https://www.amazon.fr/-/en/Baranne-Impermeabilising-Waterproofing-Preserves-Flexibility/dp/B0CZ4HJ6VQ/ref=zg_bs_g_fashion_d_sccl_4/523-8476718-5824612?psc=1,4,fashion,fr,4K+ bought
1,5,"Blendura Portable Digital Luggage Scales, Travel Suitcase Scales with Tare Function, Maximum Capacity 50 kg/110 lb for Travel",€6.99,2708.0,4.6 out of 5 stars,B0DFGF6R1Y,https://www.amazon.fr/-/en/Blendura-Portable-Suitcase-Function-Capacity/dp/B0DFGF6R1Y/ref=zg_bs_g_fashion_d_sccl_5/523-8476718-5824612?psc=1,5,fashion,fr,3K+ bought
1,6,"KLOSTAIN Luggage Cabin for Easyjet Ryanair Backpack Travel Cabin Airplane Hand Luggage Laptop Backpack, Black, Minimalistic",€31.99,6217.0,4.6 out of 5 stars,B0CY1ZSQZ5,https://www.amazon.fr/-/en/KLOSTAIN-Luggage-Backpack-Airplane-Minimalistic/dp/B0CY1ZSQZ5/ref=zg_bs_g_fashion_d_sccl_6/523-8476718-5824612?psc=1,6,fashion,fr,900+ bought
1,7,FM London 3/5 Pack Men's T-Shirts - Premium Quality T-Shirts with Slightly Fitted Design,€25.39,8256.0,4.5 out of 5 stars,B0C5D6ZDFZ,https://www.amazon.fr/-/en/FM-London-Pack-Mens-T-Shirts/dp/B0C5D6ZDFZ/ref=zg_bs_g_fashion_d_sccl_7/523-8476718-5824612?psc=1,7,fashion,fr,200+ bought
1,8,"VSUDO Flat Shoe Laces for Sneakers, Flat Shoe Laces for Sneakers - Economical, 8 mm Wide, 29 Colours 14 Lengths to Choose From",€6.59,22040.0,4.6 out of 5 stars,B09HC76T8W,https://www.amazon.fr/-/en/VSUDO-Flat-White-Shoelaces-Sneakers/dp/B09HC76T8W/ref=zg_bs_g_fashion_d_sccl_8/523-8476718-5824612?psc=1,8,fashion,fr,100+ bought
1,9,"Eastpak Padded Pak'R Backpack, 40 cm, 24 L, Black",€34.99,66509.0,4.7 out of 5 stars,B000CRBEJ2,https://www.amazon.fr/-/en/Eastpak-Padded-PakR-Backpack-Black/dp/B000CRBEJ2/ref=zg_bs_g_fashion_d_sccl_9/523-8476718-5824612?psc=1,9,fashion,fr,1K+ bought
1,10,Leonie & Co Women's Original Anti-Cellulite Leggings 3D Compression Anti-Cellulite Leggings Slimming High Waist Seamless Sports Yoga Fitness Push-Up Sculpting Leggings,€29.95,415.0,4.0 out of 5 stars,B0DXPXRMRD,https://www.amazon.fr/-/en/Original-Anti-Cellulite-Leggings-Compression-Sculpting/dp/B0DXPXRMRD/ref=zg_bs_g_fashion_d_sccl_10/523-8476718-5824612?psc=1,10,fashion,fr,800+ bought
