page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"Pictalia - Personalised Frame, Grandmother's Day Gift, Personalised Granny Gift, Grandma Frame, Grandmother's Day, A4, A3, A2, Personalised Text",€24.90,4.0,5.0 out of 5 stars,B0FNWR3GJ7,https://www.amazon.fr/-/en/Pictalia-Personalised-Grandmothers-Granny-Grandma/dp/B0FNWR3GJ7/ref=zg_bs_g_handmade_d_sccl_1/520-1801314-7172713?psc=1,1,handmade,fr,200+ bought
1,2,320 ml Conical Ceramic Mug with Flower Crown - Happy Birthday Granny Personalised - Grandmother's Day Gift - Unique Gift with Grandchildren's Names,€14.99,11.0,4.8 out of 5 stars,B0DX2BPV5F,https://www.amazon.fr/-/en/Conical-Ceramic-Flower-Crown-Grandchildrens/dp/B0DX2BPV5F/ref=zg_bs_g_handmade_d_sccl_2/520-1801314-7172713?psc=1,2,handmade,fr,50+ bought
1,3,CUBIBOO Art Wooden 18th Birthday Card with Stand – 18th Birthday Decoration Boy Girl,€9.95,465.0,4.4 out of 5 stars,B0DS98THTJ,https://www.amazon.fr/-/en/CUBIBOO-Wooden-18th-Birthday-Stand/dp/B0DS98THTJ/ref=zg_bs_g_handmade_d_sccl_3/520-1801314-7172713?psc=1,3,handmade,fr,100+ bought
1,4,"Personalised Pregnancy Announcement Socks – Original Baby Gift 2025/2026 – Surprise Message to Future Grandma, Grandma, Godmother – (Hello I Arrive in 2026 – Amazon Shipping)",€8.80,31.0,4.8 out of 5 stars,B0F8RDSPGM,https://www.amazon.fr/-/en/Personalised-Pregnancy-Announcement-Socks-Godmother/dp/B0F8RDSPGM/ref=zg_bs_g_handmade_d_sccl_4/520-1801314-7172713?psc=1,4,handmade,fr,100+ bought
1,5,"VERTIGE Howlite Lithotherapy Bracelet, 8 mm Mineral Stones, Source of Psychic and Physical Well-Being, Provides Tranquility and Lucidity, Helps Channel Stress, Women/Men Bracelet",€14.99,329.0,4.3 out of 5 stars,B0D2349C2D,https://www.amazon.fr/-/en/Lithotherapy-Bracelet-Physical-Well-Being-Tranquility/dp/B0D2349C2D/ref=zg_bs_g_handmade_d_sccl_5/520-1801314-7172713?psc=1,5,handmade,fr,0
1,6,Cute Symbols Address Holder Medal Memorials Dog Cat with Customisable Engraving Case for Tag Harness Collar S Puppy Engraved Accessories Stainless Steel Charm,€6.14,1113.0,4.8 out of 5 stars,B0D1ZBBXJL,https://www.amazon.fr/-/en/Memorials-Customisable-Engraving-Accessories-Stainless/dp/B0D1ZBBXJL/ref=zg_bs_g_handmade_d_sccl_6/520-1801314-7172713?psc=1,6,handmade,fr,50+ bought
1,7,"Lueaurra Ideal gift for women, natural stone bracelet, original gift for teenage daughter, Christmas gifts, birthday gift, bracelet gift for friend, mother, sister, mistress",€9.99,282.0,4.7 out of 5 stars,B0DYF6F11H,https://www.amazon.fr/-/en/Lueaurra-bracelet-original-daughter-Christmas/dp/B0DYF6F11H/ref=zg_bs_g_handmade_d_sccl_7/520-1801314-7172713?psc=1,7,handmade,fr,200+ bought
1,8,"6 Scratch Cards Pregnancy Announcement | Baby Announcement Arrives Soon | Granny Grandpa, Tonton Tata | Grandparents Announcement Dad | Scratch Game Ticket (6 Pregnancy Announcement Cards)",€9.90,442.0,4.6 out of 5 stars,B0777JBLTN,https://www.amazon.fr/-/en/Scratch-Pregnancy-Announcement-Arrives-Grandparents/dp/B0777JBLTN/ref=zg_bs_g_handmade_d_sccl_8/520-1801314-7172713?psc=1,8,handmade,fr,100+ bought
1,9,"Personalised Wall Stickers with Name or Text Premium Vinyl Easy to Apply Wall Sticker Ideal for Children's Bedroom, Living Room, Door, Car, Motorcycle, 20 to 60 cm - 17 Colours to Choose From",€2.50,151.0,4.3 out of 5 stars,B0CST7TF19,https://www.amazon.fr/-/en/Personalised-Stickers-Premium-Childrens-Motorcycle/dp/B0CST7TF19/ref=zg_bs_g_handmade_d_sccl_9/520-1801314-7172713?psc=1,9,handmade,fr,100+ bought
1,10,Personalised Wooden Rose with Engraved Hearts - Eternal Flower - Mother's Day Gift and Grandma - ATSEM Maîtress Nanny - Handmade,€18.80,10.0,4.1 out of 5 stars,B0DD4FDCD3,https://www.amazon.fr/-/en/Personalised-Wooden-Rose-Engraved-Hearts/dp/B0DD4FDCD3/ref=zg_bs_g_handmade_d_sccl_10/520-1801314-7172713?psc=1,10,handmade,fr,0
