page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"Magnesium Bisglycinate + Vitamin B6 - Sleep, Stress, Fatigue - Maximum Absorption & Easy Assimilation - 90 Vegan Capsules - Nutrimea - Made in France",€19.99,9497,4.5 out of 5 stars,B07LH7GDT8,https://www.amazon.fr/-/en/Magnesium-Bisglycinate-Vitamin-Absorption-Assimilation/dp/B07LH7GDT8/ref=zg_bs_g_hpc_d_sccl_1/520-5812042-1566322?psc=1,1,hpc,fr,9K+ bought
1,2,"Marine Collagen + Hyaluronic Acid, Hydrated Skin and Strong Joints, 2 Months Cure, 120 Capsules, Hydrolyzed Collagen Type 1 Naticol®, With Vitamin C, Made in France, by Novoma",€17.07,11808,4.4 out of 5 stars,B0BZJ9W4LW,https://www.amazon.fr/-/en/Collagen-Hyaluronic-Hydrated-Capsules-Hydrolyzed/dp/B0BZJ9W4LW/ref=zg_bs_g_hpc_d_sccl_2/520-5812042-1566322?psc=1,2,hpc,fr,5K+ bought
1,3,Philips OneBlade Anti-Friction Razor Blade 1 Unit,€11.19,4815,4.7 out of 5 stars,B0CVXTWZBN,https://www.amazon.fr/-/en/Philips-OneBlade-Anti-Friction-Razor-Blade/dp/B0CVXTWZBN/ref=zg_bs_g_hpc_d_sccl_3/520-5812042-1566322?psc=1,3,hpc,fr,4K+ bought
1,4,"Bulk Pure Whey Protein Powder, Vanilla, 23g Protein 5g BCAA Portion, Whey Shake, Low Sugar, Promotes Growth and Muscle Recovery, Easy Blend, 1kg",€25.99,25806,4.2 out of 5 stars,B00HF63AYA,https://www.amazon.fr/-/en/Protein-Vanilla-Portion-Promotes-Recovery/dp/B00HF63AYA/ref=zg_bs_g_hpc_d_sccl_4/520-5812042-1566322?psc=1,4,hpc,fr,2K+ bought
1,5,Alpine SleepDeep Ear Plugs for Sleeping – New Oval Shape – Built-in Noise Cancelling Gel – Comfort and Max Attenuation – Noise Cancelling Plugs with Soft Filters (Size S + M/L),€17.95,23357,4.0 out of 5 stars,B0B3F23QK2,https://www.amazon.fr/-/en/Alpine-SleepDeep-Plugs-Sleeping-Built/dp/B0B3F23QK2/ref=zg_bs_g_hpc_d_sccl_5/520-5812042-1566322?psc=1,5,hpc,fr,1K+ bought
1,6,"Bulk Creatine Monohydrate Powder 500g | 147 Servings | Pure Micronized Creatine | Unflavored | Vegan & Halal | Ideal for Fitness, Training & Gym | Easy to Dissolve",€14.34,10958,4.5 out of 5 stars,B00SP2ZKW8,https://www.amazon.fr/-/en/Bulk-Creatine-Monohydrate-Micronized-Unflavored/dp/B00SP2ZKW8/ref=zg_bs_g_hpc_d_sccl_6/520-5812042-1566322?psc=1,6,hpc,fr,2K+ bought
1,7,"by Amazon Chia Seeds, 350 g",€3.80,5793,4.6 out of 5 stars,B0CCTYMCFS,https://www.amazon.fr/-/en/Amazon-Chia-Seeds-350/dp/B0CCTYMCFS/ref=zg_bs_g_hpc_d_sccl_7/520-5812042-1566322?psc=1,7,hpc,fr,3K+ bought
1,8,"HYDRATIS - Pastilles Effervescentes Fruits des Bois - Optimise l'Hydratation - Riche en Minéraux - Faible en Sucre - Goûts Légers - Sport, Crampes, Récupération - 20 Pastilles",€8.79,3218,4.2 out of 5 stars,B084JK8FYZ,https://www.amazon.fr/-/en/HYDRATIS-Pastilles-Effervescentes-lHydratation-R%C3%A9cup%C3%A9ration/dp/B084JK8FYZ/ref=zg_bs_g_hpc_d_sccl_8/520-5812042-1566322?psc=1,8,hpc,fr,1K+ bought
1,9,OMRON X2 Basic Clinically Validated Automatic Blood Pressure Monitor with Irregular Heart Pulse Detection and Cuff Winding Guide | Arm Blood Pressure Monitor,€19.99,45800,4.6 out of 5 stars,B08NXBRYFJ,https://www.amazon.fr/-/en/Clinically-Validated-Automatic-Irregular-Detection/dp/B08NXBRYFJ/ref=zg_bs_g_hpc_d_sccl_9/520-5812042-1566322?psc=1,9,hpc,fr,500+ bought
1,10,"Oral-B Vitality Pro Electric Toothbrush, Blue, 1 2D Cleaning Brush, Removes Dental Plaque, 3 Brushing Modes, Timer, Rechargeable",€30.13,30121,4.4 out of 5 stars,B0C6MF8SRS,https://www.amazon.fr/-/en/Oral-B-Vitality-Electric-Toothbrush-Rechargeable/dp/B0C6MF8SRS/ref=zg_bs_g_hpc_d_sccl_10/520-5812042-1566322?psc=1,10,hpc,fr,4K+ bought
1,11,"The Breath Co. - Alcohol-free mouthwash - Dentist-developed formula - Fresh breath for 12 hours* - Frosted mint, 500ml",€8.41,1070,4.4 out of 5 stars,B0C4TQD86J,https://www.amazon.fr/-/en/Breath-Co-Alcohol-free-mouthwash-Dentist-developed/dp/B0C4TQD86J/ref=zg_bs_g_hpc_d_sccl_11/520-5812042-1566322?psc=1,11,hpc,fr,1K+ bought
1,12,"Healthkeep Digital Bathroom Scales, High Precision with Luminous Display, Step-On Technology 5 mm Tempered Glass, High Accuracy at 180 kg/ 400 lbs",€12.99,8358,4.5 out of 5 stars,B0CGZL2GS8,https://www.amazon.fr/-/en/Healthkeep-Bathroom-Precision-Luminous-Technology/dp/B0CGZL2GS8/ref=zg_bs_g_hpc_d_sccl_12/520-5812042-1566322?psc=1,12,hpc,fr,3K+ bought
1,13,"NOVOMA Magnesium Bisglycinate + Taurine & Vitamin B6, High Content 300mg /day, 120 capsules, Fights Fatigue and Stress, Better Absorbed than Magnesium Marin, Made in France",€20.48,4080,4.5 out of 5 stars,B07DFTD7BW,https://www.amazon.fr/-/en/NOVOMA-Magnesium-Bisglycinate-capsules-Absorbed/dp/B07DFTD7BW/ref=zg_bs_g_hpc_d_sccl_13/520-5812042-1566322?psc=1,13,hpc,fr,3K+ bought
1,14,Tiger Balm Red 30g (Pain Relief),€11.73,12200,4.7 out of 5 stars,B00617FILW,https://www.amazon.fr/-/en/Tiger-Balm-Red-Pain-Relief/dp/B00617FILW/ref=zg_bs_g_hpc_d_sccl_14/520-5812042-1566322?psc=1,14,hpc,fr,3K+ bought
1,15,"Marvis Whitening Toothpaste, Mint, 85 ml, Promotes Natural Teeth Whitening, Antiplaque Toothpaste, Long-lasting Freshness",€8.90,12392,4.2 out of 5 stars,B074CD9FMH,https://www.amazon.fr/-/en/Marvis-Whitening-Toothpaste-Antiplaque-Long-lasting/dp/B074CD9FMH/ref=zg_bs_g_hpc_d_sccl_15/520-5812042-1566322?psc=1,15,hpc,fr,1K+ bought
1,16,"2026 Innovative Night Mask for Men and Women, Light Blocking Sleep Mask Design for Sleeping, Naps, Meditation, Travel (Black)",€8.49,13556,4.6 out of 5 stars,B09JS56L1T,https://www.amazon.fr/-/en/Innovative-Blocking-Design-Sleeping-Meditation/dp/B09JS56L1T/ref=zg_bs_g_hpc_d_sccl_16/520-5812042-1566322?psc=1,16,hpc,fr,2K+ bought
1,17,Creatine 100% Pure Creatine Monohydrate Creapure Muscle & Strength Gaining Men Bodybuilding Ideal Whey Protein Supplement Nutrimuscle 120 Capsules,€21.85,1563,4.6 out of 5 stars,B08NXT5Z9V,https://www.amazon.fr/-/en/Creatine-Monohydrate-Bodybuilding-Supplement-Nutrimuscle/dp/B08NXT5Z9V/ref=zg_bs_g_hpc_d_sccl_17/520-5812042-1566322?psc=1,17,hpc,fr,2K+ bought
1,18,GRANIONS - Melatonin Sleep Gummies 1.9 mg - MELATONIN GUMMIES 2 MONTH FORMAT - Adult Sleep Supplement - Melatonin 1.9 mg - Vegan - Sugar Free - 60 Gummies,€8.89,819,4.4 out of 5 stars,B0CL9M1SSF,https://www.amazon.fr/GRANIONS-Melatonin-Gummies-MELATONIN-Supplement/dp/B0CL9M1SSF/ref=zg_bs_g_hpc_d_sccl_18/520-5812042-1566322?psc=1,18,hpc,fr,3K+ bought
1,19,"Philips Genuine OneBlade 360 - lames de rechange, pour rasoir/tondeuse électrique OneBlade, lot de 4, modèle QP440/50",€30.90,25756,4.7 out of 5 stars,B0CVXSK4D3,https://www.amazon.fr/-/en/Philips-Genuine-OneBlade-360-%C3%A9lectrique/dp/B0CVXSK4D3/ref=zg_bs_g_hpc_d_sccl_19/520-5812042-1566322?psc=1,19,hpc,fr,600+ bought
1,20,"Renpho Bluetooth Corps Fat Pesé Scale avec Smarttéléphone App, Noir",€25.49,349520,4.5 out of 5 stars,B01N1UX8RW,https://www.amazon.fr/-/en/Renpho-Bluetooth-Corps-Scale-Smartt%C3%A9l%C3%A9phone/dp/B01N1UX8RW/ref=zg_bs_g_hpc_d_sccl_20/520-5812042-1566322?psc=1,20,hpc,fr,2K+ bought
1,21,"MARINE COLLAGENE - Type 1 PATENTED Pure and Natural - Vitamins A, C & E Plant-based - Nutrimea - Skin Hydration - Protects Bones and Joints - 900 mg - 90 Capsules - Made in France",€15.41,6872,4.3 out of 5 stars,B08KDQZF5L,https://www.amazon.fr/-/en/MARINE-COLLAGENE-PATENTED-Plant-based-Hydration/dp/B08KDQZF5L/ref=zg_bs_g_hpc_d_sccl_21/520-5812042-1566322?psc=1,21,hpc,fr,2K+ bought
1,22,My Variations ® - Pack of 3 My Variations Sonic Toothbrush Heads - White,€17.99,1506,4.7 out of 5 stars,B09V885MH7,https://www.amazon.fr/-/en/My-Variations-Sonic-Toothbrush-Heads/dp/B09V885MH7/ref=zg_bs_g_hpc_d_sccl_22/520-5812042-1566322?psc=1,22,hpc,fr,2K+ bought
1,23,"PHYSIODOSE Physiological Serum – 1 Box of 40 Unidoses 5 ml – Nose and Eye Hygiene, Ideal Supplement to Baby Fly, Nasal Syringe and Nose Pipette",€2.69,15355,4.8 out of 5 stars,B00IGBSTM6,https://www.amazon.fr/-/en/PHYSIODOSE-Physiological-Serum-Unidoses-Supplement/dp/B00IGBSTM6/ref=zg_bs_g_hpc_d_sccl_23/520-5812042-1566322?psc=1,23,hpc,fr,3K+ bought
1,24,"Philips Multigroom 3000 Series All-in-One Clipper 9 Accessories - Beard Trimmer Hair & Body Trimmer, Skin-Friendly Self-Sharpening Blades, 12 Cutting Heights, Model MG3946/15",€29.99,3498,4.3 out of 5 stars,B0FDL1XP3J,https://www.amazon.fr/-/en/Philips-Multigroom-3000-Clipper-Accessories/dp/B0FDL1XP3J/ref=zg_bs_g_hpc_d_sccl_24/520-5812042-1566322?psc=1,24,hpc,fr,400+ bought
1,25,"Omega 3 Fish Oil Capsules 2000mg, 240 Capsules for 4 Months - with EPA 660mg & DHA 440mg, Fish Oil Omega 3 Odourless, According to EFSA, EPA and DHA Contribute to Normal Heart Functioning",€19.49,18633,4.5 out of 5 stars,B084G5XC29,https://www.amazon.fr/-/en/Omega-Fish-Capsules-2000mg-Months/dp/B084G5XC29/ref=zg_bs_g_hpc_d_sccl_25/520-5812042-1566322?psc=1,25,hpc,fr,3K+ bought
1,26,Magnesium Bisglycinate 360 MG - GRANIONS - Strong Dosage Magnesium + Vitamin B6 - Adult Stress Relief - Bisglycinate 360 MG - Stress Fatigue - 60 Tablets - Made in France,€11.98,1335,4.4 out of 5 stars,B08TSNMJZQ,https://www.amazon.fr/-/en/Magnesium-Bisglycinate-360-MG-GRANIONS/dp/B08TSNMJZQ/ref=zg_bs_g_hpc_d_sccl_26/520-5812042-1566322?psc=1,26,hpc,fr,2K+ bought
1,27,Braun ThermoScan 7 Ear Thermometer | Age Precision Technology | Colour Coded Digital Display | Baby & Infant Friendly | #1 Doctor Brand(1),€40.84,65575,4.6 out of 5 stars,B00NVMIO02,https://www.amazon.fr/-/en/Braun-ThermoScan-Thermometer-Precision-Technology/dp/B00NVMIO02/ref=zg_bs_g_hpc_d_sccl_27/520-5812042-1566322?psc=1,27,hpc,fr,1K+ bought
1,28,"Forté Pharma - Melatonin 1900 Flash | Melatonin 1.9 mg max dosage, Fast Acting | Adult Sleep Supplement - For sleep, jet lag, jetlag | 30 orodispersible tablets",€7.85,5968,4.2 out of 5 stars,B07HL5TGKR,https://www.amazon.fr/-/en/Fort%C3%A9-Pharma-Melatonin-Supplement-orodispersible/dp/B07HL5TGKR/ref=zg_bs_g_hpc_d_sccl_28/520-5812042-1566322?psc=1,28,hpc,fr,2K+ bought
1,29,"Omega 3 Fish Oil 1000mg, Pure and Concentrated, Omega 3 EPA DHA, Heart Health & Vision, 1 Month Cure, Made in France, Essentials by Novoma",€9.47,1327,4.6 out of 5 stars,B0BN26L6WL,https://www.amazon.fr/-/en/1000mg-Concentrated-Health-Vision-Essentials/dp/B0BN26L6WL/ref=zg_bs_g_hpc_d_sccl_29/520-5812042-1566322?psc=1,29,hpc,fr,1K+ bought
1,30,"Nana Ultra Regular Plus Sanitary Towels With Wings, 80g",€1.94,1738,4.7 out of 5 stars,B09WB51HZS,https://www.amazon.fr/-/en/Ultra-Regular-Sanitary-Towels-Wings/dp/B09WB51HZS/ref=zg_bs_g_hpc_d_sccl_30/520-5812042-1566322?psc=1,30,hpc,fr,600+ bought
1,31,Colourless Antiseptic Spray - Cleanses the skin without pain and does not sting - Ensures perfect skin hygiene - Alcohol-free - Colourless - 100 ml,€11.63,4310,4.7 out of 5 stars,B001AO2MNS,https://www.amazon.fr/-/en/Colourless-Antiseptic-Spray-Cleanses-Alcohol-free/dp/B001AO2MNS/ref=zg_bs_g_hpc_d_sccl_31/520-5812042-1566322?psc=1,31,hpc,fr,2K+ bought
1,32,"Optimum Nutrition Micronized Creatine Powder, Flavourless, 634 g, 186 Doses",€30.99,32127,4.5 out of 5 stars,B00T7L20EC,https://www.amazon.fr/-/en/Optimum-Nutrition-Micronized-Creatine-Flavourless/dp/B00T7L20EC/ref=zg_bs_g_hpc_d_sccl_32/520-5812042-1566322?psc=1,32,hpc,fr,1K+ bought
1,33,POUXIT - Flash - Anti-lice and nits spray lotion - 100% Effective - Works in 1 application in just 5 minutes - Easy rinsing - Scalp treatment - 150ml,€22.90,2287,4.6 out of 5 stars,B09DWJP34Y,https://www.amazon.fr/-/en/POUXIT-Anti-lice-Effective-application-treatment/dp/B09DWJP34Y/ref=zg_bs_g_hpc_d_sccl_33/520-5812042-1566322?psc=1,33,hpc,fr,2K+ bought
1,34,"Biotin with Selenium and Zinc, Accelerates Hair Growth, 2 Months Cure, 60 Vegetable Capsules, Vitamin B8 Food Supplement, Made in France, Essentials by Novoma",€9.47,3573,4.4 out of 5 stars,B0B6D1Z564,https://www.amazon.fr/-/en/Selenium-Accelerates-Vegetable-Supplement-Essentials/dp/B0B6D1Z564/ref=zg_bs_g_hpc_d_sccl_34/520-5812042-1566322?psc=1,34,hpc,fr,2K+ bought
1,35,"Whey Protein - Vanilla - EAFIT - French Brand No. 1 in Sports Nutrition - 31g Whey Protein - BCAA - Shaker Protein - Pre Workout, Bodybuilding - Whey Proteins - 750 g",€23.99,2492,4.4 out of 5 stars,B07CZRPZDK,https://www.amazon.fr/-/en/Whey-Protein-Nutrition-Bodybuilding-Proteins/dp/B07CZRPZDK/ref=zg_bs_g_hpc_d_sccl_35/520-5812042-1566322?psc=1,35,hpc,fr,800+ bought
1,36,"Powerful Burner, Formula with Guarana, Green Tea & Konjac, Support for Metabolism and Weight Control, 1 Month Cure, 60 Capsules, Made in France, Essentials by Novoma",€9.47,1276,3.8 out of 5 stars,B0DPKZ252X,https://www.amazon.fr/-/en/Powerful-Formula-Metabolism-Capsules-Essentials/dp/B0DPKZ252X/ref=zg_bs_g_hpc_d_sccl_36/520-5812042-1566322?psc=1,36,hpc,fr,700+ bought
1,37,"Parodontax Toothpaste Protection Fluoride, For Sensitive Teeth, Removes Dental Plaque, Pack of 2 x 75 ml",€8.88,1363,4.7 out of 5 stars,B00JBA7HGU,https://www.amazon.fr/-/en/Parodontax-Toothpaste-Protection-Fluoride-Sensitive/dp/B00JBA7HGU/ref=zg_bs_g_hpc_d_sccl_37/520-5812042-1566322?psc=1,37,hpc,fr,2K+ bought
1,38,"GPZON Professional Electronic Upper Arm Blood Pressure Monitor, Adjustable Cuff 22cm-42cm, Memory 2x120, White",€19.99,7339,4.4 out of 5 stars,B08FCHQXHV,https://www.amazon.fr/-/en/GPZON-Professional-Electronic-Adjustable-22cm-42cm/dp/B08FCHQXHV/ref=zg_bs_g_hpc_d_sccl_38/520-5812042-1566322?psc=1,38,hpc,fr,2K+ bought
