page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"EQM ECO-301 99.9% Pure Isopropyl Alcohol 1L Cleaning of Electronic Components, Lenses and Screens - Cleaning of 3D Printing Resins",€7.79,15020,4.7 out of 5 stars,B07SH9FY7G,https://www.amazon.fr/-/en/EQM-ECO-301-Isopropyl-Electronic-Components/dp/B07SH9FY7G/ref=zg_bs_g_industrial_d_sccl_1/523-4001745-1538209?psc=1,1,industrial,fr,0
1,2,Urgo - Cotton squares - Ultra-soft Absorbent - OEKO-TEX certified quality cotton unbleached - 180 units,€3.39,3965,4.6 out of 5 stars,B07QN7C7SH,https://www.amazon.fr/-/en/Urgo-Ultra-soft-Absorbent-certified-unbleached/dp/B07QN7C7SH/ref=zg_bs_g_industrial_d_sccl_2/523-4001745-1538209?psc=1,2,industrial,fr,5K+ bought
1,3,Ouragan Thick Gel Plunger 15 Minutes 1 L,€2.72,2471,4.5 out of 5 stars,B008MT0CVS,https://www.amazon.fr/-/en/Ouragan-Thick-Gel-Plunger-Minutes/dp/B008MT0CVS/ref=zg_bs_g_industrial_d_sccl_3/523-4001745-1538209?psc=1,3,industrial,fr,4K+ bought
1,4,"eSUN PLA Filament 1.75 mm, PLA Basic Dimensional Accuracy +/- 0.05 mm, 1kg Spool (2.2 LBS) Fast PLA Filament for 3D Printers, Black",€17.99,7498,4.2 out of 5 stars,B0CR1DBBFN,https://www.amazon.fr/-/en/eSUN-Filament-Dimensional-Accuracy-Printers/dp/B0CR1DBBFN/ref=zg_bs_g_industrial_d_sccl_4/523-4001745-1538209?psc=1,4,industrial,fr,1K+ bought
1,5,Urgo - Sterile compresses - Non-woven - Box of 50 bags of 2 compresses - 7.5 cm x 7.5 cm,€4.33,2019,4.8 out of 5 stars,B00CJYJ4NE,https://www.amazon.fr/-/en/Urgo-Sterile-compresses-Non-woven-bags/dp/B00CJYJ4NE/ref=zg_bs_g_industrial_d_sccl_5/523-4001745-1538209?psc=1,5,industrial,fr,3K+ bought
1,6,"Office Products 100 Clear Bags with Zipper, LDPE, Food Safe, 5 x 7 cm",€0.76,4464,4.6 out of 5 stars,B0C9J64D6F,https://www.amazon.fr/-/en/Office-Products-Clear-Bags-Zipper/dp/B0C9J64D6F/ref=zg_bs_g_industrial_d_sccl_6/523-4001745-1538209?psc=1,6,industrial,fr,600+ bought
1,7,"GPZON Professional Electronic Upper Arm Blood Pressure Monitor, Adjustable Cuff 22cm-42cm, Memory 2x120, White",€19.99,7339,4.4 out of 5 stars,B08FCHQXHV,https://www.amazon.fr/-/en/GPZON-Professional-Electronic-Adjustable-22cm-42cm/dp/B08FCHQXHV/ref=zg_bs_g_industrial_d_sccl_7/523-4001745-1538209?psc=1,7,industrial,fr,2K+ bought
1,8,"MEXERRIS Mop Spray Mop with Reservoir Spray Mop Professional Microfibre Mop Sprayer for Home, Kitchen, Hardwood, Laminate, Wood",€20.99,36574,4.4 out of 5 stars,B09D7NR6VC,https://www.amazon.fr/-/en/MEXERRIS-Mop-Reservoir-Professional-Microfibre/dp/B09D7NR6VC/ref=zg_bs_g_industrial_d_sccl_8/523-4001745-1538209?psc=1,8,industrial,fr,1K+ bought
1,9,"BISSELL Multi-surface formula, for use with Crosswave/Spinwave, 1L",€9.00,10964,4.6 out of 5 stars,B01JYUU2ZY,https://www.amazon.fr/-/en/BISSELL-Multi-surface-formula-Crosswave-Spinwave/dp/B01JYUU2ZY/ref=zg_bs_g_industrial_d_sccl_9/523-4001745-1538209?psc=1,9,industrial,fr,3K+ bought
1,10,"Swiffer Duster Duster Refills, 18 Units, Catches and Retains 3X More Dust and Hair than a Traditional Duster, Effective Against 100% Dust, Handle Sold Separately",€10.94,2512,4.7 out of 5 stars,B0F1NB18VP,https://www.amazon.fr/-/en/Swiffer-Refills-Traditional-Effective-Separately/dp/B0F1NB18VP/ref=zg_bs_g_industrial_d_sccl_10/523-4001745-1538209?psc=1,10,industrial,fr,1K+ bought
1,11,DYMO LetraTag LT-100H étiqueteuse portative | Imprimante d'étiquettes autocollant thermique sans encre | avec clavier ABC,€27.60,8075,4.6 out of 5 stars,B0BRZ9RTMX,https://www.amazon.fr/-/en/%C3%A9tiqueteuse-portative-Imprimante-d%C3%A9tiquettes-autocollant/dp/B0BRZ9RTMX/ref=zg_bs_g_industrial_d_sccl_11/523-4001745-1538209?psc=1,11,industrial,fr,1K+ bought
1,12,"Swiffer Duster Duster Refills, 23 Units, Catches and Retains 3X More Dust and Hair than a Traditional Duster, Cleans Without Dispersing Dust, Handle Sold Separately",€13.50,224,4.8 out of 5 stars,B0DXF5L4PC,https://www.amazon.fr/-/en/Swiffer-Refills-Traditional-Dispersing-Separately/dp/B0DXF5L4PC/ref=zg_bs_g_industrial_d_sccl_12/523-4001745-1538209?psc=1,12,industrial,fr,1K+ bought
1,13,"Vileda Turbo 3-in-1 Complete Floor Wash Kit, Telescopic Handle 85-123 cm, Rotating System Broom with Pedal Bucket, New Generation 3-in-1 Microfibre Pads, Durable Cleaning System",€45.92,14876,4.5 out of 5 stars,B08Z9C24G1,https://www.amazon.fr/-/en/Vileda-Complete-Telescopic-Generation-Microfibre/dp/B08Z9C24G1/ref=zg_bs_g_industrial_d_sccl_13/523-4001745-1538209?psc=1,13,industrial,fr,1K+ bought
1,14,"Brabantia Sacs Poubelle PerfectFit (Code L/40-45 Litres) Ultra Résistant, Poignées Coulissantes (40 Sacs)",€15.50,13359,4.8 out of 5 stars,B09BNSTH4V,https://www.amazon.fr/-/en/Brabantia-Poubelle-PerfectFit-R%C3%A9sistant-Coulissantes/dp/B09BNSTH4V/ref=zg_bs_g_industrial_d_sccl_14/523-4001745-1538209?psc=1,14,industrial,fr,400+ bought
1,15,"Swiffer Duster Duster Starter Kit (1 Handle + 13 Refills), Dust Capture, Hair & Allergens, Effective Against 99.9% of Dusts, Reaches Difficult Corners, Fast and Effective",€14.90,13640,4.7 out of 5 stars,B0DZ1YS3PV,https://www.amazon.fr/-/en/Swiffer-Starter-Allergens-Effective-Difficult/dp/B0DZ1YS3PV/ref=zg_bs_g_industrial_d_sccl_15/523-4001745-1538209?psc=1,15,industrial,fr,1K+ bought
1,16,"Otoscope Cure Ear Cleaning Camera and Light, Cerumen Removal Kit (Earpick, Cerumen Tongs, Dripper) & ENT Control Scope for Home Use",€39.99,13964,4.3 out of 5 stars,B0FK9DHB4N,https://www.amazon.fr/-/en/Otoscope-Cleaning-Cerumen-Removal-Earpick/dp/B0FK9DHB4N/ref=zg_bs_g_industrial_d_sccl_16/523-4001745-1538209?psc=1,16,industrial,fr,1K+ bought
