page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,no title,€9.99,21126.0,3.8 out of 5 stars,B0CQQ6R3G4,https://www.amazon.fr/-/en/HOVVIDA-Remote-Control-Bedroom-Festival/dp/B0CQQ6R3G4/ref=zg_bs_g_lighting_d_sccl_1/523-1069550-6922105?psc=1,1,lighting,fr,1K+ bought
1,2,no title,€7.99,2110.0,4.7 out of 5 stars,B0D9W7T61T,https://www.amazon.fr/-/en/Morotty-G4-Halogen-Bulbs-Dimmable/dp/B0D9W7T61T/ref=zg_bs_g_lighting_d_sccl_2/523-1069550-6922105?psc=1,2,lighting,fr,2K+ bought
1,3,no title,€15.01,30499.0,4.6 out of 5 stars,B01KHILJ5O,https://www.amazon.fr/-/en/Philips-Classic-Kelvin-Lumens-Reflector/dp/B01KHILJ5O/ref=zg_bs_g_lighting_d_sccl_3/523-1069550-6922105?psc=1,3,lighting,fr,1K+ bought
1,4,"FOMYHEARD Dimmable Touch Bedside Lamp, 4 Modes & 256 Colors RGB Changing LED Night Light Kids Night Light, USB Rechargeable Nursing Lamp, Wireless Table Lamp for Bedroom",€16.99,4788.0,4.5 out of 5 stars,B0DQL5PN3C,https://www.amazon.fr/-/en/FOMYHEARD-Dimmable-Changing-Rechargeable-Wireless/dp/B0DQL5PN3C/ref=zg_bs_g_lighting_d_sccl_4/523-1069550-6922105?psc=1,4,lighting,fr,1K+ bought
1,5,"Bosch H7 Plus 50 Halogen Headlight Bulbs, 12 V 55 W, 50% Longer Beam - PX26d Base - 1 Replacement Bulb",€4.90,289.0,4.7 out of 5 stars,B002B552SM,https://www.amazon.fr/-/en/Bosch-Halogen-Headlight-Bulbs-Longer/dp/B002B552SM/ref=zg_bs_g_lighting_d_sccl_5/523-1069550-6922105?psc=1,5,lighting,fr,1K+ bought
1,6,"Gritin Super Bright LED Cabinet Light, 26 cm, 3 Colours & 5 Brightness, 4 Modes, Motion Sensor, Rechargeable Long Lasting, Easy Installation Magnetic Cabinet Lamp-2 Pack",€19.99,14517.0,4.7 out of 5 stars,B0F1C56SR1,https://www.amazon.fr/-/en/Gritin-Brightness-Rechargeable-Installation-Magnetic/dp/B0F1C56SR1/ref=zg_bs_g_lighting_d_sccl_6/523-1069550-6922105?psc=1,6,lighting,fr,1K+ bought
1,7,lizia - Reading light/reading lamp - White - Made in France - Discrete light - Medal invention at the Lépine Competition,€25.95,414.0,3.9 out of 5 stars,B0CTRZD74R,https://www.amazon.fr/-/en/lizia-Reading-Discrete-invention-Competition/dp/B0CTRZD74R/ref=zg_bs_g_lighting_d_sccl_7/523-1069550-6922105?psc=1,7,lighting,fr,500+ bought
1,8,"Gritin 19 LED Reading Light, Clip Rechargeable Reading Light, Eye Protection, Stepless Dimming & 3 Colours (Amber/White/Mix), 360° Flexible Neck, Long Lasting, Portable for Reading in Bed",€14.99,34507.0,4.8 out of 5 stars,B0C3BC4QG2,https://www.amazon.fr/-/en/Gritin-Rechargeable-Protection-Stepless-Flexible/dp/B0C3BC4QG2/ref=zg_bs_g_lighting_d_sccl_8/523-1069550-6922105?psc=1,8,lighting,fr,1K+ bought
1,9,no title,€7.99,25949.0,4.3 out of 5 stars,B08GDC99PX,https://www.amazon.fr/-/en/Tapo-Multi-Colour-2500K-6500K-Compatible-L530E/dp/B08GDC99PX/ref=zg_bs_g_lighting_d_sccl_9/523-1069550-6922105?psc=1,9,lighting,fr,1K+ bought
1,10,no title,€5.99,4230.0,4.4 out of 5 stars,B0CPM8C3X9,https://www.amazon.fr/-/en/GRIFEMA-GD101-1-Childrens-Brightness-Adjustment/dp/B0CPM8C3X9/ref=zg_bs_g_lighting_d_sccl_10/523-1069550-6922105?psc=1,10,lighting,fr,1K+ bought
