page,rank,title,price,reviews_count,rating,asin,url,rank_filled,category,market_place,bought_number_2
1,1,"Pokémon : Coffret Dresseur d’élite Méga-Évolution – Héros Transcendants (1 Carte Promo entièrement illustrée, 9 boosters et des Accessoires de Jeu Premium)",€55.99,6,4.0 out of 5 stars,B0G3YH3QN4,https://www.amazon.fr/-/en/Pok%C3%A9mon-H%C3%A9ros-Transcendants/dp/B0G3YH3QN4/ref=zg_bs_g_toys_d_sccl_1/524-1070723-7756014?psc=1,1,toys,fr,0
1,2,"Pokémon : Mini-boîte Méga-Évolution – Héros Transcendants – Pikachu et Gruikui (1 Page d’Autocollants, 1 Carte Artistique et 2 boosters)",€11.99,18,3.8 out of 5 stars,B0G4NR3ZMC,https://www.amazon.fr/-/en/Pok%C3%A9mon-Pikachu-et-Gruikui/dp/B0G4NR3ZMC/ref=zg_bs_g_toys_d_sccl_2/524-1070723-7756014?psc=1,2,toys,fr,0
1,3,"Pokémon : Mini-boîte Méga-Évolution – Héros Transcendants – Togepi et Kaiminus (1 Page d’Autocollants, 1 Carte Artistique et 2 boosters)",€11.99,16,3.9 out of 5 stars,B0G4NS4WMF,https://www.amazon.fr/-/en/Pok%C3%A9mon-Togepi-et-Kaiminus/dp/B0G4NS4WMF/ref=zg_bs_g_toys_d_sccl_3/524-1070723-7756014?psc=1,3,toys,fr,0
1,4,"Pokémon : Mini-boîte Méga-Évolution – Héros Transcendants – Zorua et Nigosier (1 Page d’Autocollants, 1 Carte Artistique et 2 boosters)",€11.99,15,4.4 out of 5 stars,B0G4NRJ8L8,https://www.amazon.fr/-/en/Pok%C3%A9mon-Zorua-et-Nigosier/dp/B0G4NRJ8L8/ref=zg_bs_g_toys_d_sccl_4/524-1070723-7756014?psc=1,4,toys,fr,0
1,5,"Pokémon : Mini-boîte Méga-Évolution – Héros Transcendants – Riolu et Darumarond (1 Page d’Autocollants, 1 Carte Artistique et 2 boosters)",€11.99,18,3.4 out of 5 stars,B0G4NQJYXM,https://www.amazon.fr/-/en/Pok%C3%A9mon-Riolu-et-Darumarond/dp/B0G4NQJYXM/ref=zg_bs_g_toys_d_sccl_5/524-1070723-7756014?psc=1,5,toys,fr,0
1,6,"Pokémon : Mini-boîte Méga-Évolution – Héros Transcendants – Mélofée et Germignon (1 Page d’Autocollants, 1 Carte Artistique et 2 boosters)",€11.99,23,3.8 out of 5 stars,B0G4NRXZSD,https://www.amazon.fr/-/en/Pok%C3%A9mon-M%C3%A9lof%C3%A9e-et-Germignon/dp/B0G4NRXZSD/ref=zg_bs_g_toys_d_sccl_6/524-1070723-7756014?psc=1,6,toys,fr,0
1,7,Pokémon : Boîte Méga-Dracaufeu – Méga-Dracaufeu X-ex (4 boosters et 1 Carte Promo Brillante),€24.99,7,4.0 out of 5 stars,B0GF91X2RG,https://www.amazon.fr/-/en/Pok%C3%A9mon-M%C3%A9ga-Dracaufeu-X-ex/dp/B0GF91X2RG/ref=zg_bs_g_toys_d_sccl_7/524-1070723-7756014?psc=1,7,toys,fr,0
1,8,Pokémon : Pokémon TCG Mega Evolution Booster Pack - Phantasmagoric Flames (6 Boosters),€35.94,438,4.6 out of 5 stars,B0FTFZMJGG,https://www.amazon.fr/-/en/Pok%C3%A9mon-Evolution-Booster-Phantasmagoric-Boosters/dp/B0FTFZMJGG/ref=zg_bs_g_toys_d_sccl_8/524-1070723-7756014?psc=1,8,toys,fr,3K+ bought
1,9,Pokémon : Boîte Méga-Dracaufeu – Méga-Dracaufeu Y-ex (4 boosters et 1 Carte Promo Brillante),€24.99,6,4.8 out of 5 stars,B0GF94QS1Q,https://www.amazon.fr/-/en/Pok%C3%A9mon-M%C3%A9ga-Dracaufeu-Y-ex/dp/B0GF94QS1Q/ref=zg_bs_g_toys_d_sccl_9/524-1070723-7756014?psc=1,9,toys,fr,0
1,10,LEGO Speed Champions F1 Ferrari SF-24 Racing Vehicle Construction Set Includes Formula 1 Driver Collector Minifigure - Gift Idea for Boys or Girls 77242,€23.45,14090,4.8 out of 5 stars,B0DHSBBV6R,https://www.amazon.fr/-/en/LEGO-Champions-Construction-Collector-Minifigure/dp/B0DHSBBV6R/ref=zg_bs_g_toys_d_sccl_10/524-1070723-7756014?psc=1,10,toys,fr,3K+ bought
1,11,"magilano SKYJO, Fun Card Game for Young and Least Young, Fun Game Parties in The Circle of Friends and Family.",€14.99,74152,4.8 out of 5 stars,B06XZ9K244,https://www.amazon.fr/-/en/magilano-SKYJO-Parties-Friends-Family/dp/B06XZ9K244/ref=zg_bs_g_toys_d_sccl_11/524-1070723-7756014?psc=1,11,toys,fr,5K+ bought
1,12,"Pokémon : Pokémon Day Collection 2026 (1 Glossy Promo Card, 1 Piece and 3 Boosters)",€19.90,94,3.7 out of 5 stars,B0G3QLKXC5,https://www.amazon.fr/-/en/Pok%C3%A9mon-Collection-Glossy-Promo-Boosters/dp/B0G3QLKXC5/ref=zg_bs_g_toys_d_sccl_12/524-1070723-7756014?psc=1,12,toys,fr,3K+ bought
1,13,LEGO Botanicals 10369 Plum Blossoms - Artificial Plant Gift - Adult Building Set - Home Decor Display - Relaxing Activity for Women and Men,€21.99,14204,4.8 out of 5 stars,B00CALQB1E,https://www.amazon.fr/-/en/LEGO-Botanicals-10369-Plum-Blossoms/dp/B00CALQB1E/ref=zg_bs_g_toys_d_sccl_13/524-1070723-7756014?psc=1,13,toys,fr,2K+ bought
