page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"NIUXX Washing Machine Stacking Kit, Universal Overlay Kit with Ratchet Straps, Slim Stacking Kit, Universal Intermediate Frame for 18-26 Inch Washing Machine and Dryer",€34.99,6834,4.6 out of 5 stars,B0DB5KDB38,https://www.amazon.it/-/en/NIUXX-Washing-Stacking-Universal-Intermediate/dp/B0DB5KDB38/ref=zg_bs_g_appliances_d_sccl_1/521-2928193-2317340?psc=1,2026-02-27,500+,appliances,it
1,2,CARE + PROTECT Universal Cut Out Grease Cooker Hood Filter (47 x 97 cm),€5.50,5577,4.5 out of 5 stars,B07SH2HGGJ,https://www.amazon.it/-/en/CARE-PROTECT-Universal-Grease-Cooker/dp/B07SH2HGGJ/ref=zg_bs_g_appliances_d_sccl_2/521-2928193-2317340?psc=1,2026-02-27,500+,appliances,it
1,3,"Meliconi Evo L60 Tower Base, Universal Washer Dryer Overlay Kit, Pre-Assembled Support with Removable Wooden Shelf, Safety Strap Included, Load 250 kg, White",€71.90,4983,4.5 out of 5 stars,B0B6HRPFZK,https://www.amazon.it/-/en/Meliconi-Universal-Pre-Assembled-Removable-Included/dp/B0B6HRPFZK/ref=zg_bs_g_appliances_d_sccl_3/521-2928193-2317340?psc=1,2026-02-27,200+,appliances,it
1,4,no title,€312.05,2146,4.5 out of 5 stars,B0CZXR3Y9C,https://www.amazon.it/-/en/Electrolux-Multifunzione-EOH2H044K-AquaClean-589x594x568/dp/B0CZXR3Y9C/ref=zg_bs_g_appliances_d_sccl_4/521-2928193-2317340?psc=1,2026-02-27,400+,appliances,it
1,5,2 x Miele T1 Tumble Dryer Filter 9164761,€17.49,2770,4.7 out of 5 stars,B0BGQK683X,https://www.amazon.it/-/en/Miele-Tumble-Dryer-Filter-9164761/dp/B0BGQK683X/ref=zg_bs_g_appliances_d_sccl_5/521-2928193-2317340?psc=1,2026-02-27,300+,appliances,it
1,6,DL SERVICE Dishwasher Basket Compatible with Hotpoint Ariston Indesit | Dishwasher Cutlery Holder | Replacement Cutlery Basket,€10.90,1001,4.3 out of 5 stars,B0CVH183DK,https://www.amazon.it/-/en/DL-SERVICE-Dishwasher-Compatible-Replacement/dp/B0CVH183DK/ref=zg_bs_g_appliances_d_sccl_6/521-2928193-2317340?psc=1,2026-02-27,800+,appliances,it
1,7,"Meliconi Base Move EVO (Wash), Anti-Vibration Base with Wheels and Brakes, for Washing Machines or Dryers, 250 kg, White",€62.72,355,4.2 out of 5 stars,B0D5Y37F6V,https://www.amazon.it/-/en/Meliconi-Anti-Vibration-Wheels-Washing-Machines/dp/B0D5Y37F6V/ref=zg_bs_g_appliances_d_sccl_7/521-2928193-2317340?psc=1,2026-02-27,500+,appliances,it
1,8,Mister Magic Egg Odour Absorber Fridge with Natural Lemon Extracts and 3 Months Shelf Life,€2.39,543,4.4 out of 5 stars,B0178HS2EI,https://www.amazon.it/-/en/Mister-Magic-Absorber-Natural-Extracts/dp/B0178HS2EI/ref=zg_bs_g_appliances_d_sccl_8/521-2928193-2317340?psc=1,2026-02-27,800+,appliances,it
1,9,"Candy CHW6LBX Gas Hob, 4 Burners, Built-in, Metal Grills, Safety Valve, 59.5 x 51 x 8 cm, Stainless Steel",€85.99,4638,4.4 out of 5 stars,B07HNYG4V4,https://www.amazon.it/-/en/CHW6LBX-Burners-Built-Grills-Stainless/dp/B07HNYG4V4/ref=zg_bs_g_appliances_d_sccl_9/521-2928193-2317340?psc=1,2026-02-27,700+,appliances,it
1,10,no title,€192.57,4619,4.1 out of 5 stars,B0BV75XZ4S,https://www.amazon.it/-/en/Hisense-WFQP801419VM-Washing-Machine-Programs/dp/B0BV75XZ4S/ref=zg_bs_g_appliances_d_sccl_10/521-2928193-2317340?psc=1,2026-02-27,50+,appliances,it
1,11,Complete Dishwasher Filter C00256571 + C00256572 Compatible with Hotpoint Ariston Indesit,€9.90,2388,4.8 out of 5 stars,B07BJMVY78,https://www.amazon.it/-/en/Complete-Dishwasher-C00256571-C00256572-Compatible/dp/B07BJMVY78/ref=zg_bs_g_appliances_d_sccl_11/521-2928193-2317340?psc=1,2026-02-27,500+,appliances,it
1,12,no title,€209.00,2090,4.0 out of 5 stars,B0C82W93J9,https://www.amazon.it/-/en/Hisense-MTM55205BE-Freestanding-Double-Refrigerator/dp/B0C82W93J9/ref=zg_bs_g_appliances_d_sccl_12/521-2928193-2317340?psc=1,2026-02-27,50+,appliances,it
1,13,no title,€194.37,1433,4.2 out of 5 stars,B0DHCNY69X,https://www.amazon.it/-/en/COMFEE-CDWPB1215P-W-Dishwasher-Programs-Function/dp/B0DHCNY69X/ref=zg_bs_g_appliances_d_sccl_13/521-2928193-2317340?psc=1,2026-02-27,50+,appliances,it
1,14,"Electrolux Serie 300 Piano Cottura a Induzione 4 Fuochi da Incasso, EIB60424CK, Comandi SliderTouch, 60 cm, 590x520 mm, Nero",€249.00,1851,4.3 out of 5 stars,B0BVRQCQ72,https://www.amazon.it/-/en/Electrolux-Cottura-Induzione-EIB60424CK-SliderTouch/dp/B0BVRQCQ72/ref=zg_bs_g_appliances_d_sccl_14/521-2928193-2317340?psc=1,2026-02-27,200+,appliances,it
1,15,no title,€279.90,564,4.4 out of 5 stars,B0CXSZ2VGZ,https://www.amazon.it/-/en/Midea-MF10EW70B-Washing-Programme-Temperature/dp/B0CXSZ2VGZ/ref=zg_bs_g_appliances_d_sccl_15/521-2928193-2317340?psc=1,2026-02-27,100+,appliances,it
1,16,no title,€307.09,2681,4.1 out of 5 stars,B09BFX6N1H,https://www.amazon.it/-/en/Candy-Smart-Freestanding-Connection-Control/dp/B09BFX6N1H/ref=zg_bs_g_appliances_d_sccl_16/521-2928193-2317340?psc=1,2026-02-27,200+,appliances,it
1,17,"Mr Magic Egg Odour Absorber Fridge with Bicarbonate and Sea Salt, Keeps Food Aroma Unaltered, Lasts up to 3 Months",€2.75,2097,4.3 out of 5 stars,B089Q52K68,https://www.amazon.it/-/en/Magic-Absorber-Fridge-Bicarbonate-Unaltered/dp/B089Q52K68/ref=zg_bs_g_appliances_d_sccl_17/521-2928193-2317340?psc=1,2026-02-27,400+,appliances,it
1,18,"Today – 1 Universal Activated Carbon Filter for Cooker Hoods 40 x 100 cm – Cut-Out, Odour Resistant, Grease and Moisture Retaining, Made in Italy",€10.90,294,4.3 out of 5 stars,B0FCC6FJQ4,https://www.amazon.it/-/en/Today-Universal-Activated-Resistant-Retaining/dp/B0FCC6FJQ4/ref=zg_bs_g_appliances_d_sccl_18/521-2928193-2317340?psc=1,2026-02-27,300+,appliances,it
1,19,G9 25 W 230 V 300 Degree Bulb for Bosch / Smeg / Whirlpool / Electrolux Oven - Halogen 2 Pieces,€8.99,9859,4.7 out of 5 stars,B09G5WHKLC,https://www.amazon.it/-/en/Degree-Bulb-Bosch-Whirlpool-Electrolux/dp/B09G5WHKLC/ref=zg_bs_g_appliances_d_sccl_19/521-2928193-2317340?psc=1,2026-02-27,200+,appliances,it
