page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Ma-Fra 3-in-1 Plastic Treatment, Cleans, Revives and Protects Car Interior Parts, Ideal for Dashboards and Gaskets, Creates Anti-UV Barrier, Slows Down Dust Format, 500 ml",€9.56,21449,4.5 out of 5 stars,B00BAODU2K,https://www.amazon.it/-/en/Plastic-Treatment-Protects-Interior-Dashboards/dp/B00BAODU2K/ref=zg_bs_g_automotive_d_sccl_1/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,2,"Ma-Fra, Super Dryer, Ultra-Absorbent Microfibre Cloth for Perfect Drying of All Exterior Surfaces of the Car, Leaves No Streaks or Streaks, Ultra Resistant and Maxi Size 60 x 80 cm",€17.26,10386,4.6 out of 5 stars,B07KJXQVB9,https://www.amazon.it/-/en/Ultra-Absorbent-Microfibre-Exterior-Surfaces-Resistant/dp/B07KJXQVB9/ref=zg_bs_g_automotive_d_sccl_2/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,3,8100 X-CLEAN+ OLIO 5W30 5L,€44.72,49821,4.7 out of 5 stars,B01G062AD2,https://www.amazon.it/-/en/8100-X-CLEAN-OLIO-5W30-5L/dp/B01G062AD2/ref=zg_bs_g_automotive_d_sccl_3/525-9613088-0466026?psc=1,2026-02-27,200+,automotive,it
1,4,"KOYOSO H7 Upgraded LED, 110W 30000LM Replacement Lamp for Halogen, 1:1 Mini Design, No Adapter Required, Pack of 2",€24.69,19065,4.2 out of 5 stars,B087WZN9ZP,https://www.amazon.it/-/en/KOYOSO-Upgraded-30000LM-Replacement-Halogen/dp/B087WZN9ZP/ref=zg_bs_g_automotive_d_sccl_4/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,5,ACEZUK 6000A Battery Jump Starter for Car/Motorcycles (7.0L Gas or 5.5L Diesel) Portable Jump Start Battery Starter with LED/LCD Booster,€44.99,6129,4.6 out of 5 stars,B0CSJMHSJ4,https://www.amazon.it/-/en/ACEZUK-Battery-Starter-Motorcycles-Portable/dp/B0CSJMHSJ4/ref=zg_bs_g_automotive_d_sccl_5/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,6,"AdBlue® Diesel Engine Additive for NOx Emission Reduction Urea Based, ISO 22241-1, 10 L (2 x 5 L), Spout Included",€15.99,885,4.5 out of 5 stars,B0DPXNW8W9,https://www.amazon.it/-/en/AdBlue%C2%AE-Additive-Emission-Reduction-Included/dp/B0DPXNW8W9/ref=zg_bs_g_automotive_d_sccl_6/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,7,"Xiaomi Portable Electric Air Compressor 2, Portable Air Compressor, Up to 150 PSI, Integrated LED Light, Type-C Port, 6 Inflation Modes, New Air Valve Adapter, Compact, Black",€36.90,7039,4.7 out of 5 stars,B0CBBP8BQX,https://www.amazon.it/-/en/Portable-Electric-Compressor-Integrated-Inflation/dp/B0CBBP8BQX/ref=zg_bs_g_automotive_d_sccl_7/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,8,"JDMCAR Car Jump Starter Booster - Upgrade 7000A Car Battery Starter, Portable Car Battery Starter with LED/LCD, Emergency Starter for Cars/Motorcycles (up to 9.0L and Diesel up to 8.5L)",€48.99,653,4.5 out of 5 stars,B0G5P92RV3,https://www.amazon.it/-/en/JDMCAR-Car-Jump-Starter-Booster/dp/B0G5P92RV3/ref=zg_bs_g_automotive_d_sccl_8/525-9613088-0466026?psc=1,2026-02-27,0,automotive,it
1,9,"ARCOL EN 16662-1 Italian Approved Snow Socks – Two Snow Chains in Fabric for Cars. Snow Sock Size XL for R14 – R22 (Measurements for Detailed Inner Tyres) (Nova, XL)",€43.99,4196,4.6 out of 5 stars,B0F3V5QPLW,https://www.amazon.it/-/en/ARCOL-16662-1-Italian-Approved-Socks/dp/B0F3V5QPLW/ref=zg_bs_g_automotive_d_sccl_9/525-9613088-0466026?psc=1,2026-02-27,700+,automotive,it
1,10,"OSRAM COOL BLUE INTENSE H7 +100% More Brightness, Up to 5000K, Halogen Headlamp, LED Look, Hanging Folding Box (2 Lamps)",€17.24,4007,4.3 out of 5 stars,B0D845VTG7,https://www.amazon.it/-/en/OSRAM-INTENSE-Brightness-Halogen-Headlamp/dp/B0D845VTG7/ref=zg_bs_g_automotive_d_sccl_10/525-9613088-0466026?psc=1,2026-02-27,700+,automotive,it
1,11,"ERRECOM Red Cool Red Fluorescent Radiator Liquid -10°C/+103°C, G12 Antifreeze with Oat Organic Based Inhibitor Package, Ready to Use, 5 Litres",€22.00,2694,4.6 out of 5 stars,B0CLD4SCGV,https://www.amazon.it/-/en/ERRECOM-Fluorescent-Radiator-Antifreeze-Inhibitor/dp/B0CLD4SCGV/ref=zg_bs_g_automotive_d_sccl_11/525-9613088-0466026?psc=1,2026-02-27,400+,automotive,it
1,12,"Coolpow Magnetic Car Phone Holder with Magsafe 20 Powerful Magnetic Car Phone Holder for Car Dashboard and Air Vent Compatible with iPhone 17, Black",€11.99,4861,4.5 out of 5 stars,B0CR3P1SVL,https://www.amazon.it/-/en/Coolpow-Magnetic-Powerful-Dashboard-Compatible/dp/B0CR3P1SVL/ref=zg_bs_g_automotive_d_sccl_12/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,13,"Bardahl - 5 in 1 Diesel Cleaner, Multifunctional Additive for Complete Cleaning of Diesel Engines, Increases Power and Performance, 500 ml",€30.00,2096,4.4 out of 5 stars,B0CRHV9CQ1,https://www.amazon.it/-/en/Bardahl-Multifunctional-Additive-Increases-Performance/dp/B0CRHV9CQ1/ref=zg_bs_g_automotive_d_sccl_13/525-9613088-0466026?psc=1,2026-02-27,1K+,automotive,it
1,14,"Philips Ultinon Access LED Headlight Bulb (H7), Ultra-Compact Direct-Fit, +80%, 6000K, Set of 2",€44.95,6265,4.2 out of 5 stars,B0CHWWLPBC,https://www.amazon.it/-/en/Philips-Ultinon-Headlight-Ultra-Compact-Direct-Fit/dp/B0CHWWLPBC/ref=zg_bs_g_automotive_d_sccl_14/525-9613088-0466026?psc=1,2026-02-27,700+,automotive,it
