page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Fria Easy Baby Diaper Wipes with Aloe Vera and Honey Extract Moisturizing Effect on the Skin, Dermatologically Tested, Pack of 288 Wipes",€5.56,9551,4.6 out of 5 stars,B09JCPKS9Q,https://www.amazon.it/-/en/Fria-Diaper-Extract-Moisturizing-Dermatologically/dp/B09JCPKS9Q/ref=zg_bs_g_baby_d_sccl_1/525-5817208-4599858?psc=1,2026-02-27,4K+,baby,it
1,2,"WaterWipes Sensitive+ Newborn & Baby Wipes for Babies and Children, 360 Pieces (6 Packs), Cleanses, Cares, Protects, 99.9% Water, Fragrance Free",€22.00,33643,4.8 out of 5 stars,B09TW72XZQ,https://www.amazon.it/-/en/WaterWipes-Sensitive-Children-Cleanses-Fragrance/dp/B09TW72XZQ/ref=zg_bs_g_baby_d_sccl_2/525-5817208-4599858?psc=1,2026-02-27,2K+,baby,it
1,3,"Pampers Progress Size 1 and 2, First Days, Soft and Breathable, with Wet Indicator, Gentle Protection for Babies, First Pamper Kit, Neo Mum Gift, 84 Nappies Newborn",€31.67,3444,4.7 out of 5 stars,B0BZ56DNGW,https://www.amazon.it/-/en/Pampers-Progress-Breathable-Indicator-Protection/dp/B0BZ56DNGW/ref=zg_bs_g_baby_d_sccl_3/525-5817208-4599858?psc=1,2026-02-27,1K+,baby,it
1,4,"Nice Baby Aloe Vera Nappy Changing Wipes, with Aloe Vera Moisturizing Effect on Skin, Dermatologically Tested, Pack of 72 Wipes",€0.99,1471,4.6 out of 5 stars,B072VM7CSQ,https://www.amazon.it/-/en/Changing-Moisturizing-Effect-Dermatologically-Tested/dp/B072VM7CSQ/ref=zg_bs_g_baby_d_sccl_4/525-5817208-4599858?psc=1,2026-02-27,3K+,baby,it
1,5,"Bepanthenol Protective Baby Soothing Paste, Nappy Changing Paste with Panthenol that Moisturizes and Regenerates the Skin, Irritation Baby Cream Nappy Without Preservatives, Fragrances and Colourants",€9.49,4186,4.8 out of 5 stars,B00D3HUJH6,https://www.amazon.it/-/en/Bepanthenol-Protective-Moisturizes-Regenerates-Preservatives/dp/B00D3HUJH6/ref=zg_bs_g_baby_d_sccl_5/525-5817208-4599858?psc=1,2026-02-27,4K+,baby,it
1,6,"Libenar Isotonic Solution, Physiological Saline Solution for Cleansing Nose, Eyes, Ears and Inhalation in Aerosol, Suitable for Babies and Children, Disposable Vials 5 ml, 85 Bottles",€13.99,1022,4.8 out of 5 stars,B0D3JC9CRV,https://www.amazon.it/-/en/Libenar-Physiological-Cleansing-Inhalation-Disposable/dp/B0D3JC9CRV/ref=zg_bs_g_baby_d_sccl_6/525-5817208-4599858?psc=1,2026-02-27,4K+,baby,it
1,7,"By Amazon Ultra Dry Nappies Size 5 (10-16 kg), with Air Channels, White, 152 Units (2 Packs of 76) - New Version (Formerly a Mama Bear Brand, Same Product)",€25.61,11067,4.3 out of 5 stars,B084N3JLFF,https://www.amazon.it/-/en/Amazon-Ultra-Nappies-10-16-Channels/dp/B084N3JLFF/ref=zg_bs_g_baby_d_sccl_7/525-5817208-4599858?psc=1,2026-02-27,300+,baby,it
1,8,"COTTON SOUND Eco Cotton Sticks Bag 1 Pack x 160 Pieces, Eco Friendly and Biodegradable Cotton Sticks, 100% Pure Hydrophilic Cotton, Compostable Bag, Made in Italy",€0.66,2591,4.6 out of 5 stars,B09TV71BYH,https://www.amazon.it/-/en/Cotton-Friendly-Biodegradable-Hydrophilic-Compostable/dp/B09TV71BYH/ref=zg_bs_g_baby_d_sccl_8/525-5817208-4599858?psc=1,2026-02-27,1K+,baby,it
1,9,"Pampers Baby Fresh Wipes, Moisturizing and Gentle Formula that Restores the PH of Skin, 12 Packs of 70 Pieces, 840 Wipes",€29.94,6351,4.7 out of 5 stars,B07GBRCCG7,https://www.amazon.it/-/en/Pampers-Moisturizing-Gentle-Formula-Restores/dp/B07GBRCCG7/ref=zg_bs_g_baby_d_sccl_9/525-5817208-4599858?psc=1,2026-02-27,2K+,baby,it
1,10,"Chicco Multi-purpose Baby Wipes with Alcohol Free Plaque Scented for Sensitive Skin, Multipack of 864 Wipes, 12 Packs of 72 Cloths",€17.40,1171,4.6 out of 5 stars,B0CWVKTZQW,https://www.amazon.it/-/en/Chicco-Multi-purpose-Sensitive-Multipack-12/dp/B0CWVKTZQW/ref=zg_bs_g_baby_d_sccl_10/525-5817208-4599858?psc=1,2026-02-27,2K+,baby,it
1,11,"MAM Size X Teat (Set of 2), Symmetrical Flat MAM Teat in Soft SkinSoft Silicone for Thick Liquids and Feeding, Kit of 2 Baby Accessories 6+ Months for Breastfeeding and Feeding",€9.95,4096,4.7 out of 5 stars,B0931KWDB3,https://www.amazon.it/-/en/MAM-Symmetrical-SkinSoft-Accessories-Breastfeeding/dp/B0931KWDB3/ref=zg_bs_g_baby_d_sccl_11/525-5817208-4599858?psc=1,2026-02-27,1K+,baby,it
