page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Maybelline New York Multi-Use Concealer Hydrating Concealer with Modular Coverage, Blemishes and Dark Circles Covered, Goji Berries and Haloxyl, Clear Ages, Shades: 02 Nude, 5 ml",€9.85,42548,4.5 out of 5 stars,B00NPXEEC4,https://www.amazon.it/-/en/Maybelline-Multi-Use-Concealer-Hydrating-Blemishes/dp/B00NPXEEC4/ref=zg_bs_g_beauty_d_sccl_1/525-3518309-2103043?psc=1,2026-02-27,3K+,beauty,it
1,2,"Fidia Farmaceutici ConnettivinaStick Lips - Stick 3 g 0.2% Hyaluronic Acid Based for Damaged, Dry and Chapped Lips",€4.99,1519,4.7 out of 5 stars,B0DFHQTDL2,https://www.amazon.it/-/en/Fidia-Farmaceutici-ConnettivinaStick-Lips-Hyaluronic/dp/B0DFHQTDL2/ref=zg_bs_g_beauty_d_sccl_2/525-3518309-2103043?psc=1,2026-02-27,10K+,beauty,it
1,3,"Garnier Siero Vitamina C Anti-Macchie, Illuminante, Rimpolpante, Arricchito con Vitamina C, Niacinamide e Acido Salicilico, Pelle Libera dalle Macchie Scure in Solo 6 Giorni, Incarnato Luminoso, 30 ml",€10.73,39249,4.3 out of 5 stars,B09BD7L35V,https://www.amazon.it/-/en/Garnier-Anti-Macchie-Illuminante-Rimpolpante-Niacinamide/dp/B09BD7L35V/ref=zg_bs_g_beauty_d_sccl_3/525-3518309-2103043?psc=1,2026-02-27,4K+,beauty,it
1,4,"Catwalk by TIGI Curls Rock Amplifier Curling Cream for Definition and Control of Curly Hair, 150 ml (Packaging May Vary)",€13.01,35366,4.5 out of 5 stars,B0007506U2,https://www.amazon.it/-/en/Catwalk-TIGI-Amplifier-Definition-Packaging/dp/B0007506U2/ref=zg_bs_g_beauty_d_sccl_4/525-3518309-2103043?psc=1,2026-02-27,8K+,beauty,it
1,5,"La Roche-Posay Cicaplast Baume B5+, Balsamo Viso e Corpo Riparatore, Adatto a Pelli Secche e Sensibili, Azione Anti-rossore, Effetto Lenitivo, Formula con Tribioma e Prodotti Correlati",€9.00,17631,4.6 out of 5 stars,B00ST2GSRK,https://www.amazon.it/-/en/Roche-Posay-Cicaplast-Repairing-Anti-Redness-Madecassoside/dp/B00ST2GSRK/ref=zg_bs_g_beauty_d_sccl_5/525-3518309-2103043?psc=1,2026-02-27,5K+,beauty,it
1,6,"CeraVe Blemish Control Cleanser for Oily Acne-Prone Skin, Purifying Action, Reduced Imperfections, Salicylic Acid and Purifying Clay, 8 oz",€11.20,30501,4.6 out of 5 stars,B0B7RQ46LD,https://www.amazon.it/-/en/CeraVe-Acne-Prone-Purifying-Imperfections-Salicylic/dp/B0B7RQ46LD/ref=zg_bs_g_beauty_d_sccl_6/525-3518309-2103043?psc=1,2026-02-27,8K+,beauty,it
1,7,"d'Alba Serum First Spray Serum with Italian White Truffle, Skincare Vegan Skin Care, Moisturizing and Brightening Face Spray for Bright Skin, Full Korean Care All in One (100 ml)",€21.99,33169,4.5 out of 5 stars,B0BFQ9RD5B,https://www.amazon.it/-/en/Italian-Truffle-Skincare-Moisturizing-Brightening/dp/B0BFQ9RD5B/ref=zg_bs_g_beauty_d_sccl_7/525-3518309-2103043?psc=1,2026-02-27,2K+,beauty,it
1,8,"Rimmel London Lasting Finish Lip Pencil, Long Lasting and Intense Colour, 705 Cappuccino, 1 g",€6.49,15936,4.4 out of 5 stars,B08CFSS35N,https://www.amazon.it/-/en/Rimmel-London-Lasting-Intense-Cappuccino/dp/B08CFSS35N/ref=zg_bs_g_beauty_d_sccl_8/525-3518309-2103043?psc=1,2026-02-27,5K+,beauty,it
1,9,NYX Professional Makeup The Brow Glue Clear Laminating Effect Eyebrow Gel For Carved Eyelashes With Natural Finish Up To 16 Hours Hold 5ml,€6.90,15303,4.3 out of 5 stars,B08M58SWB1,https://www.amazon.it/-/en/NYX-Professional-Laminating-Eyebrow-Eyelashes/dp/B08M58SWB1/ref=zg_bs_g_beauty_d_sccl_9/525-3518309-2103043?psc=1,2026-02-27,4K+,beauty,it
1,10,"Felce Azzurra - Classic Scented Body Wash, Gentle Moisturising Cleansing Foam Bath for Soft Skin with Notes of Rose, Lavender and Patchouli, Dermatologically Tested Shower Bath, 650 ml",€4.30,8053,4.6 out of 5 stars,B074DZRK9F,https://www.amazon.it/-/en/Felce-Azzurra-Moisturising-Cleansing-Dermatologically/dp/B074DZRK9F/ref=zg_bs_g_beauty_d_sccl_10/525-3518309-2103043?psc=1,2026-02-27,2K+,beauty,it
