page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"NEW'C Pack of 3 Tempered Glass for iPhone 16, iPhone 15 (6.1 Inches) - Anti-Scratch Film - Ultra Resistant - HD Clear - Easy Installation Tool Included",€7.89,282552,4.4 out of 5 stars,B0DHVD6TBX,https://www.amazon.it/NEWC-Tempered-16-15-6-1/dp/B0DHVD6TBX/ref=zg_bs_g_electronics_d_sccl_1/525-8820903-9578452?psc=1,2026-02-27,2K+,electronics,it
1,2,"Amazon Basics, 36 AAA High Performance Alkaline Batteries 1.5 Volt 10 Year Life",€8.99,1723967,4.5 out of 5 stars,B00LH3DMUO,https://www.amazon.it/-/en/Amazon-Basics-Performance-Alkaline-Batteries/dp/B00LH3DMUO/ref=zg_bs_g_electronics_d_sccl_2/525-8820903-9578452?psc=1,2026-02-27,4K+,electronics,it
1,3,Apple EarPods (USB‑C) (2024),€16.00,21411,4.6 out of 5 stars,B0DCNWN8NZ,https://www.amazon.it/-/en/Apple-MYQY3ZM-A-EarPods-USB%E2%80%91C/dp/B0DCNWN8NZ/ref=zg_bs_g_electronics_d_sccl_3/525-8820903-9578452?psc=1,2026-02-27,5K+,electronics,it
1,4,"XIAOMI Redmi Buds 6 Active Wireless Bluetooth Earbuds Semi-In-Ear Earbuds Noise Reduction with Dual Microphone, Up to 6H + 30H Battery Life, Bluetooth 5.4, Google Fast Pair Black",€14.99,14595,4.2 out of 5 stars,B0D6YMGXBF,https://www.amazon.it/-/en/XIAOMI-Wireless-Bluetooth-Reduction-Microphone/dp/B0D6YMGXBF/ref=zg_bs_g_electronics_d_sccl_4/525-8820903-9578452?psc=1,2026-02-27,4K+,electronics,it
1,5,"Amazon Fire TV Stick HD, free and live TV, Alexa Voice Remote, smart home controls, HD streaming",€44.99,53330,4.7 out of 5 stars,B0CQMWQDH4,https://www.amazon.it/-/en/Amazon-Stick-Remote-controls-streaming/dp/B0CQMWQDH4/ref=zg_bs_g_electronics_d_sccl_5/525-8820903-9578452?psc=1,2026-02-27,0,electronics,it
1,6,"USB C Quick Charger 40W 4Porto USB Socket Multiple Charger PD & QC3.0 Mobile Phone Charger, Power Plug Charger for Samsung S22 S23 S24 iPhone 15 16 14, Wall Plug Adapter",€9.99,7157,4.5 out of 5 stars,B0D2KSTB7X,https://www.amazon.it/-/en/Charger-4Porto-Multiple-Samsung-Adapter/dp/B0D2KSTB7X/ref=zg_bs_g_electronics_d_sccl_6/525-8820903-9578452?psc=1,2026-02-27,5K+,electronics,it
1,7,"Apple AirPods 4 Wireless Earphones, Bluetooth Earphones, Custom Space Audio, Sweat and Water Resistance, USB-C Charging Case, H2 Chip, Up to 24 Hours Run Time",€108.29,20536,4.6 out of 5 stars,B0DGHWD7CT,https://www.amazon.it/-/en/Apple-Wireless-Earphones-Bluetooth-Resistance/dp/B0DGHWD7CT/ref=zg_bs_g_electronics_d_sccl_7/525-8820903-9578452?psc=1,2026-02-27,4K+,electronics,it
1,8,HP 305 Cartucho de Tinta Original Pack Black/Tricolour,€27.94,77691,4.6 out of 5 stars,B08T1HR5CS,https://www.amazon.it/-/en/HP-Cartucho-Tinta-Original-Tricolour/dp/B08T1HR5CS/ref=zg_bs_g_electronics_d_sccl_8/525-8820903-9578452?psc=1,2026-02-27,0,electronics,it
1,9,"INIU Cavo USB Type-C, [0,5+2+2m] 3,1A QC3,0 Cavo USB Tipo C Rapida, Lega Intrecciato in Nylon Cavo Type C compatibili con Samsung S21 S20 Note 20 Huawei Xiaomi Google iPad LG Nintendo. [Versione 2022]",€9.99,86263,4.6 out of 5 stars,B08J7PQGD7,https://www.amazon.it/-/en/INIU-Intrecciato-compatibili-Nintendo-Versione/dp/B08J7PQGD7/ref=zg_bs_g_electronics_d_sccl_9/525-8820903-9578452?psc=1,2026-02-27,3K+,electronics,it
1,10,"DJI Mic Mini (2 TX + 1 RX + Charging Case), Wireless Microphone, Lightweight, High Quality Audio, 48 Hours Usage, Noise Cancelling, Wireless Microphone for Cameras/iPhone/Android,VLOG",€99.00,12022,4.6 out of 5 stars,B0DDL8WGH5,https://www.amazon.it/-/en/DJI-Charging-Microphone-Lightweight-Cancelling/dp/B0DDL8WGH5/ref=zg_bs_g_electronics_d_sccl_10/525-8820903-9578452?psc=1,2026-02-27,2K+,electronics,it
1,11,SanDisk 128GB Ultra MicroSDXC Card + SD Adapter Up to 140MB/s with A1 UHS-I Class 10 U1 App Performance,€19.14,159406,4.7 out of 5 stars,B0B7NTY2S6,https://www.amazon.it/-/en/SanDisk-128GB-MicroSDXC-Adapter-Performance/dp/B0B7NTY2S6/ref=zg_bs_g_electronics_d_sccl_11/525-8820903-9578452?psc=1,2026-02-27,0,electronics,it
1,12,Fujifilm Instax MINI FILM 10 F. 2 Pack Pellicola Instantanea per Instax MINI 7S e MINI 25,€18.99,256604,4.7 out of 5 stars,B0000C73CQ,https://www.amazon.it/-/en/Fujifilm-MINI-Pack-Pellicola-Instantanea/dp/B0000C73CQ/ref=zg_bs_g_electronics_d_sccl_12/525-8820903-9578452?psc=1,2026-02-27,5K+,electronics,it
