page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Skechers Graceful Get Connected, Women's Trainers",€36.95,70379.0,4.7 out of 5 stars,B07SZFGQ18,https://www.amazon.it/-/en/Skechers-Graceful-Connected-Womens-Trainers/dp/B07SZFGQ18/ref=zg_bs_g_fashion_d_sccl_1/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,2,"Scholl In-Balance Lower Back Pain Relief Footbed, Low Back Pain, Dual Layer Cushioning Gel Insoles with Flexible Lumbar Support, Size L (42.5-45), 1 Pair",€12.56,8216.0,4.2 out of 5 stars,B08L92Y7JX,https://www.amazon.it/-/en/Balance-Footbed-Cushioning-Insoles-Flexible/dp/B08L92Y7JX/ref=zg_bs_g_fashion_d_sccl_2/525-1604200-4349858?psc=1,2026-02-27,400+,fashion,it
1,3,FM London Pack of 3/5 Men's T-Shirt - Premium T-Shirt with Slightly Fitted Design - Super Soft T-Shirt Made of 100% Cotton,€25.39,8265.0,4.5 out of 5 stars,B0C5D5PQNR,https://www.amazon.it/-/en/FM-London-Pack-Mens-T-Shirt/dp/B0C5D5PQNR/ref=zg_bs_g_fashion_d_sccl_3/525-1604200-4349858?psc=1,2026-02-27,100+,fashion,it
1,4,"AQASKIN Durable Disposable Shoe Covers 3 g – Quantity Discounts – Disposable CPE Socks – DPI – Household Cleaning – Gardening, blue, 50 paia (Confezione da 1)",€7.80,5977.0,4.6 out of 5 stars,B01MTFFKMB,https://www.amazon.it/-/en/AQASKIN-Durable-Disposable-Shoe-Covers/dp/B01MTFFKMB/ref=zg_bs_g_fashion_d_sccl_4/525-1604200-4349858?psc=1,2026-02-27,2K+,fashion,it
1,5,"VANKEV Backpack for Ryanair Easyjet Travel Backpack Hand Luggage Small Cabin Bag 20L/30L for Flights Women Men, Black, modern",€32.99,6699.0,4.6 out of 5 stars,B0CY1XT58Z,https://www.amazon.it/-/en/VANKEV-Backpack-Ryanair-Easyjet-Luggage/dp/B0CY1XT58Z/ref=zg_bs_g_fashion_d_sccl_5/525-1604200-4349858?psc=1,2026-02-27,1K+,fashion,it
1,6,"Calvin Klein Men's Boxer Shorts, Hüft-Shorts, High Quality Cotton Unterhosen for Men, with Stretch-Anteil, Elasticated Colours, 3 Pack, Sizes: XS - XL",€31.00,51381.0,4.6 out of 5 stars,B003U378VS,https://www.amazon.it/-/en/Calvin-Klein-Underwear-Boxer-Confezione/dp/B003U378VS/ref=zg_bs_g_fashion_d_sccl_6/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,7,"EASTPAK PADDED PAK'R Backpack, 24 L",€26.95,70169.0,4.7 out of 5 stars,B000CRBEJ2,https://www.amazon.it/-/en/Eastpak-Padded-PakR-Backpack-Black/dp/B000CRBEJ2/ref=zg_bs_g_fashion_d_sccl_7/525-1604200-4349858?psc=1,2026-02-27,1K+,fashion,it
1,8,Calvin Klein Men's Boxer Shorts Pack of 3 Underwear,€28.89,60566.0,4.5 out of 5 stars,B001BEAWXY,https://www.amazon.it/-/en/Calvin-Klein-Boxer-Shorts-Underwear/dp/B001BEAWXY/ref=zg_bs_g_fashion_d_sccl_8/525-1604200-4349858?psc=1,2026-02-27,600+,fashion,it
1,9,Adidas Men's Galaxy 7 Running Shoes,€29.90,7497.0,4.4 out of 5 stars,B0CKXS8KCB,https://www.amazon.it/-/en/adidas-Galaxy-Running-Shoes-Royal/dp/B0CKXS8KCB/ref=zg_bs_g_fashion_d_sccl_9/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,10,"KLOSTAIN Ryanair Easyjet Travel Backpack Airplane Hand Luggage Cabin Bag for Men and Women Travel Backpack Work and School Trekking, Black, Modern"" or ""Functional",€27.99,6659.0,4.6 out of 5 stars,B0CY2621ML,https://www.amazon.it/-/en/KLOSTAIN-Backpack-Airplane-Trekking-Functional/dp/B0CY2621ML/ref=zg_bs_g_fashion_d_sccl_10/525-1604200-4349858?psc=1,2026-02-27,900+,fashion,it
1,11,adidas Cushioned Sportswear Crew Socks 3 Pair Pack Unisex Adult Socks,€8.91,311.0,4.6 out of 5 stars,B0F5B7ZXM7,https://www.amazon.it/-/en/adidas-Cushioned-Sportswear-Socks-Unisex/dp/B0F5B7ZXM7/ref=zg_bs_g_fashion_d_sccl_11/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,12,VMIKIV Backpack 40 x 30 x 20 cm for Ryanair Backpack 40 x 20 x 25 cm for Travel Airplane Hand Luggage 55 x 40 x 20 cm Cabin Bag for Wizz Air for Vueling Backpacks for PC Women Men 45 x 36 x 20 for,€20.35,8727.0,4.6 out of 5 stars,B0BVQ5518V,https://www.amazon.it/-/en/VMIKIV-40x20x25-Underseat-Carry-ons-Compartment/dp/B0BVQ5518V/ref=zg_bs_g_fashion_d_sccl_12/525-1604200-4349858?psc=1,2026-02-27,900+,fashion,it
1,13,"VSUDO 8mm Flat Sports Laces and Laces for Sneakers, Sneakers and Sports Shoes - 29 Colours and 14 Lengths Available, Cheap and Durable - 1 or 2 Pairs",€6.99,22137.0,4.5 out of 5 stars,B09HC4M5QB,https://www.amazon.it/-/en/VSUDO-Sports-Laces-Sneakers-Shoes/dp/B09HC4M5QB/ref=zg_bs_g_fashion_d_sccl_13/525-1604200-4349858?psc=1,2026-02-27,100+,fashion,it
1,14,adidas Women Shoes VL Court Bold,€35.75,5136.0,4.5 out of 5 stars,B0CYT9J88K,https://www.amazon.it/-/en/Adidas-Womens-Court-Shoes-Wonder/dp/B0CYT9J88K/ref=zg_bs_g_fashion_d_sccl_14/525-1604200-4349858?psc=1,2026-02-27,300+,fashion,it
1,15,Scholl Clog Evo Zoccoli Sanitari MedicaliUnisex - Adulto,€41.31,7964.0,4.5 out of 5 stars,B06VX3SY31,https://www.amazon.it/-/en/Scholls-Unisex-Adult-Sanitary-Clogs/dp/B06VX3SY31/ref=zg_bs_g_fashion_d_sccl_15/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,16,VMIKIV Backpack 40 x 30 x 20 cm for Ryanair Backpack 40 x 20 x 25 cm for Wizz Air Bag for Vueling Airplane Travel Backpacks Anti-Theft Small Cabin Bag for School,€14.81,3577.0,4.7 out of 5 stars,B0CGZD7FF8,https://www.amazon.it/-/en/VMIKIV-Backpack-Airplane-Backpacks-Anti-Theft/dp/B0CGZD7FF8/ref=zg_bs_g_fashion_d_sccl_16/525-1604200-4349858?psc=1,2026-02-27,600+,fashion,it
1,17,SOXCO 10 Pairs Mens Long Reinforced Work Socks Work Socks,€14.99,22442.0,4.6 out of 5 stars,B0C66VQDFC,https://www.amazon.it/-/en/SOXCO-Pairs-Reinforced-Socks-43-46/dp/B0C66VQDFC/ref=zg_bs_g_fashion_d_sccl_17/525-1604200-4349858?psc=1,2026-02-27,800+,fashion,it
1,18,"VALSOLE Orthopaedic Insoles Arch Support, Orthopaedic Insoles for Flat Feet, Sports Insoles Shoes for Flat Feet, Plantar Fasciitis, for Men and Women",€25.64,18088.0,4.4 out of 5 stars,B09FXQ95JB,https://www.amazon.it/-/en/VALSOLE-Orthopedic-Insoles-Fasciitis-Metatarsal/dp/B09FXQ95JB/ref=zg_bs_g_fashion_d_sccl_18/525-1604200-4349858?psc=1,2026-02-27,300+,fashion,it
1,19,"R.Leone Trolley Suitcase Hand Luggage 55 x 40 x 20 cm Hard Ultralight ABS 4 Wheels 3N, Black, Swivel castor",€57.50,4300.0,4.5 out of 5 stars,B0BC4PY33G,https://www.amazon.it/-/en/R-Leone-Trolley-Suitcase-Ultralight-3N/dp/B0BC4PY33G/ref=zg_bs_g_fashion_d_sccl_19/525-1604200-4349858?psc=1,2026-02-27,300+,fashion,it
1,20,"Joma Men's Sports T-Shirt, 6XS – 3XL – Lightweight and Breathable, Optimal for Running and Fitness – Combi",€10.49,25006.0,4.4 out of 5 stars,B00J28D3DW,https://www.amazon.it/-/en/Joma-Combi-Mens-T-Shirt-Black/dp/B00J28D3DW/ref=zg_bs_g_fashion_d_sccl_20/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,21,"Backpack for Ryanair 40 x 20 x 25 cm Travel Airplane Hand Luggage Cabin Bag Bags Suitcase Backpacks Casual Unisex for Wizz Air EasyJet Laptop Daypack, Black, Casual",€19.23,8990.0,4.6 out of 5 stars,B0BR4XHC8N,https://www.amazon.it/-/en/Backpack-Ryanair-Airplane-Suitcase-Backpacks/dp/B0BR4XHC8N/ref=zg_bs_g_fashion_d_sccl_21/525-1604200-4349858?psc=1,2026-02-27,400+,fashion,it
1,22,"Dr. Scholl's GelActiv Insoles Casual Shoes and Sneakers, Memory Foam Insoles with GelWave Shock Absorbing Technology, Comfort for Comfortable Feet All Day, Size 6-11.5, Cut to Size 6-12.5",€13.99,727.0,4.5 out of 5 stars,B0CT3RRZB3,https://www.amazon.it/-/en/Dr-Scholls-Absorbing-Technology-Comfortable/dp/B0CT3RRZB3/ref=zg_bs_g_fashion_d_sccl_22/525-1604200-4349858?psc=1,2026-02-27,900+,fashion,it
1,23,Skechers Uno - Cool Heels Women's Trainers,€61.99,23725.0,4.6 out of 5 stars,B07NPFTFSS,https://www.amazon.it/-/en/Skechers-Stand-AirSneaker-Black-Durabuck/dp/B07NPFTFSS/ref=zg_bs_g_fashion_d_sccl_23/525-1604200-4349858?psc=1,2026-02-27,40+,fashion,it
1,24,"SINOPHANT Women's High Waisted Leggings, Fitness Leggings Yoga Pants Tummy Control Opaque Elastic Soft for Sporty or Casual",€11.99,81041.0,4.5 out of 5 stars,B07P2D25CW,https://www.amazon.it/-/en/SINOPHANT-Waisted-Leggings-Fitness-Control/dp/B07P2D25CW/ref=zg_bs_g_fashion_d_sccl_24/525-1604200-4349858?psc=1,2026-02-27,700+,fashion,it
1,25,Under Armour Armour Heatgear Compression Long-sleeve T-Shirt Crew Neck Men's,€23.95,17854.0,4.6 out of 5 stars,B0874WD2B2,https://www.amazon.it/-/en/Under-Armour-Short-Sleeve-T-Shirt/dp/B0874WD2B2/ref=zg_bs_g_fashion_d_sccl_25/525-1604200-4349858?psc=1,2026-02-27,400+,fashion,it
1,26,"Skechers Burns Agoura Sneakers,Sports shoesUomo",€44.99,16733.0,4.6 out of 5 stars,B01MYEKA9Q,https://www.amazon.it/-/en/Skechers-Burns-52635-bbk-Shoes-Leather/dp/B01MYEKA9Q/ref=zg_bs_g_fashion_d_sccl_26/525-1604200-4349858?psc=1,2026-02-27,400+,fashion,it
1,27,"Dr. Scholl's GelActiv Insoles Work Shoes and Boots, Insoles with GelWave Shock Absorbing Technology, Continuous Support for Long Standers, Size 6-12.5",€14.90,1158.0,4.5 out of 5 stars,B0CT3SD92L,https://www.amazon.it/-/en/Dr-Scholls-Absorbing-Technology-Continuous/dp/B0CT3SD92L/ref=zg_bs_g_fashion_d_sccl_27/525-1604200-4349858?psc=1,2026-02-27,1K+,fashion,it
1,28,GIVOVA Visa Triacetate Unisex Tracksuit,€19.90,16760.0,4.2 out of 5 stars,B0DFQCV98N,https://www.amazon.it/-/en/GIVOVA-TRACETATO-TRACETATE-GARNET-TRACKSUIT/dp/B0DFQCV98N/ref=zg_bs_g_fashion_d_sccl_28/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,29,"Blendura Travel Suitcase Scale, Digital Weighing Scale Travel Suitcase, White, travel suitcase weights",€7.99,11858.0,4.5 out of 5 stars,B0CLG85VDJ,https://www.amazon.it/-/en/Blendura-Suitcase-Scale-Weighing-suitcase/dp/B0CLG85VDJ/ref=zg_bs_g_fashion_d_sccl_29/525-1604200-4349858?psc=1,2026-02-27,800+,fashion,it
1,30,Adidas Men's Urban Court Shoes,€30.48,2159.0,4.4 out of 5 stars,B0CDQCCD6K,https://www.amazon.it/-/en/Adidas-Urban-Court-Shoes-Collegiate/dp/B0CDQCCD6K/ref=zg_bs_g_fashion_d_sccl_30/525-1604200-4349858?psc=1,2026-02-27,100+,fashion,it
1,31,"SINOPHANT 2 Pack Women's High Waisted Sports Leggings, Yoga Pants Tummy Control Opaque Elastic Leggings",€14.99,8498.0,4.6 out of 5 stars,B07P2CCZJ9,https://www.amazon.it/-/en/SINOPHANT-Waisted-Leggings-Control-Elastic/dp/B07P2CCZJ9/ref=zg_bs_g_fashion_d_sccl_31/525-1604200-4349858?psc=1,2026-02-27,700+,fashion,it
1,32,adidas Adilette Aqua Slides InfraditoUnisex - Adulto,€16.97,71640.0,4.3 out of 5 stars,B07F715JL6,https://www.amazon.it/-/en/adidas-Unisex-Adult-Adilette-Slides/dp/B07F715JL6/ref=zg_bs_g_fashion_d_sccl_32/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,33,Nike Everyday Cush Crew 3pr Men's Socks (Pack of 3),€14.18,13609.0,4.6 out of 5 stars,B07FKG7W63,https://www.amazon.it/-/en/Nike-Everyday-Cush-Chaussettes-Socks/dp/B07FKG7W63/ref=zg_bs_g_fashion_d_sccl_33/525-1604200-4349858?psc=1,2026-02-27,800+,fashion,it
1,34,"CAMBIVO Graduated Compression Socks Women Men 3 Pairs, Graduated Compression Stockings, 20-30 mmHg, Anti-thrombus Elastic Compression Socks, Knee High Socks for Sports, Varicose Veins, Airplane",€18.97,3090.0,4.4 out of 5 stars,B0BJT557QR,https://www.amazon.it/-/en/CAMBIVO-Graduated-Compression-Stockings-Anti-thrombus/dp/B0BJT557QR/ref=zg_bs_g_fashion_d_sccl_34/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,35,Unigear Ice Crampons for 24 Teeth 201 Boots Steel Cover with Stainless Steel Chains for Walking on Snow and Ice,€22.99,1637.0,4.5 out of 5 stars,B07JGY3QF8,https://www.amazon.it/Unigear-Crampons-Stainless-Chains-Walking/dp/B07JGY3QF8/ref=zg_bs_g_fashion_d_sccl_35/525-1604200-4349858?psc=1,2026-02-27,0,fashion,it
1,36,"Puma - Ess Logo Cap Adult, Unisex Hat - Adult",€5.96,17740.0,4.5 out of 5 stars,B016D48K94,https://www.amazon.it/-/en/PUMA-Ess-Running-Unisex-Adult/dp/B016D48K94/ref=zg_bs_g_fashion_d_sccl_36/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,37,"LYNXCHER Travel Backpack for Ryanair Easyjet Hand Luggage Airplane Small Cabin Bag for Men and Women, Black",€27.99,2138.0,4.7 out of 5 stars,B0DFC7Q2GK,https://www.amazon.it/-/en/LYNXCHER-Backpack-Ryanair-Easyjet-Airplane/dp/B0DFC7Q2GK/ref=zg_bs_g_fashion_d_sccl_37/525-1604200-4349858?psc=1,2026-02-27,500+,fashion,it
1,38,adidas Unisex Shoes VS Pace 2.0,€36.94,17996.0,4.5 out of 5 stars,B0BJL3VS2W,https://www.amazon.it/-/en/adidas-Unisex-Shoes-Textile-Upper/dp/B0BJL3VS2W/ref=zg_bs_g_fashion_d_sccl_38/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,39,Relaxsan Antitrombus M0370A Open Toe Hold Up Stockings for Antiembolism K1 Graduated Compression 18-23 mmHg,€19.95,4416.0,4.1 out of 5 stars,B09JWS4DMT,https://www.amazon.it/-/en/Relaxsan-Antitrombus-Stockings-Antiembolism-Compression/dp/B09JWS4DMT/ref=zg_bs_g_fashion_d_sccl_39/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,40,"KLOSTAIN Ryanair Easyjet Travel Backpack Airplane Hand Luggage Cabin Bag Backpack for Men Women, Black, Contemporary"" or ""Modern",€27.99,2724.0,4.6 out of 5 stars,B0D59MW2N3,https://www.amazon.it/-/en/KLOSTAIN-Ryanair-Backpack-Airplane-Contemporary/dp/B0D59MW2N3/ref=zg_bs_g_fashion_d_sccl_40/525-1604200-4349858?psc=1,2026-02-27,600+,fashion,it
1,41,Navigare 574/E (Pack of 6) Men's Briefs (Pack of 6),€19.00,6325.0,4.4 out of 5 stars,B00ULBY1BW,https://www.amazon.it/-/en/Navigare-Briefs-Multicoloured-Black-Ships/dp/B00ULBY1BW/ref=zg_bs_g_fashion_d_sccl_41/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,42,"Backpack for Ryanair 40 x 20 x 25 cm for Ryanair, Small Airplane Backpack Waterproof Cabin Bag for Men Women, Black, Travel Bag",€18.86,1333.0,4.7 out of 5 stars,B0DLGC1R35,https://www.amazon.it/-/en/Backpack-Ryanair-Airplane-Waterproof-Travel/dp/B0DLGC1R35/ref=zg_bs_g_fashion_d_sccl_42/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,43,"Ryanair Backpack 40 x 20 x 25 cm Hand Luggage - Travel Bag for Airplane, Easyjet, Wizz",€23.99,6104.0,4.7 out of 5 stars,B0CFQQJMV6,https://www.amazon.it/-/en/Ryanair-Backpack-40-Hand-Luggage/dp/B0CFQQJMV6/ref=zg_bs_g_fashion_d_sccl_43/525-1604200-4349858?psc=1,2026-02-27,800+,fashion,it
1,44,"Dr. Scholl’s Advanced Pain Relief Solette Ortopediche Uomo/Donna, Solette Scarpe e Stivali, Sollievo Dolore Piedi e Tallone, Fascite Plantare, Supporto Arco Plantare, Ammortizzazione Fino 150 kg",€29.99,1273.0,4.4 out of 5 stars,B0FLXR8J8R,https://www.amazon.it/-/en/Dr-Scholls-Advanced-Relief-Insoles/dp/B0FLXR8J8R/ref=zg_bs_g_fashion_d_sccl_44/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
1,45,"Calvin Klein Cooling Cotton Stretch 3 Pack Short, Black/White/Grey",€31.69,14171.0,4.6 out of 5 stars,B001BRW4C8,https://www.amazon.it/-/en/Calvin-Klein-Underwear-Uomo-Confezione/dp/B001BRW4C8/ref=zg_bs_g_fashion_d_sccl_45/525-1604200-4349858?psc=1,2026-02-27,200+,fashion,it
1,46,Adidas VL Court Shoes Women's Trainers,€44.99,11798.0,4.5 out of 5 stars,B0C59CXZVX,https://www.amazon.it/-/en/adidas-Court-Womens-Trainers-Cloud/dp/B0C59CXZVX/ref=zg_bs_g_fashion_d_sccl_46/525-1604200-4349858?psc=1,2026-02-27,50+,fashion,it
2,51,"New Era 1.0 League 940 Neyyan Hat, Unisex Adult Men's Cap, Black, One Size",€16.99,4267.0,4.7 out of 5 stars,B01K9Y4UFC,https://www.amazon.it/-/en/New-Era-League-Neyyan-Unisex/dp/B01K9Y4UFC/ref=zg_bs_g_fashion_d_sccl_1/525-1604200-4349858?psc=1,2026-02-27,900+,fashion,it
2,52,no title,€7.95,,,B0GH1V2CHT,https://www.amazon.it/-/en/Legami-Kawaii-Keyring-Carabiner-Silicone/dp/B0GH1V2CHT/ref=zg_bs_g_fashion_d_sccl_2/525-1604200-4349858?psc=1,2026-02-27,0,fashion,it
2,53,adidas Unisex Shoes VL Court 3.0,€21.26,12062.0,4.5 out of 5 stars,B0CKLTQHFB,https://www.amazon.it/-/en/adidas-COURT-SHOES-Black-Victory/dp/B0CKLTQHFB/ref=zg_bs_g_fashion_d_sccl_3/525-1604200-4349858?psc=1,2026-02-27,0,fashion,it
