page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,Colgate Max White Purple Reveal Whitening Toothpaste 4 Packs of 75 ml I for White Teeth I Safe for Enamel I Contains Fluorine Teeth Whitening I Natural White,€7.49,9627,4.5 out of 5 stars,B0BNPLSDWN,https://www.amazon.it/-/en/Colgate-Whitening-Toothpaste-Contains-Fluorine/dp/B0BNPLSDWN/ref=zg_bs_g_hpc_d_sccl_1/520-1355703-3314468?psc=1,2026-02-27,0,hpc,it
1,2,"Nicky Elite - 4 Rolls of Toilet Paper, 170 Soft Sheets, 3-Ply Soft and Resistant to Contact with Skin, Dermatologically Tested, 100% FSC® Certified Paper",€2.35,12678,4.5 out of 5 stars,B00DRDXN38,https://www.amazon.it/-/en/Nicky-Elite-Resistant-Dermatologically-Certified/dp/B00DRDXN38/ref=zg_bs_g_hpc_d_sccl_2/520-1355703-3314468?psc=1,2026-02-27,7K+,hpc,it
1,3,"Regina Maxi Toilet Paper Rolls, Pack of 4",€4.40,16824,4.7 out of 5 stars,B00J0JLF60,https://www.amazon.it/-/en/Regina-Maxi-Toilet-Paper-Rolls/dp/B00J0JLF60/ref=zg_bs_g_hpc_d_sccl_3/520-1355703-3314468?psc=1,2026-02-27,9K+,hpc,it
1,4,"Genkent Heads Compatible with Braun Oral B Electric Toothbrush, 20 Replacement Heads Suitable for Pro/Advance Power/Smart/Vitality/Genius Series",€9.99,46718,4.4 out of 5 stars,B00RCK2JAU,https://www.amazon.it/-/en/Compatible-Electric-Toothbrush-Replacement-Suitable/dp/B00RCK2JAU/ref=zg_bs_g_hpc_d_sccl_4/520-1355703-3314468?psc=1,2026-02-27,7K+,hpc,it
1,5,"Tenderly Carezza di Latte, 6 Rolls of Super Soft 2-Ply Toilet Paper, 250 x Tears per Roll, Made with 100% Natural Milk Fibres, Made in Italy",€2.89,4887,4.5 out of 5 stars,B07KTSGYSR,https://www.amazon.it/-/en/Tenderly-Carezza-Toilet-Natural-Fibres/dp/B07KTSGYSR/ref=zg_bs_g_hpc_d_sccl_5/520-1355703-3314468?psc=1,2026-02-27,8K+,hpc,it
1,6,"SofLens Daily Disposable Corrective Daily Contact Lenses, 30 Lenses, BC 8.6 mm, DIA 14.2 mm, -2.75 Diopt",€12.49,7969,4.0 out of 5 stars,B0050XMHJO,https://www.amazon.it/-/en/SofLens-Disposable-Corrective-Contact-Lenses/dp/B0050XMHJO/ref=zg_bs_g_hpc_d_sccl_6/520-1355703-3314468?psc=1,2026-02-27,300+,hpc,it
1,7,Bulk Pure Whey Protein Powder | Chocolate | 22g Protein and 5g BCAAs per Scoop | Whey Concentrate Shake | Low Sugar | Supports Muscle Growth and Repair | Smooth Mixing | Vegetarian | 1kg,€25.99,18516,4.4 out of 5 stars,B00HF630Z4,https://www.amazon.it/-/en/Bulk-Chocolate-Concentrate-Supports-Vegetarian/dp/B00HF630Z4/ref=zg_bs_g_hpc_d_sccl_7/520-1355703-3314468?psc=1,2026-02-27,1K+,hpc,it
1,8,"Oral-B Vitality Pro Rechargeable Electric Toothbrush, 1 Head, 1 Toothbrush",€28.30,15465,4.5 out of 5 stars,B0C6MF8SRS,https://www.amazon.it/-/en/Oral-B-Vitality-Rechargeable-Electric-Toothbrush/dp/B0C6MF8SRS/ref=zg_bs_g_hpc_d_sccl_8/520-1355703-3314468?psc=1,2026-02-27,3K+,hpc,it
1,9,Colgate Max White Purple Serum Whitening Booster 40 ml,€9.99,663,4.0 out of 5 stars,B0FR9RDLWM,https://www.amazon.it/-/en/Colgate-White-Purple-Whitening-Booster/dp/B0FR9RDLWM/ref=zg_bs_g_hpc_d_sccl_9/520-1355703-3314468?psc=1,2026-02-27,1K+,hpc,it
1,10,Creatine PRO Creapure© Quality Creatine Monohydrate Dietary Supplement Creapure Quality 150 Tablets,€23.92,6432,4.5 out of 5 stars,B01MRL741H,https://www.amazon.it/-/en/Creatine-Creapure%C2%A9-Monohydrate-Supplement-Creapure/dp/B01MRL741H/ref=zg_bs_g_hpc_d_sccl_10/520-1355703-3314468?psc=1,2026-02-27,3K+,hpc,it
