page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"HANSKA 100 Black Nitrile Disposable Gloves, Powder Free, Disposable, Ambidextrous, Non-Sterile, Rubber Base, Suitable for Medical Areas, Food Handling (100, M)",€5.99,4183,4.5 out of 5 stars,B0BPSPVGR4,https://www.amazon.it/-/en/HANSKA-Disposable-Ambidextrous-Non-Sterile-Suitable/dp/B0BPSPVGR4/ref=zg_bs_g_industrial_d_sccl_1/521-5530574-8902912?psc=1,2026-02-27,600+,industrial,it
1,2,"EQM - ECO-301 - Isopropanol - Isopropyl Alcohol 99.9% - 750 ML - Cleaning of electronic components, lenses and screens - Cleaning of 3D printing resins - Glass cleaner, degreaser",€7.89,16063,4.7 out of 5 stars,B08RY7TF9X,https://www.amazon.it/-/en/EQM-Isopropanol-Isopropyl-electronic-components/dp/B08RY7TF9X/ref=zg_bs_g_industrial_d_sccl_2/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
1,3,"HANSKA 100 Blue Nitrile Disposable Gloves, Powder Free, Disposable, Ambidextrous, Non-Sterile, Rubber Base, Suitable for Medical Areas, Food Handling (100, L)",€5.99,2567,4.6 out of 5 stars,B0BZSH1JSQ,https://www.amazon.it/-/en/HANSKA-Disposable-Ambidextrous-Non-Sterile-Suitable/dp/B0BZSH1JSQ/ref=zg_bs_g_industrial_d_sccl_3/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
1,4,"R MOVE 100 Pcs Black M Powder Free Disposable Nitrile Gloves, Ambidextrous Gloves, Food Grade Disposable Gloves, Non-Sterile, Latex Free, Hypoallergenic - for Medical, Beauticians, Tattooists (M",€4.90,6964,4.6 out of 5 stars,B0B6PXSYQH,https://www.amazon.it/-/en/MOVE-Disposable-Ambidextrous-Non-Sterile-Hypoallergenic/dp/B0B6PXSYQH/ref=zg_bs_g_industrial_d_sccl_4/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
1,5,AmazonCommercial Paper Towels Single Fold (V-Fold/Z-Fold) Cellulose 2 Ply 3990 Sheets (15 Packs of 266) Sheet Size: 22 cm x 21 cm Compatible with H3 Dispenser,€33.85,3818,4.6 out of 5 stars,B07XRG36NG,https://www.amazon.it/-/en/AmazonCommercial-Towels-Single-V-Fold-Cellulose/dp/B07XRG36NG/ref=zg_bs_g_industrial_d_sccl_5/521-5530574-8902912?psc=1,2026-02-27,900+,industrial,it
1,6,"eSUN PLA Filament 1.75mm, Basic PLA Filament for 3D Printers Dimensional Accuracy +/- 0.05mm, 1kg Spool (2.2lbs)Fast PLA Filament for 3D Printers, Black",€17.99,7657,4.4 out of 5 stars,B0CR1DBBFN,https://www.amazon.it/-/en/eSUN-Filament-Printers-Dimensional-Accuracy/dp/B0CR1DBBFN/ref=zg_bs_g_industrial_d_sccl_6/521-5530574-8902912?psc=1,2026-02-27,500+,industrial,it
1,7,"Regina Disposable Towels - Pack of 100 Services, Practical and Hygienic Disposable Towels, 100% FSC Cellulose, Biodegradable, Dispenser Pack",€7.49,1837,4.6 out of 5 stars,B09NP4F5VL,https://www.amazon.it/-/en/Regina-Disposable-Towels-Practical-Biodegradable/dp/B09NP4F5VL/ref=zg_bs_g_industrial_d_sccl_7/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
1,8,"R MOVE 6 Rolls Massage Bed Paper 60 m, Medical Sheet for Cot 60 cm Height, 2 Ply Pure Cellulose, Beautician Sheets, Medical Rolls, Beautician Bed Roll (6)",€25.99,836,4.7 out of 5 stars,B0CGRXSGTY,https://www.amazon.it/-/en/MOVE-Massage-Medical-Cellulose-Beautician/dp/B0CGRXSGTY/ref=zg_bs_g_industrial_d_sccl_8/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
1,9,"IMBALLAGGI 2000 - Roll of Massage Bed Paper, 6 Pieces 60 cm x 55 m in 100% Cellulose, 1 x 6 Rolls of Paper Beautician Bed Absorbent – Medical Sheets for Therapy, Disposable Hygienic Sheets",€25.74,2351,4.6 out of 5 stars,B0CMXLK1C8,https://www.amazon.it/-/en/IMBALLAGGI-2000-Cellulose-Beautician-Disposable/dp/B0CMXLK1C8/ref=zg_bs_g_industrial_d_sccl_9/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
1,10,"FRIO - 10 Large Black Sacks 150 Litres Large Bin Liners MAXI WEIGHT for Waste Bin, Recycling, with Ties, 80 x 120 cm, Multilayer, Heavy Duty",€2.99,867,4.6 out of 5 stars,B00XI4HI5K,https://www.amazon.it/-/en/FRIO-Litres-Liners-Recycling-Multilayer/dp/B00XI4HI5K/ref=zg_bs_g_industrial_d_sccl_10/521-5530574-8902912?psc=1,2026-02-27,1K+,industrial,it
