page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"PURIVITA Universal Descaler Coffee Machine [500ML] – Descaling Machine Cleaning – Descaling Liquid for Delonghi, Nespresso, Dolce Gusto, Lazzata & More Models",€5.99,21775,4.5 out of 5 stars,B0C4FHBPRT,https://www.amazon.it/-/en/PURIVITA-Universal-Descaler-Coffee-Machine/dp/B0C4FHBPRT/ref=zg_bs_g_kitchen_d_sccl_1/525-2067163-0910311?psc=1,2026-02-27,8K+,kitchen,it
1,2,"Philips Lint Lever - Removes Lint from All Fabrics, Fast Blade 8800 RPM, Large Shaving Area, 3 Hole Mesh, Removable Container (GC026/00)",€13.99,148759,4.5 out of 5 stars,B00E3862DE,https://www.amazon.it/Philips-Lint-Lever-Removable-Container/dp/B00E3862DE/ref=zg_bs_g_kitchen_d_sccl_2/525-2067163-0910311?psc=1,2026-02-27,4K+,kitchen,it
1,3,"Nespresso Inissia EN80.B Espresso Coffee Maker, Black",€70.96,47296,4.4 out of 5 stars,B00G5YOVZA,https://www.amazon.it/-/en/Nespresso-Inissia-EN80-B-Espresso-Coffee/dp/B00G5YOVZA/ref=zg_bs_g_kitchen_d_sccl_3/525-2067163-0910311?psc=1,2026-02-27,5K+,kitchen,it
1,4,Amazon Basics Water Filters - Pack of 12 - Suitable and Compatible with all BRITA Jugs Including PerfectFit and Amazon Basic Jugs,€32.99,14955,4.5 out of 5 stars,B084H8YHW8,https://www.amazon.it/-/en/Amazon-Basics-Water-Filters-Compatible/dp/B084H8YHW8/ref=zg_bs_g_kitchen_d_sccl_4/525-2067163-0910311?psc=1,2026-02-27,2K+,kitchen,it
1,5,"Amazon Basics Vacuum Bags with Hand Pump, Zipper, Large, Pack of 5, Clear",€10.39,145021,4.5 out of 5 stars,B07RSCPH4N,https://www.amazon.it/-/en/Amazon-Basics-Vacuum-Zipper-Large/dp/B07RSCPH4N/ref=zg_bs_g_kitchen_d_sccl_5/525-2067163-0910311?psc=1,2026-02-27,1K+,kitchen,it
1,6,"Utopia Bedding Waterproof Double Mattress Protector 160 x 200 x 30 cm, OEKO-TEX Certified, Mattress Protector, Breathable, Washable, Fitted Style All Around Elastic",€17.99,96222,4.5 out of 5 stars,B077SWXDS5,https://www.amazon.it/-/en/Utopia-Bedding-Waterproof-Protector-Breathable/dp/B077SWXDS5/ref=zg_bs_g_kitchen_d_sccl_6/525-2067163-0910311?psc=1,2026-02-27,1K+,kitchen,it
1,7,"Lagostina Gustosa Rectangular Roasting Dish in Non-Stick Steel for Oven, Black, 42 x 29 x 4 cm",€8.99,1766,4.6 out of 5 stars,B08XZB7TFD,https://www.amazon.it/-/en/Lagostina-Gustosa-Rectangular-Roasting-Non-Stick/dp/B08XZB7TFD/ref=zg_bs_g_kitchen_d_sccl_7/525-2067163-0910311?psc=1,2026-02-27,100+,kitchen,it
1,8,"Super Sparrow Insulated Water Bottle, Stainless Steel Thermal Bottle – 350 ml, 500 ml, 750 ml, 1L, 1.2 L – BPA Free, Children's Water Bottle for School, Sport, Camping, Yoga, Gym, Cycling",€13.25,6031,4.6 out of 5 stars,B0B15HGXD9,https://www.amazon.it/-/en/Super-Sparrow-Thermos-Ultralight-Stainless/dp/B0B15HGXD9/ref=zg_bs_g_kitchen_d_sccl_8/525-2067163-0910311?psc=1,2026-02-27,100+,kitchen,it
1,9,"Levesolls 2-in-1 Neck Pillow - Memory Foam Pillow for Lateral Dorm, Supine and Ergonomic Support, with Removable and Washable Cover, 61 x 41 x 12/13 cm",€28.49,459,4.4 out of 5 stars,B0FD3JLTQC,https://www.amazon.it/-/en/Levesolls-Neck-Pillow-Ergonomic-Removable/dp/B0FD3JLTQC/ref=zg_bs_g_kitchen_d_sccl_9/525-2067163-0910311?psc=1,2026-02-27,2K+,kitchen,it
1,10,"De'Longhi EcoDecalk DLSC500 Descaler 5 Dose Descaling Machine Maintenance Accessory for Coffee Machine, Ingredients of Plant Origin, Bottle with 5 Doses, 500 ml",€12.90,118295,4.7 out of 5 stars,B008YETL18,https://www.amazon.it/-/en/DeLonghi-EcoDecalk-DLSC500-Maintenance-Ingredients/dp/B008YETL18/ref=zg_bs_g_kitchen_d_sccl_10/525-2067163-0910311?psc=1,2026-02-27,3K+,kitchen,it
