page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,no title,€9.99,21623,3.9 out of 5 stars,B0CQQ6R3G4,https://www.amazon.it/-/en/HOVVIDA-Remote-Control-Kitchen-Bedroom/dp/B0CQQ6R3G4/ref=zg_bs_g_lighting_d_sccl_1/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,2,no title,€8.54,17319,4.5 out of 5 stars,B073QSXXCH,https://www.amazon.it/-/en/Osram-Classic-Non-Dimmable-Replaces-Kelvin/dp/B073QSXXCH/ref=zg_bs_g_lighting_d_sccl_2/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,3,"Gritin LED Under Cabinet Light Rechargeable Kitchen 2 Pieces – 3 Colours & 5 Brightness, Super Bright, 4 Modes, Motion Sensor, Long Life – Easy Installation Magnetic Cabinet Light, 26 cm",€20.99,14650,4.7 out of 5 stars,B0F1C56SR1,https://www.amazon.it/-/en/Gritin-Cabinet-Rechargeable-Kitchen-Pieces/dp/B0F1C56SR1/ref=zg_bs_g_lighting_d_sccl_3/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,4,no title,€6.99,4343,4.4 out of 5 stars,B0CPM8C3X9,https://www.amazon.it/-/en/GRIFEMA-GD101-1-Childrens-Adjustable-Brightness/dp/B0CPM8C3X9/ref=zg_bs_g_lighting_d_sccl_4/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,5,no title,€9.99,5738,4.5 out of 5 stars,B0CR5FD97N,https://www.amazon.it/-/en/LQWELL%C2%AE-Ceiling-Waterproof-Bathroom-Basement/dp/B0CR5FD97N/ref=zg_bs_g_lighting_d_sccl_5/524-0350279-5142939?psc=1,2026-02-27,600+,lighting,it
1,6,no title,€9.99,30686,4.3 out of 5 stars,B08GDC99PX,https://www.amazon.it/-/en/Tapo-L530E-Multicoloured-Compatible-Equivalent/dp/B08GDC99PX/ref=zg_bs_g_lighting_d_sccl_6/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,7,"OUILA LED Wardrobe Light, LED Wardrobe with Motion Sensor, 41 cm Magnetic Rechargeable LED Light Under Cabinet Dimmable Lamp for Kitchen, Stairs, Living Room, Bathroom, Bedrooms",€18.98,21054,4.5 out of 5 stars,B0BN438Z97,https://www.amazon.it/-/en/OUILA-Wardrobe-Magnetic-Rechargeable-Dimmable/dp/B0BN438Z97/ref=zg_bs_g_lighting_d_sccl_7/524-0350279-5142939?psc=1,2026-02-27,400+,lighting,it
1,8,no title,€17.99,15616,4.5 out of 5 stars,B098FJ6LXB,https://www.amazon.it/-/en/Tapo-L900-5-Compatible-Assistant-Shortened/dp/B098FJ6LXB/ref=zg_bs_g_lighting_d_sccl_8/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,9,"Gritin 19 LEDs Book Reading Light, Rechargeable Clip Reading Lamp with 3 Colour Temperature, 5 Brightness Adjustable, 360° Flexible Book Lamp for Night",€14.59,16479,4.8 out of 5 stars,B0CBPL4RKH,https://www.amazon.it/-/en/Gritin-Rechargeable-Temperature-Brightness-Adjustable/dp/B0CBPL4RKH/ref=zg_bs_g_lighting_d_sccl_9/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
1,10,no title,€27.99,9681,4.4 out of 5 stars,B07ZCYS2LJ,https://www.amazon.it/-/en/oxylops-Protection-Charging-Brightness-Lighting/dp/B07ZCYS2LJ/ref=zg_bs_g_lighting_d_sccl_10/524-0350279-5142939?psc=1,2026-02-27,1K+,lighting,it
