page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,1,"Pokémon: Megaevolution Superchlasse Trainer Set - Heroic Rise of the GCC Pokémon (one full length promotional card, nine booster packs and premium accessories)",€69.99,60.0,3.4 out of 5 stars,B0G3YJ6DBZ,https://www.amazon.it/-/en/Pok%C3%A9mon-Megaevolution-Superchlasse-promotional-accessories/dp/B0G3YJ6DBZ/ref=zg_bs_g_toys_d_sccl_1/520-1981395-6772010?psc=1,2026-02-27,0,toys,it
1,2,LEGO Botanicals Japanese Apricot - Artificial Fake Flower to Build for Adults - DIY Home Flower Decoration - Gift Idea for Women or Men Collectible - 10369,€22.27,14433.0,4.8 out of 5 stars,B00CALQB1E,https://www.amazon.it/LEGO-Botanicals-Japanese-Apricot-Collectible/dp/B00CALQB1E/ref=zg_bs_g_toys_d_sccl_2/520-1981395-6772010?psc=1,2026-02-27,2K+,toys,it
1,3,LEGO Speed Champions Ferrari F1 SF-24 Racing Car - Father's Day Gift - Collectible Toy with Formula 1 Driver Minifigures - Model for Children from 10 Years or Adult Fan - 77242,€25.64,14248.0,4.8 out of 5 stars,B0DHSBBV6R,https://www.amazon.it/-/en/LEGO-Speed-Champions-Ferrari-Racing/dp/B0DHSBBV6R/ref=zg_bs_g_toys_d_sccl_3/520-1981395-6772010?psc=1,2026-02-27,1K+,toys,it
1,4,"FABA Sound Character - Music Master! - Music, Songs and Sounds for Boys and Girls 1-3 Years - Listening to Storytelling, Educational Game Italian Version",€14.24,2889.0,4.7 out of 5 stars,B092VMXB7G,https://www.amazon.it/-/en/FABA-Sound-Character-Storytelling-Educational/dp/B092VMXB7G/ref=zg_bs_g_toys_d_sccl_4/520-1981395-6772010?psc=1,2026-02-27,700+,toys,it
1,5,ATM Gaming QUICKSTOP – Party Game for Family and Friends – Card Game – Perfect for Creating Atmosphere – 2 to 7 Players – English,€18.90,6700.0,4.8 out of 5 stars,B0CYTFY3D3,https://www.amazon.it/-/en/ATM-Gaming-QUICKSTOP-Creating-Atmosphere/dp/B0CYTFY3D3/ref=zg_bs_g_toys_d_sccl_5/520-1981395-6772010?psc=1,2026-02-27,3K+,toys,it
1,6,"Bright Starts, Oball Classic Soft Flexible Ball Easy to Handle, Sensory Activity Toy for Children of All Ages, Multicoloured",€5.99,156503.0,4.8 out of 5 stars,B00ZRD99C0,https://www.amazon.it/-/en/Bright-Starts-Flexible-Activity-Multicoloured/dp/B00ZRD99C0/ref=zg_bs_g_toys_d_sccl_6/520-1981395-6772010?psc=1,2026-02-27,2K+,toys,it
1,7,"Pokémon: Megaevolution Expansion Collector's Minibox - Heroic Ascension (Pikachu and Tepig) by GCC Pokémon (1 sticker sheet, 1 Pokémon illustration card of the mini-box and 2 expansion packs)",€11.99,12.0,4.4 out of 5 stars,B0GFN8KHY3,https://www.amazon.it/-/en/Pok%C3%A9mon-Megaevolution-Expansion-Collectors-illustration/dp/B0GFN8KHY3/ref=zg_bs_g_toys_d_sccl_7/520-1981395-6772010?psc=1,2026-02-27,0,toys,it
1,8,"Pokémon: Megaevolution Expansion Collector's Minibox - Heroic Rise (Togepi and Totodile) by GCC Pokémon (1 sticker sheet, 1 illustration card of the mini box and 2 expansion packs)",€11.99,10.0,4.1 out of 5 stars,B0GFN24Z2H,https://www.amazon.it/-/en/Pok%C3%A9mon-Megaevolution-Expansion-Collectors-illustration/dp/B0GFN24Z2H/ref=zg_bs_g_toys_d_sccl_8/520-1981395-6772010?psc=1,2026-02-27,800+,toys,it
1,9,"Pokémon: Megaevolution Expansion Collector's Minibox - Heroic Rise (Riolu and Darumaka) by GCC Pokémon (1 sticker sheet, 1 Pokémon illustration card of the mini-box and 2 expansion packs)",€11.99,10.0,3.8 out of 5 stars,B0GFNJ8715,https://www.amazon.it/-/en/Pok%C3%A9mon-Megaevolution-Expansion-Collectors-illustration/dp/B0GFNJ8715/ref=zg_bs_g_toys_d_sccl_9/520-1981395-6772010?psc=1,2026-02-27,800+,toys,it
1,10,"Pokémon Day 2026 Collection by GCC Pokémon (One Holographic Promo Card, One Coin and Three Expansion Envelopes)",€18.99,61.0,4.1 out of 5 stars,B0FZBM1JBH,https://www.amazon.it/-/en/Pok%C3%A9mon-Collection-Holographic-Expansion-Envelopes/dp/B0FZBM1JBH/ref=zg_bs_g_toys_d_sccl_10/520-1981395-6772010?psc=1,2026-02-27,2K+,toys,it
